busco_id,bin_id,overlap_percentage
8at7147,OZ005742.1_bin_22,100.0
225at7147,OZ005741.1_bin_117,100.0
284at7147,OZ005743.1_bin_965,100.0
421at7147,OZ005741.1_bin_319,100.0
445at7147,OZ005741.1_bin_53,100.0
452at7147,OZ005740.1_bin_1669,51.109176500935064
452at7147,OZ005740.1_bin_1670,48.890823499064936
511at7147,OZ005743.1_bin_917,100.0
525at7147,OZ005744.1_bin_1038,100.0
540at7147,OZ005740.1_bin_1072,100.0
836at7147,OZ005744.1_bin_21,100.0
841at7147,OZ005743.1_bin_939,100.0
908at7147,OZ005741.1_bin_323,100.0
962at7147,OZ005740.1_bin_234,100.0
994at7147,OZ005743.1_bin_711,100.0
1004at7147,OZ005740.1_bin_100,100.0
1049at7147,OZ005741.1_bin_78,100.0
1055at7147,OZ005743.1_bin_738,100.0
1072at7147,OZ005741.1_bin_1153,100.0
1078at7147,OZ005740.1_bin_222,100.0
1123at7147,OZ005743.1_bin_1044,100.0
1142at7147,OZ005743.1_bin_755,100.0
1200at7147,OZ005742.1_bin_87,100.0
1247at7147,OZ005741.1_bin_1128,100.0
1323at7147,OZ005742.1_bin_1208,100.0
1690at7147,OZ005744.1_bin_97,100.0
1854at7147,OZ005742.1_bin_87,100.0
1907at7147,OZ005742.1_bin_89,100.0
1914at7147,OZ005740.1_bin_1096,100.0
1984at7147,OZ005740.1_bin_1747,100.0
2041at7147,OZ005740.1_bin_1149,100.0
2067at7147,OZ005743.1_bin_579,100.0
2304at7147,OZ005742.1_bin_11,100.0
2306at7147,OZ005743.1_bin_937,100.0
2332at7147,OZ005740.1_bin_1630,100.0
2339at7147,OZ005743.1_bin_347,100.0
2552at7147,OZ005742.1_bin_307,100.0
2609at7147,CAWVNZ010000254.1_bin_0,100.0
2610at7147,OZ005744.1_bin_72,100.0
2635at7147,OZ005740.1_bin_1734,100.0
2697at7147,OZ005740.1_bin_1637,100.0
2709at7147,OZ005744.1_bin_38,100.0
2727at7147,OZ005740.1_bin_1629,100.0
2881at7147,OZ005740.1_bin_1399,100.0
2904at7147,OZ005743.1_bin_875,100.0
2908at7147,OZ005743.1_bin_574,100.0
2969at7147,OZ005742.1_bin_199,100.0
3120at7147,OZ005744.1_bin_481,100.0
3219at7147,OZ005742.1_bin_855,100.0
3282at7147,OZ005743.1_bin_713,100.0
3308at7147,OZ005742.1_bin_32,100.0
3333at7147,OZ005740.1_bin_256,100.0
3410at7147,OZ005743.1_bin_334,100.0
3413at7147,OZ005741.1_bin_973,100.0
3474at7147,OZ005741.1_bin_280,100.0
3577at7147,OZ005743.1_bin_830,100.0
3788at7147,OZ005740.1_bin_1181,100.0
3828at7147,OZ005740.1_bin_65,100.0
3874at7147,OZ005740.1_bin_106,100.0
4069at7147,OZ005743.1_bin_824,100.0
4073at7147,OZ005742.1_bin_10,100.0
4095at7147,OZ005743.1_bin_936,100.0
4164at7147,OZ005741.1_bin_1514,100.0
4211at7147,OZ005740.1_bin_225,100.0
4218at7147,OZ005741.1_bin_343,100.0
4274at7147,OZ005744.1_bin_834,100.0
4353at7147,OZ005740.1_bin_118,100.0
4421at7147,OZ005743.1_bin_446,85.56275780789629
4421at7147,OZ005743.1_bin_447,14.437242192103714
4470at7147,OZ005740.1_bin_1113,100.0
4511at7147,OZ005741.1_bin_1312,100.0
4573at7147,OZ005741.1_bin_1108,88.48322162387673
4573at7147,OZ005741.1_bin_1109,11.51677837612327
4606at7147,OZ005741.1_bin_1287,100.0
4667at7147,OZ005744.1_bin_885,100.0
4829at7147,OZ005740.1_bin_1351,100.0
4932at7147,OZ005742.1_bin_124,100.0
5213at7147,OZ005741.1_bin_995,100.0
5225at7147,OZ005744.1_bin_12,100.0
5241at7147,OZ005741.1_bin_236,100.0
5263at7147,OZ005741.1_bin_1450,22.49888839484215
5263at7147,OZ005741.1_bin_1451,77.50111160515785
5433at7147,OZ005741.1_bin_198,100.0
5488at7147,OZ005744.1_bin_75,100.0
5674at7147,OZ005741.1_bin_240,100.0
5711at7147,OZ005744.1_bin_14,100.0
5768at7147,OZ005740.1_bin_1147,100.0
5780at7147,OZ005740.1_bin_36,100.0
5845at7147,OZ005741.1_bin_1349,100.0
5858at7147,OZ005741.1_bin_1245,100.0
5978at7147,OZ005744.1_bin_1006,100.0
6130at7147,OZ005742.1_bin_71,100.0
6240at7147,OZ005741.1_bin_281,100.0
6256at7147,OZ005743.1_bin_658,100.0
6718at7147,OZ005740.1_bin_1568,100.0
6736at7147,OZ005743.1_bin_896,100.0
6974at7147,OZ005741.1_bin_1435,100.0
7054at7147,OZ005741.1_bin_244,100.0
7326at7147,OZ005743.1_bin_660,100.0
7353at7147,OZ005741.1_bin_2,100.0
7355at7147,OZ005741.1_bin_1572,100.0
7470at7147,OZ005743.1_bin_402,100.0
7527at7147,OZ005741.1_bin_1171,100.0
7563at7147,OZ005742.1_bin_208,100.0
7677at7147,OZ005741.1_bin_1388,100.0
7764at7147,OZ005743.1_bin_451,17.749260225621676
7764at7147,OZ005743.1_bin_452,82.25073977437832
7798at7147,OZ005740.1_bin_1562,100.0
7971at7147,OZ005741.1_bin_113,100.0
8005at7147,OZ005742.1_bin_1208,100.0
8016at7147,OZ005744.1_bin_162,100.0
8037at7147,OZ005741.1_bin_1101,100.0
8079at7147,OZ005742.1_bin_1050,50.21048749157414
8079at7147,OZ005742.1_bin_1051,49.78951250842586
8161at7147,OZ005741.1_bin_1110,100.0
8234at7147,OZ005744.1_bin_158,100.0
8348at7147,OZ005744.1_bin_32,100.0
8364at7147,OZ005741.1_bin_355,100.0
8365at7147,OZ005740.1_bin_1367,100.0
8456at7147,OZ005742.1_bin_241,100.0
8734at7147,OZ005742.1_bin_346,100.0
8741at7147,OZ005744.1_bin_740,100.0
8776at7147,OZ005744.1_bin_4,100.0
8873at7147,OZ005742.1_bin_374,100.0
8933at7147,OZ005740.1_bin_175,100.0
8944at7147,OZ005741.1_bin_199,100.0
