busco_id,bin_id,overlap_percentage
8at7147,OZ002742.1_bin_20,100.0
225at7147,OZ002741.1_bin_100,100.0
284at7147,OZ002743.1_bin_111,100.0
421at7147,OZ002741.1_bin_222,100.0
445at7147,OZ002741.1_bin_44,100.0
452at7147,OZ002740.1_bin_1788,100.0
511at7147,OZ002743.1_bin_156,100.0
525at7147,OZ002744.1_bin_16,100.0
540at7147,OZ002740.1_bin_1076,100.0
836at7147,OZ002745.1_bin_28,100.0
841at7147,OZ002743.1_bin_135,100.0
908at7147,OZ002741.1_bin_219,68.86145404663924
908at7147,OZ002741.1_bin_220,31.13854595336077
962at7147,OZ002740.1_bin_216,100.0
994at7147,OZ002743.1_bin_569,100.0
1004at7147,OZ002740.1_bin_91,100.0
1049at7147,OZ002741.1_bin_66,100.0
1055at7147,OZ002743.1_bin_325,100.0
1072at7147,OZ002741.1_bin_1084,100.0
1078at7147,OZ002740.1_bin_205,100.0
1123at7147,OZ002743.1_bin_34,100.0
1142at7147,OZ002743.1_bin_307,100.0
1200at7147,OZ002742.1_bin_82,100.0
1247at7147,OZ002741.1_bin_934,100.0
1323at7147,OZ002742.1_bin_931,100.0
1690at7147,OZ002745.1_bin_171,100.0
1854at7147,OZ002742.1_bin_82,100.0
1907at7147,OZ002742.1_bin_83,100.0
1914at7147,OZ002740.1_bin_1097,100.0
1984at7147,OZ002740.1_bin_1876,100.0
2041at7147,OZ002740.1_bin_623,100.0
2067at7147,OZ002743.1_bin_400,100.0
2304at7147,OZ002740.1_bin_54,100.0
2306at7147,OZ002743.1_bin_137,100.0
2332at7147,OZ002740.1_bin_1682,100.0
2339at7147,OZ002743.1_bin_775,100.0
2552at7147,OZ002742.1_bin_288,100.0
2609at7147,OZ002744.1_bin_6,100.0
2610at7147,OZ002745.1_bin_97,100.0
2635at7147,OZ002740.1_bin_1863,100.0
2697at7147,OZ002740.1_bin_1674,100.0
2709at7147,OZ002745.1_bin_50,76.79693688935834
2709at7147,OZ002745.1_bin_51,23.20306311064167
2727at7147,OZ002740.1_bin_1683,100.0
2881at7147,OZ002740.1_bin_1504,100.0
2904at7147,OZ002743.1_bin_196,100.0
2908at7147,OZ002743.1_bin_394,100.0
2969at7147,OZ002742.1_bin_186,100.0
3120at7147,OZ002744.1_bin_483,100.0
3219at7147,OZ002742.1_bin_721,100.0
3282at7147,OZ002743.1_bin_350,100.0
3308at7147,OZ002742.1_bin_32,100.0
3333at7147,OZ002740.1_bin_240,100.0
3410at7147,OZ002743.1_bin_769,100.0
3413at7147,OZ002741.1_bin_823,100.0
3474at7147,OZ002741.1_bin_241,100.0
3577at7147,OZ002743.1_bin_238,100.0
3788at7147,OZ002740.1_bin_1188,100.0
3828at7147,OZ002740.1_bin_61,100.0
3874at7147,OZ002740.1_bin_96,100.0
4069at7147,OZ002743.1_bin_244,100.0
4073at7147,OZ002742.1_bin_10,100.0
4095at7147,OZ002743.1_bin_138,100.0
4164at7147,OZ002741.1_bin_1291,100.0
4211at7147,OZ002740.1_bin_208,100.0
4218at7147,OZ002741.1_bin_315,100.0
4274at7147,OZ002744.1_bin_202,100.0
4353at7147,OZ002740.1_bin_106,100.0
4421at7147,OZ002743.1_bin_618,100.0
4470at7147,OZ002740.1_bin_1114,100.0
4511at7147,OZ002741.1_bin_1135,100.0
4573at7147,OZ002741.1_bin_875,91.11606061170858
4573at7147,OZ002741.1_bin_876,8.883939388291429
4606at7147,OZ002741.1_bin_1192,100.0
4667at7147,OZ002744.1_bin_155,100.0
4829at7147,OZ002740.1_bin_1449,100.0
4932at7147,OZ002742.1_bin_117,100.0
5213at7147,OZ002741.1_bin_841,100.0
5225at7147,OZ002745.1_bin_16,100.0
5241at7147,OZ002741.1_bin_156,100.0
5263at7147,OZ002741.1_bin_1422,100.0
5433at7147,OZ002741.1_bin_204,100.0
5488at7147,OZ002743.1_bin_156,100.0
5674at7147,OZ002741.1_bin_152,100.0
5711at7147,OZ002745.1_bin_19,100.0
5723at7147,OZ002742.1_bin_562,32.33937691873511
5723at7147,OZ002742.1_bin_563,67.66062308126489
5768at7147,OZ002740.1_bin_1155,100.0
5780at7147,OZ002740.1_bin_30,100.0
5845at7147,OZ002741.1_bin_1165,100.0
5858at7147,OZ002741.1_bin_946,100.0
5978at7147,OZ002744.1_bin_46,100.0
6130at7147,OZ002742.1_bin_68,100.0
6240at7147,OZ002741.1_bin_239,100.0
6256at7147,OZ002743.1_bin_493,100.0
6718at7147,OZ002740.1_bin_1745,100.0
6736at7147,OZ002743.1_bin_178,100.0
6974at7147,OZ002741.1_bin_1272,100.0
7054at7147,OZ002741.1_bin_149,100.0
7326at7147,OZ002743.1_bin_495,13.857081066314567
7326at7147,OZ002743.1_bin_496,86.14291893368544
7353at7147,OZ002741.1_bin_3,100.0
7355at7147,OZ002741.1_bin_1328,100.0
7470at7147,OZ002743.1_bin_673,100.0
7527at7147,OZ002741.1_bin_1037,100.0
7563at7147,OZ002742.1_bin_194,100.0
7677at7147,OZ002741.1_bin_1222,100.0
7764at7147,OZ002743.1_bin_619,58.76612248579417
7764at7147,OZ002743.1_bin_620,41.23387751420582
7798at7147,OZ002740.1_bin_1750,100.0
7971at7147,OZ002741.1_bin_96,100.0
8005at7147,OZ002742.1_bin_931,100.0
8016at7147,OZ002745.1_bin_208,100.0
8037at7147,OZ002741.1_bin_1002,100.0
8079at7147,OZ002742.1_bin_821,3.0846937407188513
8079at7147,OZ002742.1_bin_822,96.91530625928115
8161at7147,OZ002741.1_bin_873,100.0
8234at7147,OZ002745.1_bin_203,100.0
8348at7147,OZ002745.1_bin_42,100.0
8364at7147,OZ002741.1_bin_328,100.0
8365at7147,OZ002740.1_bin_1468,100.0
8456at7147,OZ002742.1_bin_223,100.0
8734at7147,OZ002742.1_bin_329,100.0
8741at7147,OZ002744.1_bin_297,100.0
8776at7147,OZ002745.1_bin_6,100.0
8873at7147,OZ002742.1_bin_359,100.0
8933at7147,OZ002740.1_bin_158,100.0
8944at7147,OZ002741.1_bin_203,100.0
8977at7147,OZ002745.1_bin_66,100.0
9125at7147,OZ002740.1_bin_229,100.0
9191at7147,OZ002742.1_bin_912,100.0
9356at7147,OZ002742.1_bin_274,100.0
9394at7147,OZ002740.1_bin_209,100.0
9406at7147,OZ002741.1_bin_42,100.0
9425at7147,OZ002741.1_bin_334,100.0
9487at7147,OZ002744.1_bin_2,100.0
9678at7147,OZ002745.1_bin_132,100.0
9921at7147,OZ002743.1_bin_139,100.0
9938at7147,OZ002740.1_bin_1497,19.019864143827544
9938at7147,OZ002740.1_bin_1498,80.98013585617245
10055at7147,OZ002741.1_bin_203,100.0
10097at7147,OZ002744.1_bin_5,100.0
10198at7147,OZ002744.1_bin_499,100.0
10247at7147,OZ002740.1_bin_1689,100.0
10407at7147,OZ002741.1_bin_1084,100.0
10408at7147,OZ002742.1_bin_7,100.0
10443at7147,OZ002743.1_bin_798,100.0
10456at7147,OZ002741.1_bin_1067,100.0
10522at7147,OZ002741.1_bin_1390,100.0
10532at7147,OZ002740.1_bin_1696,100.0
10563at7147,OZ002741.1_bin_314,100.0
10589at7147,OZ002740.1_bin_1190,100.0
10612at7147,OZ002742.1_bin_188,100.0
10620at7147,OZ002742.1_bin_18,100.0
10654at7147,OZ002745.1_bin_180,100.0
10709at7147,OZ002740.1_bin_1674,100.0
10730at7147,OZ002740.1_bin_157,100.0
10821at7147,OZ002743.1_bin_141,100.0
10911at7147,OZ002742.1_bin_20,100.0
11023at7147,OZ002744.1_bin_42,100.0
11146at7147,OZ002741.1_bin_410,100.0
11268at7147,OZ002740.1_bin_1675,100.0
11343at7147,OZ002740.1_bin_10,100.0
11421at7147,OZ002740.1_bin_429,100.0
11457at7147,OZ002741.1_bin_1528,100.0
11484at7147,OZ002742.1_bin_303,100.0
11516at7147,OZ002740.1_bin_163,100.0
11534at7147,OZ002740.1_bin_71,100.0
11753at7147,OZ002745.1_bin_50,100.0
11874at7147,OZ002741.1_bin_872,100.0
11888at7147,OZ002740.1_bin_1477,100.0
11999at7147,OZ002740.1_bin_1843,100.0
12100at7147,OZ002742.1_bin_180,100.0
12116at7147,OZ002742.1_bin_1027,100.0
12219at7147,OZ002742.1_bin_185,100.0
12226at7147,OZ002745.1_bin_118,100.0
12283at7147,OZ002743.1_bin_57,100.0
12285at7147,OZ002741.1_bin_121,100.0
12361at7147,OZ002742.1_bin_295,100.0
12492at7147,OZ002740.1_bin_327,100.0
12531at7147,OZ002741.1_bin_1420,100.0
12652at7147,OZ002740.1_bin_163,100.0
12759at7147,OZ002745.1_bin_67,100.0
12796at7147,OZ002742.1_bin_69,100.0
13052at7147,OZ002743.1_bin_295,100.0
13055at7147,OZ002742.1_bin_302,100.0
13056at7147,OZ002740.1_bin_241,100.0
13145at7147,OZ002741.1_bin_1452,100.0
13207at7147,OZ002740.1_bin_1429,100.0
13389at7147,OZ002744.1_bin_541,100.0
13497at7147,OZ002740.1_bin_1712,100.0
13588at7147,OZ002744.1_bin_392,100.0
13731at7147,OZ002741.1_bin_193,100.0
13808at7147,OZ002741.1_bin_1459,100.0
13883at7147,OZ002740.1_bin_44,100.0
13919at7147,OZ002740.1_bin_1018,100.0
14042at7147,OZ002742.1_bin_17,100.0
14054at7147,OZ002743.1_bin_569,76.34319892750335
14054at7147,OZ002743.1_bin_570,23.65680107249665
14119at7147,OZ002742.1_bin_18,100.0
14247at7147,OZ002744.1_bin_19,100.0
14368at7147,OZ002743.1_bin_59,100.0
14376at7147,OZ002741.1_bin_1062,100.0
14513at7147,OZ002741.1_bin_1089,100.0
14525at7147,OZ002745.1_bin_59,100.0
14621at7147,OZ002744.1_bin_164,100.0
14633at7147,OZ002744.1_bin_330,100.0
14661at7147,OZ002742.1_bin_588,100.0
14706at7147,OZ002743.1_bin_17,100.0
14792at7147,OZ002741.1_bin_140,100.0
14821at7147,OZ002741.1_bin_9,100.0
15074at7147,OZ002745.1_bin_124,100.0
15336at7147,OZ002743.1_bin_322,100.0
15356at7147,OZ002741.1_bin_518,100.0
15390at7147,OZ002740.1_bin_226,57.124888706736954
15390at7147,OZ002740.1_bin_227,42.875111293263046
15451at7147,OZ002740.1_bin_1587,100.0
15468at7147,OZ002740.1_bin_33,100.0
15597at7147,OZ002743.1_bin_986,100.0
15662at7147,OZ002744.1_bin_231,100.0
15771at7147,OZ002742.1_bin_550,100.0
15909at7147,OZ002741.1_bin_276,100.0
15956at7147,OZ002743.1_bin_904,100.0
15977at7147,OZ002742.1_bin_808,100.0
16128at7147,OZ002742.1_bin_502,100.0
16264at7147,OZ002745.1_bin_162,100.0
16285at7147,OZ002741.1_bin_157,100.0
16470at7147,OZ002741.1_bin_1300,100.0
16687at7147,OZ002741.1_bin_275,100.0
16747at7147,OZ002741.1_bin_126,100.0
16822at7147,OZ002740.1_bin_11,100.0
16840at7147,OZ002742.1_bin_242,100.0
16873at7147,OZ002740.1_bin_255,70.73382834972239
16873at7147,OZ002740.1_bin_256,29.266171650277613
16927at7147,OZ002741.1_bin_98,100.0
16945at7147,OZ002742.1_bin_806,100.0
17073at7147,OZ002744.1_bin_395,100.0
17231at7147,OZ002742.1_bin_912,100.0
17265at7147,OZ002742.1_bin_10,100.0
17402at7147,OZ002743.1_bin_322,100.0
17410at7147,OZ002745.1_bin_15,100.0
17444at7147,OZ002742.1_bin_448,100.0
17528at7147,OZ002741.1_bin_1296,100.0
17568at7147,OZ002744.1_bin_182,100.0
17603at7147,OZ002745.1_bin_102,100.0
17608at7147,OZ002745.1_bin_25,100.0
17630at7147,OZ002741.1_bin_769,100.0
17649at7147,OZ002742.1_bin_818,100.0
17672at7147,OZ002741.1_bin_1212,100.0
17711at7147,OZ002745.1_bin_30,100.0
17793at7147,OZ002745.1_bin_4,100.0
17796at7147,OZ002743.1_bin_436,100.0
17799at7147,OZ002741.1_bin_365,100.0
17888at7147,OZ002742.1_bin_18,100.0
17896at7147,OZ002742.1_bin_1011,100.0
17953at7147,OZ002742.1_bin_978,100.0
17982at7147,OZ002740.1_bin_870,100.0
17984at7147,OZ002741.1_bin_1107,100.0
18006at7147,OZ002740.1_bin_62,0.5592503022974606
18006at7147,OZ002740.1_bin_63,99.44074969770253
18027at7147,OZ002742.1_bin_955,100.0
18028at7147,OZ002743.1_bin_410,100.0
18059at7147,OZ002743.1_bin_267,100.0
18072at7147,OZ002744.1_bin_220,100.0
18472at7147,OZ002745.1_bin_166,100.0
18484at7147,OZ002745.1_bin_11,100.0
18515at7147,OZ002741.1_bin_1419,100.0
19144at7147,OZ002742.1_bin_909,100.0
19212at7147,OZ002742.1_bin_89,100.0
19395at7147,OZ002742.1_bin_66,100.0
19684at7147,OZ002741.1_bin_1229,100.0
19729at7147,OZ002743.1_bin_44,100.0
19746at7147,OZ002740.1_bin_1098,100.0
19750at7147,OZ002743.1_bin_789,100.0
19787at7147,OZ002741.1_bin_1510,100.0
19873at7147,OZ002741.1_bin_152,100.0
20074at7147,OZ002741.1_bin_1135,100.0
20189at7147,OZ002743.1_bin_111,100.0
20309at7147,OZ002743.1_bin_644,100.0
20384at7147,OZ002742.1_bin_359,100.0
20583at7147,OZ002743.1_bin_391,100.0
20633at7147,OZ002744.1_bin_457,36.76565229383102
20633at7147,OZ002744.1_bin_458,63.23434770616898
20674at7147,OZ002743.1_bin_376,9.173919888446573
20674at7147,OZ002743.1_bin_377,90.82608011155344
20729at7147,OZ002744.1_bin_210,2.3047177107501935
20729at7147,OZ002744.1_bin_211,97.6952822892498
20769at7147,OZ002745.1_bin_246,100.0
20821at7147,OZ002745.1_bin_108,100.0
21072at7147,OZ002745.1_bin_28,100.0
21190at7147,OZ002740.1_bin_122,100.0
21253at7147,OZ002745.1_bin_100,41.599636741048265
21253at7147,OZ002745.1_bin_101,58.400363258951735
21351at7147,OZ002745.1_bin_182,100.0
21439at7147,OZ002741.1_bin_161,100.0
21468at7147,OZ002740.1_bin_1660,100.0
21503at7147,OZ002743.1_bin_248,100.0
21508at7147,OZ002741.1_bin_24,100.0
21581at7147,OZ002743.1_bin_144,100.0
21585at7147,OZ002741.1_bin_110,100.0
21605at7147,OZ002743.1_bin_119,100.0
21818at7147,OZ002741.1_bin_156,100.0
21852at7147,OZ002745.1_bin_67,100.0
21918at7147,OZ002743.1_bin_882,100.0
21939at7147,OZ002743.1_bin_418,100.0
22024at7147,OZ002743.1_bin_80,100.0
22088at7147,OZ002743.1_bin_939,100.0
22333at7147,OZ002741.1_bin_1536,100.0
22334at7147,OZ002740.1_bin_460,100.0
22418at7147,OZ002741.1_bin_152,100.0
22449at7147,OZ002745.1_bin_190,100.0
22604at7147,OZ002741.1_bin_1174,100.0
22719at7147,OZ002743.1_bin_347,100.0
22815at7147,OZ002744.1_bin_34,100.0
23190at7147,OZ002740.1_bin_244,32.6509133735936
23190at7147,OZ002740.1_bin_245,67.34908662640639
23278at7147,OZ002740.1_bin_1709,100.0
23365at7147,OZ002740.1_bin_1497,100.0
23560at7147,OZ002744.1_bin_319,100.0
23846at7147,OZ002741.1_bin_1196,100.0
24160at7147,OZ002742.1_bin_165,72.91349064908853
24160at7147,OZ002742.1_bin_166,27.08650935091147
24342at7147,OZ002742.1_bin_1021,100.0
24411at7147,OZ002740.1_bin_1179,100.0
24444at7147,OZ002743.1_bin_326,100.0
