busco_id,bin_id,overlap_percentage
8at7147,OX371225.1_bin_399,100.0
225at7147,OX371223.1_bin_1574,100.0
421at7147,OX371223.1_bin_1623,100.0
445at7147,OX371223.1_bin_363,100.0
452at7147,OX371224.1_bin_348,100.0
511at7147,OX371223.1_bin_1312,100.0
525at7147,OX371224.1_bin_162,100.0
540at7147,OX371225.1_bin_985,100.0
836at7147,OX371224.1_bin_10,100.0
841at7147,OX371225.1_bin_832,100.0
908at7147,OX371223.1_bin_1367,100.0
962at7147,OX371223.1_bin_59,100.0
994at7147,OX371225.1_bin_165,100.0
1004at7147,OX371223.1_bin_282,100.0
1049at7147,OX371224.1_bin_1541,100.0
1055at7147,OX371224.1_bin_681,100.0
1072at7147,OX371224.1_bin_1565,100.0
1078at7147,OX371223.1_bin_192,100.0
1123at7147,OX371225.1_bin_1164,100.0
1142at7147,OX371225.1_bin_577,100.0
1200at7147,OX371225.1_bin_99,100.0
1247at7147,OX371224.1_bin_710,100.0
1323at7147,OX371225.1_bin_1005,100.0
1690at7147,OX371224.1_bin_734,100.0
1854at7147,OX371224.1_bin_1134,100.0
1907at7147,OX371224.1_bin_1179,100.0
1914at7147,OX371225.1_bin_755,100.0
1984at7147,OX371223.1_bin_97,100.0
2041at7147,OX371223.1_bin_71,100.0
2067at7147,OX371225.1_bin_1423,100.0
2304at7147,OX371223.1_bin_825,100.0
2306at7147,OX371225.1_bin_1323,100.0
2332at7147,OX371224.1_bin_225,100.0
2339at7147,OX371223.1_bin_905,100.0
2552at7147,OX371225.1_bin_42,100.0
2609at7147,OX371224.1_bin_433,100.0
2610at7147,OX371224.1_bin_170,100.0
2635at7147,OX371223.1_bin_435,100.0
2697at7147,OX371225.1_bin_1073,100.0
2709at7147,OX371224.1_bin_804,32.38815664302631
2709at7147,OX371224.1_bin_805,67.6118433569737
2727at7147,OX371224.1_bin_397,37.16090672612412
2727at7147,OX371224.1_bin_398,62.83909327387588
2904at7147,OX371225.1_bin_1579,100.0
2969at7147,OX371225.1_bin_37,100.0
3120at7147,OX371224.1_bin_923,100.0
3219at7147,OX371223.1_bin_1672,100.0
3282at7147,OX371223.1_bin_1583,100.0
3308at7147,OX371223.1_bin_104,100.0
3333at7147,OX371223.1_bin_676,100.0
3410at7147,OX371223.1_bin_1261,100.0
3413at7147,OX371225.1_bin_17,100.0
3474at7147,OX371223.1_bin_1328,100.0
3577at7147,OX371225.1_bin_1080,100.0
3788at7147,OX371225.1_bin_654,100.0
3828at7147,OX371223.1_bin_819,100.0
4069at7147,OX371225.1_bin_1344,100.0
4073at7147,OX371225.1_bin_7,100.0
4095at7147,OX371225.1_bin_1381,100.0
4164at7147,OX371224.1_bin_1753,100.0
4211at7147,OX371223.1_bin_208,100.0
4218at7147,OX371223.1_bin_1232,100.0
4274at7147,OX371224.1_bin_798,100.0
4353at7147,OX371223.1_bin_788,100.0
4421at7147,OX371223.1_bin_109,100.0
4470at7147,OX371223.1_bin_1501,100.0
4511at7147,OX371223.1_bin_969,100.0
4573at7147,OX371224.1_bin_1830,26.63142711072159
4573at7147,OX371224.1_bin_1831,73.36857288927841
4606at7147,OX371224.1_bin_1843,100.0
4667at7147,OX371224.1_bin_454,100.0
