query	grouping_confidence	location_confidence	orientation_confidence
CM085463.1	0.5029920971993451	0.024813872100793284	0.4753809905587267
JBEUDM010000138.1	0.8854545454545455	1.0	1.0
JBEUDM010000052.1	1.0	1.0	1.0
JBEUDM010000258.1	1.0	1.0	1.0
CM085469.1	0.4642254585700981	0.010349501030917908	1.0
CM085467.1	0.4644535067458466	0.007444181142997715	0.49285544905873985
JBEUDM010000020.1	0.5781057248595056	0.0005123254290477464	0.5557604819869667
CM085465.1	0.35647122916364515	0.012442896054401345	0.684989224069539
JBEUDM010000104.1	1.0	1.0	1.0
CM085468.1	0.29198661794940267	0.0028089295698514104	0.525836031807334
CM085462.1	0.2855297047921692	0.021938151232247467	0.5260826293171263
CM085466.1	0.22007955306645305	0.016995789036552158	0.6074011850103881
CM085464.1	0.4203634885258034	0.042242335808089275	0.6282904589767583
JBEUDM010000094.1	1.0	1.0	1.0
JBEUDM010000456.1	1.0	0.000980952297239094	0.8790322580645161
JBEUDM010000468.1	1.0	1.0	1.0
JBEUDM010000034.1	0.7660576574711454	1.0	1.0
JBEUDM010000014.1	1.0	1.0	1.0
JBEUDM010000251.1	0.685828261647829	1.0	1.0
JBEUDM010000411.1	1.0	1.0	1.0
JBEUDM010000009.1	0.7051311817970746	1.0	1.0
JBEUDM010000012.1	1.0	1.0	0.6303900934853899
