busco_id,status,sequence,gene_start,gene_end,strand,score,length,line_number,original_start,original_end
8at7147,Complete,OY284468.1,35429832,35430662,+,339.1,207,1,35429832,35430662
225at7147,Complete,OY284470.1,6837411,6838766,-,982.1,418,2,6838766,6837411
284at7147,Complete,OY284469.1,30774346,30776090,-,386.2,182,3,30776090,30774346
421at7147,Complete,OY284470.1,11103134,11103650,+,268.8,140,4,11103134,11103650
445at7147,Complete,OY284472.1,32939079,32940273,-,687.5,337,5,32940273,32939079
452at7147,Complete,OY284469.1,56548908,56552797,+,1197.8,620,6,56548908,56552797
511at7147,Complete,OY284470.1,13013167,13014197,+,429.5,220,7,13013167,13014197
525at7147,Complete,OY284471.1,32506175,32506631,+,157.9,80,8,32506175,32506631
540at7147,Complete,OY284469.1,2069611,2070588,+,303.8,202,9,2069611,2070588
836at7147,Complete,OY284471.1,22776743,22779808,-,1209.0,542,10,22779808,22776743
841at7147,Complete,OY284469.1,59495051,59496148,-,504.4,283,11,59496148,59495051
908at7147,Complete,OY284470.1,47301639,47302429,-,356.1,169,12,47302429,47301639
962at7147,Complete,OY284471.1,23246546,23251505,+,361.4,273,13,23246546,23251505
994at7147,Complete,OY284472.1,3366450,3367165,-,359.1,187,14,3367165,3366450
1004at7147,Complete,OY284472.1,5499380,5500409,-,439.2,303,15,5500409,5499380
1049at7147,Complete,OY284473.1,1379127,1380769,-,852.5,377,16,1380769,1379127
1055at7147,Complete,OY284471.1,40508267,40509697,+,607.2,335,17,40508267,40509697
1072at7147,Complete,OY284468.1,58770827,58772389,-,569.9,342,18,58772389,58770827
1078at7147,Complete,OY284472.1,34240296,34241319,-,552.2,269,19,34241319,34240296
1123at7147,Complete,OY284469.1,7481372,7483102,+,628.0,377,20,7481372,7483102
1142at7147,Complete,OY284469.1,12563706,12565297,+,266.9,134,21,12563706,12565297
1200at7147,Complete,OY284468.1,57525411,57526161,-,400.9,200,22,57526161,57525411
1247at7147,Complete,OY284468.1,64360614,64363070,+,907.7,480,23,64360614,64363070
1323at7147,Complete,OY284470.1,20348713,20353411,-,361.3,159,24,20353411,20348713
1690at7147,Complete,OY284471.1,29128956,29136680,-,1063.3,629,25,29136680,29128956
1854at7147,Complete,OY284468.1,57764136,57765602,-,716.7,417,26,57765602,57764136
1907at7147,Complete,OY284468.1,58402855,58403594,+,313.8,190,27,58402855,58403594
1914at7147,Complete,OY284469.1,3256871,3258307,+,409.5,391,28,3256871,3258307
1984at7147,Complete,OY284469.1,31855460,31856016,-,277.7,154,29,31856016,31855460
2041at7147,Complete,OY284472.1,4884939,4885562,+,239.8,203,30,4884939,4885562
2067at7147,Complete,OY284469.1,29048984,29060401,+,645.5,374,31,29048984,29060401
2304at7147,Complete,OY284470.1,9404696,9405141,+,152.1,110,32,9404696,9405141
2306at7147,Complete,OY284469.1,11288961,11290581,-,805.5,396,33,11290581,11288961
2332at7147,Complete,OY284469.1,790081,791286,-,525.0,270,34,791286,790081
2339at7147,Complete,OY284472.1,33381984,33383346,-,462.6,270,35,33383346,33381984
2552at7147,Complete,OY284468.1,62435548,62452494,+,1177.6,636,36,62435548,62452494
2609at7147,Complete,OY284471.1,46257041,46258103,+,336.9,172,37,46257041,46258103
2610at7147,Complete,OY284471.1,24290617,24292731,+,325.0,197,38,24290617,24292731
2635at7147,Complete,OY284469.1,35500613,35504278,+,440.2,299,39,35500613,35504278
2697at7147,Complete,OY284469.1,38025236,38027057,+,1125.9,538,40,38025236,38027057
2709at7147,Complete,OY284471.1,8173830,8212337,-,1066.6,514,41,8212337,8173830
2881at7147,Complete,OY284469.1,39526983,39527644,+,160.9,170,43,39526983,39527644
2904at7147,Complete,OY284469.1,16673961,16686974,-,971.0,513,44,16686974,16673961
2908at7147,Complete,OY284469.1,6237300,6241414,+,2074.2,1092,45,6237300,6241414
2969at7147,Complete,OY284468.1,39358507,39371826,+,1315.3,657,46,39358507,39371826
3120at7147,Complete,OY284471.1,9977493,9977798,-,113.7,67,47,9977798,9977493
3219at7147,Complete,OY284470.1,1640252,1642610,+,991.2,476,48,1640252,1642610
3282at7147,Complete,OY284470.1,24309008,24309862,-,213.2,146,49,24309862,24309008
3308at7147,Complete,OY284468.1,24263319,24265016,+,287.4,261,50,24263319,24265016
3333at7147,Complete,OY284472.1,36577286,36579283,-,627.5,493,51,36579283,36577286
3410at7147,Complete,OY284472.1,22188073,22189922,+,578.8,300,52,22188073,22189922
3413at7147,Complete,OY284468.1,68736267,68737653,+,635.8,325,53,68736267,68737653
3474at7147,Complete,OY284470.1,4352042,4353019,-,321.8,240,54,4353019,4352042
