busco_id,status,sequence,gene_start,gene_end,strand,score,length,line_number,original_start,original_end
8at7147,Complete,NC_088783.1,40829745,40835740,-,449.8,239,1,40835740,40829745
225at7147,Complete,NC_088780.1,31786562,31787824,+,992.4,418,2,31786562,31787824
284at7147,Complete,NC_088782.1,18940971,18943240,+,403.1,182,3,18940971,18943240
421at7147,Complete,NC_088780.1,54925236,54925766,+,304.6,162,4,54925236,54925766
445at7147,Complete,NC_088782.1,13293926,13295418,+,731.8,338,5,13293926,13295418
452at7147,Complete,NC_088784.1,99645967,99695244,+,1295.7,620,6,99645967,99695244
511at7147,Complete,NC_088782.1,15861546,15863632,-,470.0,220,7,15863632,15861546
525at7147,Complete,NC_088781.1,129517762,129518101,-,166.7,81,8,129518101,129517762
540at7147,Complete,NC_088784.1,94739172,94740734,-,320.2,189,9,94740734,94739172
836at7147,Complete,NC_088781.1,57425034,57426901,+,1251.8,541,10,57425034,57426901
841at7147,Complete,NC_088782.1,15806183,15807277,+,578.2,283,11,15806183,15807277
908at7147,Complete,NC_088780.1,39906911,39907556,+,366.4,168,12,39906911,39907556
962at7147,Complete,NC_088784.1,25250737,25253275,+,519.0,326,13,25250737,25253275
994at7147,Complete,NC_088782.1,119916288,119917112,-,417.9,194,14,119917112,119916288
1004at7147,Complete,NC_088782.1,57487648,57488667,+,542.3,304,15,57487648,57488667
1049at7147,Complete,NC_088780.1,17177887,17188202,+,844.0,411,16,17177887,17188202
1055at7147,Complete,NC_088781.1,60720725,60723688,+,646.7,336,17,60720725,60723688
1072at7147,Complete,NC_088780.1,92952004,92954542,-,692.5,357,18,92954542,92952004
1078at7147,Complete,NC_088781.1,115679944,115680768,+,614.9,273,19,115679944,115680768
1123at7147,Complete,NC_088783.1,116865552,116866757,+,717.3,378,20,116865552,116866757
1142at7147,Complete,NC_088782.1,52233504,52234194,-,311.7,167,21,52234194,52233504
1200at7147,Complete,NC_088783.1,57561959,57562804,+,402.6,200,22,57561959,57562804
1247at7147,Complete,NC_088783.1,114599441,114652307,-,1017.3,479,23,114652307,114599441
1323at7147,Complete,NC_088783.1,64364171,64390336,+,371.6,159,24,64364171,64390336
1690at7147,Complete,NC_088781.1,34512235,34577706,+,1190.7,628,25,34512235,34577706
1854at7147,Complete,NC_088783.1,54657155,54659427,+,814.3,432,26,54657155,54659427
1907at7147,Complete,NC_088783.1,57624123,57625107,-,384.0,196,27,57625107,57624123
1914at7147,Complete,NC_088784.1,111457411,111458715,+,568.6,398,28,111457411,111458715
1984at7147,Complete,NC_088784.1,76433100,76433631,-,309.5,154,29,76433631,76433100
2041at7147,Complete,NC_088784.1,923351,923995,+,390.1,210,30,923351,923995
2067at7147,Complete,NC_088782.1,72762423,72791313,+,748.7,377,31,72762423,72791313
2304at7147,Complete,NC_088784.1,30048604,30049048,+,198.7,112,32,30048604,30049048
2306at7147,Complete,NC_088782.1,4177853,4179554,-,878.3,399,33,4179554,4177853
2332at7147,Complete,NC_088784.1,100607381,100611362,-,556.1,269,34,100611362,100607381
2339at7147,Complete,NC_088782.1,106051989,106055177,-,543.1,289,35,106055177,106051989
2552at7147,Complete,NC_088783.1,72986108,73027141,+,1370.1,652,36,72986108,73027141
2609at7147,Complete,NC_088781.1,120909611,120915691,-,327.1,172,37,120915691,120909611
2610at7147,Complete,NC_088781.1,115651310,115654002,-,408.5,218,38,115654002,115651310
2635at7147,Complete,NC_088784.1,62358163,62362332,+,586.8,321,39,62358163,62362332
2697at7147,Complete,NC_088784.1,74126442,74128399,+,1221.4,577,40,74126442,74128399
2709at7147,Complete,NC_088781.1,366718,479688,+,1134.0,514,41,366718,479688
2727at7147,Complete,NC_088784.1,102666932,102668822,-,981.3,495,42,102668822,102666932
2881at7147,Complete,NC_088784.1,57326417,57326977,+,279.1,162,43,57326417,57326977
2904at7147,Complete,NC_088782.1,65676018,65679809,-,1113.7,549,44,65679809,65676018
2908at7147,Complete,NC_088782.1,70720678,70726172,+,2213.6,1110,45,70720678,70726172
2969at7147,Complete,NC_088783.1,25828179,25835910,-,1451.5,662,46,25835910,25828179
3120at7147,Complete,NC_088781.1,6961748,6962050,+,140.3,75,47,6961748,6962050
3219at7147,Complete,NC_088783.1,84342320,84347868,-,1032.1,479,48,84347868,84342320
3282at7147,Complete,NC_088782.1,21816253,21816754,+,285.7,147,49,21816253,21816754
3308at7147,Complete,NC_088783.1,1507030,1508144,+,392.7,294,50,1507030,1508144
3333at7147,Complete,NC_088784.1,36439729,36442131,+,839.2,496,51,36439729,36442131
3410at7147,Complete,NC_088782.1,127540849,127546109,+,620.5,300,52,127540849,127546109
3413at7147,Complete,NC_088784.1,14162229,14163290,-,684.2,326,53,14163290,14162229
3474at7147,Complete,NC_088780.1,4832986,4833847,-,394.4,239,54,4833847,4832986
3577at7147,Complete,NC_088782.1,33814537,33815044,-,240.7,138,55,33815044,33814537
3788at7147,Complete,NC_088784.1,68093271,68094067,-,351.0,187,56,68094067,68093271
3828at7147,Complete,NC_088780.1,98795602,98799494,+,399.0,188,57,98795602,98799494
3874at7147,Complete,NC_088784.1,1751234,1751805,+,311.6,147,58,1751234,1751805
4069at7147,Complete,NC_088782.1,31336599,31340363,+,433.2,269,59,31336599,31340363
4073at7147,Complete,NC_088782.1,113962140,113963839,-,1073.7,512,60,113963839,113962140
4095at7147,Complete,NC_088782.1,4098088,4100351,-,743.6,373,61,4100351,4098088
4164at7147,Complete,NC_088780.1,123734742,123739388,-,231.4,117,62,123739388,123734742
4211at7147,Complete,NC_088782.1,124664474,124664995,-,208.9,125,63,124664995,124664474
4218at7147,Complete,NC_088780.1,49709223,49734267,+,908.1,434,64,49709223,49734267
4274at7147,Complete,NC_088781.1,98346100,98357214,+,1100.3,599,65,98346100,98357214
4353at7147,Complete,NC_088784.1,21946391,21968124,+,1109.0,528,66,21946391,21968124
4421at7147,Complete,NC_088782.1,119370592,119372757,+,915.5,520,67,119370592,119372757
4470at7147,Complete,NC_088784.1,77428706,77438493,-,1112.2,562,68,77438493,77428706
4511at7147,Complete,NC_088780.1,48550974,48553336,+,480.9,225,69,48550974,48553336
4573at7147,Complete,NC_088780.1,118878834,118994604,-,1110.4,537,70,118994604,118878834
4606at7147,Complete,NC_088780.1,81299866,81323488,+,1405.6,686,71,81299866,81323488
4667at7147,Complete,NC_088781.1,132953351,132955915,+,1087.5,513,72,132953351,132955915
4829at7147,Complete,NC_088784.1,99504528,99513081,+,5590.5,2330,73,99504528,99513081
4932at7147,Complete,NC_088783.1,59206265,59210469,+,812.8,416,74,59206265,59210469
5213at7147,Complete,NC_088780.1,146338562,146340972,-,386.5,190,75,146340972,146338562
5225at7147,Complete,NC_088781.1,98958037,98958390,+,241.3,111,76,98958037,98958390
5241at7147,Complete,NC_088780.1,62170416,62174443,-,560.9,321,77,62174443,62170416
5263at7147,Complete,NC_088780.1,127942139,127948170,-,1031.2,482,78,127948170,127942139
5433at7147,Complete,NC_088780.1,4838452,4841783,+,380.2,220,79,4838452,4841783
5488at7147,Complete,NC_088781.1,6908735,6911339,+,311.3,244,80,6908735,6911339
5674at7147,Complete,NC_088780.1,4801401,4802217,+,507.2,244,81,4801401,4802217
5711at7147,Complete,NC_088781.1,35822635,35824484,-,537.4,375,82,35824484,35822635
5723at7147,Complete,NC_088783.1,6776479,6778285,+,449.7,274,83,6776479,6778285
5768at7147,Complete,NC_088784.1,105372348,105375887,-,483.1,333,84,105375887,105372348
5780at7147,Complete,NC_088784.1,34375098,34382722,-,794.0,449,85,34382722,34375098
5845at7147,Complete,NC_088780.1,172283481,172322932,-,797.9,538,86,172322932,172283481
5858at7147,Complete,NC_088780.1,151507969,151508684,-,301.9,206,87,151508684,151507969
5978at7147,Complete,NC_088782.1,52388584,52390352,-,1030.2,527,88,52390352,52388584
6240at7147,Complete,NC_088780.1,58772330,58810246,+,847.5,438,90,58772330,58810246
6256at7147,Complete,NC_088782.1,17505041,17507326,-,1202.8,682,91,17507326,17505041
6718at7147,Complete,NC_088784.1,110389840,110393083,+,932.8,539,92,110389840,110393083
6736at7147,Complete,NC_088780.1,39138508,39139968,+,1016.8,463,93,39138508,39139968
6974at7147,Complete,NC_088780.1,155292819,155295666,-,1065.6,530,94,155295666,155292819
7054at7147,Complete,NC_088780.1,48500223,48503180,-,535.7,280,95,48503180,48500223
7326at7147,Complete,NC_088782.1,21831808,21835731,-,1492.3,910,96,21835731,21831808
7353at7147,Complete,NC_088783.1,19753375,19760635,+,1185.8,733,97,19753375,19760635
7355at7147,Complete,NC_088780.1,82995180,82996696,-,992.4,478,98,82996696,82995180
7470at7147,Complete,NC_088782.1,122931619,122932251,+,326.3,150,99,122931619,122932251
7527at7147,Complete,NC_088780.1,125523204,125525347,-,747.9,334,100,125525347,125523204
7563at7147,Complete,NC_088783.1,27632777,27646631,+,2363.2,1103,101,27632777,27646631
7677at7147,Complete,NC_088780.1,157083247,157096374,-,695.3,359,102,157096374,157083247
7764at7147,Complete,NC_088782.1,102261082,102276524,+,821.8,461,103,102261082,102276524
7798at7147,Complete,NC_088784.1,104776594,104785943,-,483.3,237,104,104785943,104776594
7971at7147,Complete,NC_088783.1,113132404,113134423,+,1051.5,491,105,113132404,113134423
8005at7147,Complete,NC_088783.1,57408155,57409904,+,825.3,429,106,57408155,57409904
8016at7147,Complete,NC_088781.1,5169707,5172829,-,1747.1,901,107,5172829,5169707
8037at7147,Complete,NC_088780.1,103034760,103057948,-,2330.3,994,108,103057948,103034760
8079at7147,Complete,NC_088783.1,111478604,111516914,-,2292.7,1071,109,111516914,111478604
8161at7147,Complete,NC_088780.1,145513884,145516968,+,1179.2,705,110,145513884,145516968
8234at7147,Complete,NC_088781.1,52503779,52506072,+,904.7,548,111,52503779,52506072
8348at7147,Complete,NC_088781.1,20736955,20748906,+,720.8,392,112,20736955,20748906
8364at7147,Complete,NC_088780.1,53388559,53420813,+,411.4,230,113,53388559,53420813
8365at7147,Complete,NC_088784.1,114153467,114154412,+,381.6,244,114,114153467,114154412
8456at7147,Complete,NC_088780.1,125516836,125519155,+,545.2,341,115,125516836,125519155
8734at7147,Complete,NC_088783.1,21287519,21302124,-,1516.0,878,116,21302124,21287519
8741at7147,Complete,NC_088781.1,133352851,133356076,-,674.6,399,117,133356076,133352851
8776at7147,Complete,NC_088781.1,11133392,11134431,+,344.0,261,118,11133392,11134431
8873at7147,Complete,NC_088783.1,6688809,6691974,+,1036.4,842,119,6688809,6691974
8933at7147,Complete,NC_088784.1,18303878,18306218,-,1123.7,542,120,18306218,18303878
8944at7147,Complete,NC_088780.1,19055719,19058785,-,553.5,351,121,19058785,19055719
8977at7147,Complete,NC_088781.1,24544292,24569445,-,1092.6,518,122,24569445,24544292
9125at7147,Complete,NC_088784.1,23650406,23677313,+,2022.5,1039,123,23650406,23677313
9191at7147,Complete,NC_088781.1,73644012,73701536,+,518.1,303,124,73644012,73701536
9356at7147,Complete,NC_088782.1,110973123,110974225,-,513.0,314,125,110974225,110973123
9394at7147,Complete,NC_088784.1,1930003,1931469,-,643.3,324,126,1931469,1930003
9406at7147,Complete,NC_088783.1,114119491,114136732,-,368.3,184,127,114136732,114119491
9425at7147,Complete,NC_088780.1,2653551,2654824,-,518.1,377,128,2654824,2653551
9487at7147,Complete,NC_088781.1,105012934,105014475,+,703.1,409,129,105012934,105014475
9678at7147,Complete,NC_088781.1,16714225,16716348,+,1020.7,475,130,16714225,16716348
9921at7147,Complete,NC_088782.1,3873672,3878784,+,361.4,257,131,3873672,3878784
9938at7147,Complete,NC_088784.1,111800001,111825022,+,4728.9,2802,132,111800001,111825022
10055at7147,Complete,NC_088780.1,2293919,2298367,+,1077.6,508,133,2293919,2298367
10097at7147,Complete,NC_088781.1,96899079,96899987,-,614.0,298,134,96899987,96899079
10198at7147,Complete,NC_088782.1,111810470,111811988,-,889.6,396,135,111811988,111810470
10247at7147,Complete,NC_088784.1,112682240,112702775,+,2445.1,1231,136,112682240,112702775
10407at7147,Complete,NC_088780.1,125637139,125638073,+,556.2,271,137,125637139,125638073
10408at7147,Complete,NC_088783.1,69465127,69482435,-,278.2,161,138,69482435,69465127
10443at7147,Complete,NC_088782.1,103484300,103491646,-,1848.4,1111,139,103491646,103484300
10456at7147,Complete,NC_088780.1,112032520,112033416,-,482.6,279,140,112033416,112032520
