busco_id,chromosome,bin_id,overlap_percentage
59881at7147,OU343114.1,OU343114.1_bin_380,40.388033175355446
59881at7147,OU343114.1,OU343114.1_bin_381,59.61196682464455
59897at7147,OU343114.1,OU343114.1_bin_771,100.0
59908at7147,OU343114.1,OU343114.1_bin_43,100.0
59927at7147,OU343114.1,OU343114.1_bin_482,100.0
59991at7147,OU343114.1,OU343114.1_bin_788,100.0
60157at7147,OU343114.1,OU343114.1_bin_898,100.0
60174at7147,OU343114.1,OU343114.1_bin_738,15.590462381182535
60174at7147,OU343114.1,OU343114.1_bin_739,84.40953761881747
60271at7147,OU343114.1,OU343114.1_bin_397,100.0
60303at7147,OU343114.1,OU343114.1_bin_313,100.0
60315at7147,OU343114.1,OU343114.1_bin_439,100.0
60338at7147,OU343114.1,OU343114.1_bin_955,100.0
60501at7147,OU343114.1,OU343114.1_bin_337,100.0
60504at7147,OU343114.1,OU343114.1_bin_620,100.0
60514at7147,OU343114.1,OU343114.1_bin_947,100.0
60545at7147,OU343114.1,OU343114.1_bin_898,100.0
60612at7147,OU343114.1,OU343114.1_bin_906,100.0
60656at7147,OU343114.1,OU343114.1_bin_567,100.0
60708at7147,OU343114.1,OU343114.1_bin_384,100.0
60719at7147,OU343114.1,OU343114.1_bin_178,100.0
60739at7147,OU343114.1,OU343114.1_bin_798,100.0
60817at7147,OU343114.1,OU343114.1_bin_244,100.0
60826at7147,OU343114.1,OU343114.1_bin_815,54.7508122693981
60826at7147,OU343114.1,OU343114.1_bin_816,45.2491877306019
60885at7147,OU343114.1,OU343114.1_bin_562,100.0
60941at7147,OU343114.1,OU343114.1_bin_411,100.0
60973at7147,OU343114.1,OU343114.1_bin_801,100.0
61024at7147,OU343114.1,OU343114.1_bin_378,100.0
61053at7147,OU343114.1,OU343114.1_bin_861,100.0
61113at7147,OU343114.1,OU343114.1_bin_619,100.0
61242at7147,OU343114.1,OU343114.1_bin_581,2.9340627699395334
61242at7147,OU343114.1,OU343114.1_bin_582,97.06593723006046
61255at7147,OU343114.1,OU343114.1_bin_906,100.0
61286at7147,OU343114.1,OU343114.1_bin_491,100.0
61306at7147,OU343114.1,OU343114.1_bin_112,100.0
61340at7147,OU343114.1,OU343114.1_bin_84,100.0
61388at7147,OU343114.1,OU343114.1_bin_907,100.0
61398at7147,OU343114.1,OU343114.1_bin_633,100.0
61497at7147,OU343114.1,OU343114.1_bin_937,100.0
61509at7147,OU343114.1,OU343114.1_bin_408,100.0
61559at7147,OU343114.1,OU343114.1_bin_555,100.0
61710at7147,OU343114.1,OU343114.1_bin_265,42.04451772464963
61710at7147,OU343114.1,OU343114.1_bin_266,57.95548227535037
61713at7147,OU343114.1,OU343114.1_bin_547,100.0
61750at7147,OU343114.1,OU343114.1_bin_85,100.0
61769at7147,OU343114.1,OU343114.1_bin_109,100.0
61842at7147,OU343114.1,OU343114.1_bin_553,100.0
61879at7147,OU343114.1,OU343114.1_bin_619,100.0
61890at7147,OU343114.1,OU343114.1_bin_295,100.0
61928at7147,OU343114.1,OU343114.1_bin_566,100.0
61938at7147,OU343114.1,OU343114.1_bin_205,100.0
61986at7147,OU343114.1,OU343114.1_bin_506,100.0
62045at7147,OU343114.1,OU343114.1_bin_57,100.0
62066at7147,OU343114.1,OU343114.1_bin_170,100.0
62144at7147,OU343114.1,OU343114.1_bin_121,100.0
62147at7147,OU343114.1,OU343114.1_bin_840,100.0
62503at7147,OU343114.1,OU343114.1_bin_688,100.0
62557at7147,OU343114.1,OU343114.1_bin_365,100.0
62560at7147,OU343114.1,OU343114.1_bin_49,100.0
62613at7147,OU343114.1,OU343114.1_bin_898,5.034629728289825
62613at7147,OU343114.1,OU343114.1_bin_899,94.96537027171019
62957at7147,OU343114.1,OU343114.1_bin_157,100.0
63014at7147,OU343114.1,OU343114.1_bin_41,100.0
63030at7147,OU343114.1,OU343114.1_bin_466,100.0
63036at7147,OU343114.1,OU343114.1_bin_695,100.0
63096at7147,OU343114.1,OU343114.1_bin_559,100.0
63138at7147,OU343114.1,OU343114.1_bin_149,24.450789118883336
63138at7147,OU343114.1,OU343114.1_bin_150,75.54921088111666
63142at7147,OU343114.1,OU343114.1_bin_891,100.0
63177at7147,OU343114.1,OU343114.1_bin_396,100.0
63447at7147,OU343114.1,OU343114.1_bin_837,100.0
63476at7147,OU343114.1,OU343114.1_bin_85,100.0
63492at7147,OU343114.1,OU343114.1_bin_207,100.0
63539at7147,OU343114.1,OU343114.1_bin_466,100.0
63582at7147,OU343114.1,OU343114.1_bin_855,100.0
63585at7147,OU343114.1,OU343114.1_bin_738,100.0
63672at7147,OU343114.1,OU343114.1_bin_326,100.0
63673at7147,OU343114.1,OU343114.1_bin_919,4.479949874686716
63673at7147,OU343114.1,OU343114.1_bin_920,95.52005012531328
63727at7147,OU343114.1,OU343114.1_bin_562,100.0
63777at7147,OU343114.1,OU343114.1_bin_954,100.0
63804at7147,OU343114.1,OU343114.1_bin_311,100.0
63838at7147,OU343114.1,OU343114.1_bin_907,28.855380397532553
63838at7147,OU343114.1,OU343114.1_bin_908,71.14461960246744
63904at7147,OU343114.1,OU343114.1_bin_759,46.11320461520532
63904at7147,OU343114.1,OU343114.1_bin_760,53.88679538479468
63959at7147,OU343114.1,OU343114.1_bin_100,100.0
64036at7147,OU343114.1,OU343114.1_bin_876,100.0
64050at7147,OU343114.1,OU343114.1_bin_812,100.0
64130at7147,OU343114.1,OU343114.1_bin_247,100.0
64158at7147,OU343114.1,OU343114.1_bin_554,100.0
64167at7147,OU343114.1,OU343114.1_bin_594,100.0
64183at7147,OU343114.1,OU343114.1_bin_593,100.0
64195at7147,OU343114.1,OU343114.1_bin_348,100.0
64274at7147,OU343114.1,OU343114.1_bin_944,100.0
64333at7147,OU343114.1,OU343114.1_bin_333,100.0
64346at7147,OU343114.1,OU343114.1_bin_110,100.0
64351at7147,OU343114.1,OU343114.1_bin_122,100.0
64411at7147,OU343114.1,OU343114.1_bin_691,100.0
64413at7147,OU343114.1,OU343114.1_bin_132,100.0
64480at7147,OU343114.1,OU343114.1_bin_110,100.0
64505at7147,OU343114.1,OU343114.1_bin_310,100.0
64519at7147,OU343114.1,OU343114.1_bin_336,100.0
