busco_id,status,sequence,gene_start,gene_end,strand,score,length,line_number,original_start,original_end
8at7147,Complete,CM085463.1,36552367,36553122,-,321.6,202,1,36553122,36552367
225at7147,Complete,CM085462.1,28666922,28668325,+,987.7,418,2,28666922,28668325
284at7147,Complete,CM085467.1,9613325,9616436,+,384.9,182,3,9613325,9616436
421at7147,Complete,CM085462.1,65354064,65354597,+,284.4,150,4,65354064,65354597
445at7147,Complete,CM085464.1,20301489,20302610,-,695.0,334,5,20302610,20301489
452at7147,Complete,CM085465.1,69184953,69213783,+,1205.2,619,6,69184953,69213783
511at7147,Complete,CM085466.1,15389406,15424004,-,402.3,220,7,15424004,15389406
525at7147,Complete,CM085464.1,87425625,87426119,-,158.5,81,8,87426119,87425625
540at7147,Complete,CM085465.1,60493,61798,+,286.9,200,9,60493,61798
836at7147,Complete,CM085464.1,71882434,71887176,+,1215.6,541,10,71882434,71887176
841at7147,Complete,CM085467.1,2999487,3003662,+,531.5,283,11,2999487,3003662
908at7147,Complete,CM085462.1,119259860,119271429,-,348.5,171,12,119271429,119259860
962at7147,Complete,CM085464.1,77902666,77922033,+,307.4,275,13,77902666,77922033
994at7147,Complete,CM085462.1,61130006,61132894,-,396.1,187,14,61132894,61130006
1049at7147,Duplicated,CM085467.1,3734307,3750785,-,767.8,379,16,3750785,3734307
1049at7147,Duplicated,JBEUDM010000052.1,139062,155410,+,767.8,379,17,139062,155410
1055at7147,Complete,CM085464.1,48426954,48431999,+,590.9,335,18,48426954,48431999
1078at7147,Complete,CM085462.1,151492901,151502068,-,585.0,273,20,151502068,151492901
1123at7147,Duplicated,CM085467.1,3708822,3713048,-,609.6,378,21,3713048,3708822
1123at7147,Duplicated,JBEUDM010000052.1,177264,181490,+,609.6,378,22,177264,181490
1142at7147,Fragmented,CM085467.1,22864405,22865127,-,289.0,132,23,22865127,22864405
1200at7147,Complete,CM085463.1,32289940,32294115,-,404.7,200,24,32294115,32289940
1247at7147,Complete,CM085463.1,86420065,86426612,-,922.7,479,25,86426612,86420065
1323at7147,Complete,CM085462.1,23762643,23823770,+,365.1,159,26,23762643,23823770
1690at7147,Complete,CM085464.1,37945663,37967364,+,1050.8,628,27,37945663,37967364
1854at7147,Complete,CM085463.1,137838304,137843851,+,709.6,415,28,137838304,137843851
1907at7147,Complete,CM085463.1,127248840,127250684,-,340.1,185,29,127250684,127248840
1914at7147,Complete,CM085465.1,18334459,18335793,-,364.8,396,30,18335793,18334459
1984at7147,Complete,CM085465.1,12728779,12729290,-,245.5,147,31,12729290,12728779
2041at7147,Complete,CM085462.1,154860856,154861476,-,283.7,203,32,154861476,154860856
2067at7147,Complete,CM085467.1,15647887,15668928,-,643.8,374,33,15668928,15647887
2304at7147,Complete,CM085462.1,58703893,58704225,-,172.9,110,34,58704225,58703893
2306at7147,Complete,CM085465.1,32656861,32658769,+,799.8,394,35,32656861,32658769
2332at7147,Complete,CM085465.1,41870933,41875009,+,498.1,269,36,41870933,41875009
2339at7147,Complete,CM085464.1,12074218,12082557,+,451.0,286,37,12074218,12082557
2552at7147,Complete,CM085463.1,115543055,115563631,-,1241.2,649,38,115563631,115543055
2609at7147,Complete,CM085464.1,55129116,55131991,+,337.3,172,39,55129116,55131991
2610at7147,Complete,CM085464.1,59400862,59405990,-,390.4,218,40,59405990,59400862
2635at7147,Complete,CM085465.1,10509783,10511984,+,398.1,299,41,10509783,10511984
2697at7147,Complete,CM085467.1,13972416,13976574,+,969.1,535,42,13972416,13976574
2709at7147,Fragmented,JBEUDM010000011.1,1559545,1598208,-,530.6,302,43,1598208,1559545
