busco_id,status,sequence,gene_start,gene_end,strand,score,length,line_number,original_start,original_end
8at7147,Complete,OU895878.1,13454952,13455638,-,350.7,205,1,13455638,13454952
225at7147,Complete,OU895878.1,53388371,53389686,-,965.6,415,2,53389686,53388371
421at7147,Fragmented,OU895877.1,47381071,47381540,+,253.6,132,4,47381071,47381540
445at7147,Duplicated,OU895877.1,15758502,15762932,+,625.1,329,5,15758502,15762932
445at7147,Duplicated,OU895880.1,10472661,10476879,+,625.1,329,6,10472661,10476879
452at7147,Complete,OU895877.1,34539241,34541912,+,1176.5,620,7,34539241,34541912
511at7147,Complete,OU895878.1,45156869,45157994,-,346.5,206,8,45157994,45156869
525at7147,Complete,OU895878.1,26228939,26229389,-,160.5,80,9,26229389,26228939
540at7147,Complete,OU895878.1,38347602,38348243,-,273.0,203,10,38348243,38347602
836at7147,Complete,OU895877.1,24022988,24024815,-,1221.5,548,11,24024815,24022988
841at7147,Complete,OU895879.1,17932002,17932986,+,494.4,283,12,17932002,17932986
908at7147,Complete,OU895880.1,3655157,3655663,+,355.3,168,13,3655157,3655663
962at7147,Complete,OU895879.1,28535866,28536756,-,340.9,269,14,28536756,28535866
994at7147,Complete,OU895877.1,21619640,21620512,+,386.0,194,15,21619640,21620512
1004at7147,Complete,OU895878.1,22117595,22118572,-,398.1,302,16,22118572,22117595
1049at7147,Fragmented,OU895877.1,37401862,37403113,+,699.2,319,17,37401862,37403113
1055at7147,Complete,OU895877.1,2782554,2783782,+,602.9,331,18,2782554,2783782
1078at7147,Complete,OU895877.1,8587577,8588578,-,564.1,273,20,8588578,8587577
1123at7147,Complete,OU895879.1,21131516,21132619,+,588.0,353,21,21131516,21132619
1142at7147,Fragmented,OU895877.1,46772277,46772743,+,280.2,132,22,46772277,46772743
1200at7147,Complete,OU895880.1,6318086,6319841,+,321.1,197,23,6318086,6319841
1247at7147,Complete,OU895879.1,42330780,42332373,+,892.7,480,24,42330780,42332373
1690at7147,Complete,OU895877.1,27527468,27530720,+,926.2,555,26,27527468,27530720
1854at7147,Complete,OU895878.1,20907037,20908749,-,674.3,417,27,20908749,20907037
1907at7147,Complete,OU895877.1,32354064,32354783,-,339.7,191,28,32354783,32354064
1914at7147,Complete,OU895877.1,45267983,45269339,-,412.0,399,29,45269339,45267983
1984at7147,Complete,OU895877.1,49465529,49466037,+,276.8,150,30,49465529,49466037
2041at7147,Duplicated,OU895878.1,13288473,13289111,-,258.4,205,31,13289111,13288473
2041at7147,Duplicated,OU895878.1,33094250,33094948,+,243.2,203,32,33094250,33094948
2304at7147,Complete,OU895878.1,51204619,51204998,-,157.6,100,34,51204998,51204619
2306at7147,Complete,OU895877.1,44614958,44616342,+,810.0,396,35,44614958,44616342
2332at7147,Complete,OU895877.1,9391081,9393665,-,449.5,267,36,9393665,9391081
2339at7147,Complete,OU895878.1,10072242,10073256,-,468.7,270,37,10073256,10072242
2552at7147,Complete,OU895878.1,26357307,26360705,-,1219.3,622,38,26360705,26357307
