busco_id,bin_id,overlap_percentage
8at7147,NC_079135.1_bin_557,100.0
225at7147,NC_079136.1_bin_463,100.0
284at7147,NC_079135.1_bin_139,100.0
421at7147,NC_079136.1_bin_473,100.0
445at7147,NC_079135.1_bin_48,100.0
452at7147,NC_079134.1_bin_881,100.0
525at7147,NC_079136.1_bin_615,100.0
540at7147,NC_079134.1_bin_863,100.0
836at7147,NC_079134.1_bin_75,100.0
841at7147,NC_079135.1_bin_249,100.0
908at7147,NC_079136.1_bin_503,100.0
962at7147,NC_079137.1_bin_241,100.0
994at7147,NC_079137.1_bin_278,1.7854077253218883
994at7147,NC_079137.1_bin_279,98.21459227467811
1004at7147,NC_079135.1_bin_183,100.0
1049at7147,NC_079136.1_bin_376,100.0
1055at7147,NC_079134.1_bin_216,100.0
1072at7147,NC_079136.1_bin_243,100.0
1078at7147,NC_079135.1_bin_66,100.0
1123at7147,NC_079135.1_bin_151,100.0
1142at7147,NC_079135.1_bin_259,100.0
1200at7147,NC_079135.1_bin_629,100.0
1247at7147,NC_079136.1_bin_276,100.0
1323at7147,NC_079135.1_bin_420,100.0
1690at7147,NC_079134.1_bin_108,100.0
1854at7147,NC_079135.1_bin_549,100.0
1907at7147,NC_079135.1_bin_632,100.0
1914at7147,NC_079134.1_bin_633,100.0
1984at7147,NC_079134.1_bin_597,100.0
2041at7147,NC_079134.1_bin_492,100.0
2067at7147,NC_079135.1_bin_169,100.0
2304at7147,NC_079137.1_bin_165,100.0
2306at7147,NC_079135.1_bin_150,100.0
2332at7147,NC_079134.1_bin_826,100.0
2339at7147,NC_079137.1_bin_321,100.0
2552at7147,NC_079135.1_bin_465,100.0
2609at7147,NC_079136.1_bin_564,100.0
2610at7147,NC_079134.1_bin_475,100.0
2635at7147,NC_079134.1_bin_649,100.0
2697at7147,NC_079134.1_bin_698,100.0
2709at7147,NC_079134.1_bin_257,35.06275981757275
2709at7147,NC_079134.1_bin_258,64.93724018242725
2727at7147,NC_079134.1_bin_826,100.0
2881at7147,NC_079134.1_bin_609,100.0
2904at7147,NC_079135.1_bin_252,100.0
2908at7147,NC_079135.1_bin_161,100.0
2969at7147,NC_079135.1_bin_631,100.0
3120at7147,NC_079137.1_bin_341,100.0
3219at7147,NC_079135.1_bin_354,100.0
3282at7147,NC_079135.1_bin_183,100.0
3308at7147,NC_079135.1_bin_520,100.0
3333at7147,NC_079137.1_bin_232,100.0
3410at7147,NC_079137.1_bin_396,100.0
3413at7147,NC_079136.1_bin_67,100.0
3474at7147,NC_079136.1_bin_468,100.0
3577at7147,NC_079135.1_bin_29,100.0
3788at7147,NC_079134.1_bin_787,100.0
3828at7147,NC_079137.1_bin_167,100.0
3874at7147,NC_079134.1_bin_460,100.0
4069at7147,NC_079135.1_bin_204,100.0
4073at7147,NC_079135.1_bin_630,100.0
4095at7147,NC_079135.1_bin_150,9.004484304932737
4095at7147,NC_079135.1_bin_151,90.99551569506727
