busco_id,status,sequence,gene_start,gene_end,strand,score,length,line_number,original_start,original_end
8at7147,Complete,NC_068937.1,60011233,60012483,-,358.2,210,1,60012483,60011233
225at7147,Complete,NC_068939.1,135705667,135706932,+,986.8,419,2,135705667,135706932
284at7147,Complete,NC_068939.1,49699640,49705402,+,392.3,182,3,49699640,49705402
421at7147,Complete,NC_068939.1,125072019,125072564,+,298.6,153,4,125072019,125072564
445at7147,Complete,NC_068939.1,102338490,102344649,-,584.1,297,5,102344649,102338490
452at7147,Complete,NC_068939.1,99641626,99685762,+,1033.8,548,6,99641626,99685762
525at7147,Complete,NC_068938.1,6774740,6775223,+,161.9,81,8,6774740,6775223
540at7147,Complete,NC_068939.1,101761814,101765807,-,314.4,200,9,101765807,101761814
836at7147,Duplicated,NW_026292818.1,1328679,1330301,-,1225.8,540,10,1330301,1328679
836at7147,Duplicated,NC_068938.1,4522224,4523846,-,1224.1,540,11,4523846,4522224
841at7147,Complete,NC_068939.1,31556814,31557737,-,541.6,283,12,31557737,31556814
908at7147,Complete,NC_068939.1,179005679,179006256,-,360.0,172,13,179006256,179005679
962at7147,Duplicated,NC_068938.1,91788025,91790941,+,379.0,321,14,91788025,91790941
962at7147,Duplicated,NC_068938.1,101132743,101135680,-,398.2,318,15,101135680,101132743
994at7147,Complete,NC_068938.1,153114775,153115543,+,399.2,193,16,153114775,153115543
1004at7147,Complete,NC_068939.1,103965718,103966698,-,468.5,303,17,103966698,103965718
1055at7147,Complete,NC_068938.1,54730214,54731487,+,595.2,336,19,54730214,54731487
1072at7147,Complete,NC_068937.1,95362974,95364120,+,623.6,359,20,95362974,95364120
1078at7147,Complete,NC_068938.1,186913479,186914376,-,593.6,273,21,186914376,186913479
1123at7147,Complete,NC_068939.1,48458704,48459975,-,657.0,379,22,48459975,48458704
1142at7147,Complete,NC_068939.1,44501702,44502337,+,290.4,157,23,44501702,44502337
1200at7147,Complete,NC_068937.1,113680620,113682273,-,410.0,199,24,113682273,113680620
1247at7147,Complete,NC_068937.1,120631068,120632610,+,919.1,479,25,120631068,120632610
1323at7147,Complete,NC_068938.1,201042237,201065991,-,365.2,159,26,201065991,201042237
1690at7147,Complete,NC_068938.1,61683909,61700637,-,1019.5,629,27,61700637,61683909
1854at7147,Complete,NC_068937.1,34815985,34817581,-,738.6,429,28,34817581,34815985
1907at7147,Complete,NC_068937.1,50267833,50268498,+,353.9,194,29,50267833,50268498
1914at7147,Complete,NC_068939.1,62052401,62069355,-,497.2,399,30,62069355,62052401
1984at7147,Complete,NC_068939.1,45302879,45303415,+,291.3,154,31,45302879,45303415
2041at7147,Complete,NC_068938.1,217320635,217321282,+,331.1,207,32,217320635,217321282
2067at7147,Complete,NC_068938.1,63366252,63412825,+,637.4,375,33,63366252,63412825
2304at7147,Duplicated,NC_068938.1,163625702,163626126,+,176.6,106,34,163625702,163626126
2304at7147,Duplicated,NC_068938.1,161955473,161955898,-,163.7,106,35,161955898,161955473
2306at7147,Complete,NC_068939.1,37407167,37408957,+,818.1,396,36,37407167,37408957
2339at7147,Complete,NC_068937.1,16820117,16821079,+,440.3,275,38,16820117,16821079
2552at7147,Complete,NC_068937.1,13777887,13812323,-,1290.4,652,39,13812323,13777887
2609at7147,Complete,NC_068938.1,46009517,46014404,-,331.3,172,40,46014404,46009517
2610at7147,Complete,NC_068938.1,14524208,14548026,+,404.1,218,41,14524208,14548026
2635at7147,Complete,NC_068939.1,75759016,75764578,-,521.8,318,42,75764578,75759016
2697at7147,Complete,NC_068939.1,185291804,185293610,+,1136.9,568,43,185291804,185293610
2709at7147,Complete,NC_068938.1,38600620,38634060,+,987.0,475,44,38600620,38634060
2881at7147,Complete,NC_068939.1,5122716,5123317,-,179.0,155,46,5123317,5122716
2908at7147,Complete,NC_068939.1,66425426,66429940,+,2119.4,1109,48,66425426,66429940
2969at7147,Complete,NC_068937.1,51345686,51348688,-,1346.4,660,49,51348688,51345686
3120at7147,Complete,NC_068938.1,59773510,59773817,+,130.5,75,50,59773510,59773817
3219at7147,Complete,NC_068939.1,119287101,119295152,+,999.0,477,51,119287101,119295152
3282at7147,Complete,NC_068939.1,111966845,111967356,+,246.0,147,52,111966845,111967356
3308at7147,Complete,NC_068939.1,109498830,109501205,-,347.1,291,53,109501205,109498830
3333at7147,Complete,NC_068938.1,150305189,150314585,-,646.9,492,54,150314585,150305189
3410at7147,Complete,NC_068938.1,169949459,169955817,-,528.2,300,55,169955817,169949459
3413at7147,Complete,NC_068937.1,16720169,16721210,-,620.9,325,56,16721210,16720169
3474at7147,Complete,NC_068939.1,156379668,156380537,-,319.5,240,57,156380537,156379668
3577at7147,Complete,NC_068939.1,18011912,18012445,-,209.8,126,58,18012445,18011912
3788at7147,Complete,NC_068939.1,46290764,46291561,+,331.5,181,59,46290764,46291561
3828at7147,Complete,NC_068938.1,211426112,211427011,+,365.7,186,60,211426112,211427011
3874at7147,Complete,NC_068938.1,164689211,164693486,-,314.3,148,61,164693486,164689211
4069at7147,Complete,NC_068939.1,92702386,92712391,+,314.0,264,62,92702386,92712391
4073at7147,Complete,NC_068937.1,75625273,75638102,-,994.6,512,63,75638102,75625273
4095at7147,Complete,NC_068939.1,99894707,99896187,-,734.4,371,64,99896187,99894707
4164at7147,Complete,NC_068937.1,105722577,105722927,-,213.2,117,65,105722927,105722577
4211at7147,Complete,NC_068938.1,171984335,171984766,-,129.3,119,66,171984766,171984335
4218at7147,Complete,NC_068939.1,139532143,139563662,+,840.1,434,67,139532143,139563662
4274at7147,Complete,NC_068938.1,150326501,150328543,-,890.4,595,68,150328543,150326501
4353at7147,Duplicated,NC_068938.1,161976364,161984419,-,1029.0,526,69,161984419,161976364
4353at7147,Duplicated,NC_068938.1,163596713,163607057,+,1028.9,526,70,163596713,163607057
4421at7147,Complete,NC_068938.1,204604743,204615585,-,833.7,520,71,204615585,204604743
4470at7147,Complete,NC_068939.1,13333411,13375801,+,1037.0,562,72,13333411,13375801
4511at7147,Duplicated,NC_068938.1,88707985,88708686,+,497.6,232,73,88707985,88708686
4511at7147,Duplicated,NC_068939.1,148344836,148345562,-,470.8,219,74,148345562,148344836
4573at7147,Complete,NC_068937.1,134434478,134487654,+,1001.9,536,75,134434478,134487654
4667at7147,Complete,NC_068938.1,63888136,63895386,+,1004.8,513,77,63888136,63895386
4829at7147,Complete,NC_068939.1,24009401,24017379,-,5585.2,2330,78,24017379,24009401
4932at7147,Complete,NC_068937.1,26998806,27001768,-,744.2,418,79,27001768,26998806
5213at7147,Complete,NC_068937.1,62244075,62244849,-,347.9,188,80,62244849,62244075
5225at7147,Complete,NC_068938.1,22088489,22088854,+,240.2,112,81,22088489,22088854
5241at7147,Complete,NC_068939.1,172661544,172666730,+,518.9,323,82,172661544,172666730
5263at7147,Complete,NC_068937.1,127315619,127317283,-,927.0,471,83,127317283,127315619
