busco_id,bin_id,overlap_percentage
8at7147,OU343114.1_bin_152,100.0
225at7147,OU343116.1_bin_63,100.0
284at7147,OU343115.1_bin_300,100.0
421at7147,OU343116.1_bin_25,100.0
445at7147,OU343118.1_bin_96,100.0
452at7147,OU343115.1_bin_247,100.0
511at7147,OU343116.1_bin_145,100.0
525at7147,OU343117.1_bin_125,100.0
540at7147,OU343115.1_bin_72,100.0
836at7147,OU343117.1_bin_96,100.0
841at7147,OU343115.1_bin_42,100.0
908at7147,OU343116.1_bin_22,100.0
962at7147,OU343117.1_bin_92,100.0
994at7147,OU343118.1_bin_26,100.0
1004at7147,OU343118.1_bin_96,100.0
1049at7147,OU343119.1_bin_19,100.0
1055at7147,OU343117.1_bin_181,100.0
1072at7147,OU343114.1_bin_394,100.0
1078at7147,OU343118.1_bin_85,100.0
1123at7147,OU343115.1_bin_186,100.0
1200at7147,OU343114.1_bin_383,100.0
1247at7147,OU343114.1_bin_60,100.0
1323at7147,OU343116.1_bin_269,100.0
1690at7147,OU343117.1_bin_192,100.0
1854at7147,OU343114.1_bin_386,100.0
1907at7147,OU343114.1_bin_391,100.0
1914at7147,OU343115.1_bin_284,100.0
1984at7147,OU343115.1_bin_296,100.0
2041at7147,OU343118.1_bin_219,100.0
2067at7147,OU343115.1_bin_116,100.0
2304at7147,OU343118.1_bin_156,100.0
2306at7147,OU343115.1_bin_183,100.0
2332at7147,OU343115.1_bin_344,100.0
2339at7147,OU343118.1_bin_95,100.0
2552at7147,OU343114.1_bin_377,100.0
2609at7147,OU343117.1_bin_209,100.0
2610at7147,OU343117.1_bin_81,100.0
2635at7147,OU343115.1_bin_60,100.0
2697at7147,OU343115.1_bin_329,100.0
2709at7147,OU343117.1_bin_38,100.0
2881at7147,OU343115.1_bin_82,100.0
2904at7147,OU343115.1_bin_255,100.0
2908at7147,OU343115.1_bin_196,100.0
2969at7147,OU343114.1_bin_128,100.0
3120at7147,OU343117.1_bin_232,100.0
3219at7147,OU343116.1_bin_30,100.0
3282at7147,OU343116.1_bin_178,100.0
3308at7147,OU343114.1_bin_159,100.0
3333at7147,OU343118.1_bin_127,100.0
3410at7147,OU343118.1_bin_224,100.0
3413at7147,OU343114.1_bin_342,100.0
3474at7147,OU343116.1_bin_40,100.0
3577at7147,OU343115.1_bin_42,100.0
3788at7147,OU343115.1_bin_268,100.0
3828at7147,OU343118.1_bin_37,100.0
3874at7147,OU343118.1_bin_78,100.0
4069at7147,OU343115.1_bin_54,100.0
4073at7147,OU343114.1_bin_313,100.0
4095at7147,OU343115.1_bin_275,100.0
4164at7147,OU343114.1_bin_407,100.0
4211at7147,OU343118.1_bin_128,100.0
4218at7147,OU343116.1_bin_53,100.0
4274at7147,OU343117.1_bin_48,100.0
4353at7147,OU343118.1_bin_112,100.0
4421at7147,OU343118.1_bin_66,100.0
4470at7147,OU343115.1_bin_290,100.0
4511at7147,OU343118.1_bin_59,100.0
4573at7147,OU343114.1_bin_10,96.49400399733511
4573at7147,OU343114.1_bin_11,3.5059960026648898
4606at7147,OU343114.1_bin_403,100.0
4667at7147,OU343117.1_bin_0,100.0
4829at7147,OU343115.1_bin_129,100.0
4932at7147,OU343114.1_bin_233,100.0
5213at7147,OU343114.1_bin_347,100.0
5225at7147,OU343117.1_bin_167,100.0
5241at7147,OU343116.1_bin_40,100.0
5263at7147,OU343114.1_bin_75,100.0
5433at7147,OU343114.1_bin_54,100.0
5674at7147,OU343116.1_bin_16,100.0
5723at7147,OU343114.1_bin_42,100.0
5768at7147,OU343115.1_bin_320,100.0
5780at7147,OU343118.1_bin_38,100.0
5845at7147,OU343114.1_bin_122,100.0
5858at7147,OU343114.1_bin_451,100.0
5978at7147,OU343116.1_bin_26,100.0
6130at7147,OU343118.1_bin_190,100.0
6240at7147,OU343116.1_bin_43,100.0
6256at7147,OU343117.1_bin_129,100.0
6718at7147,OU343115.1_bin_48,100.0
6736at7147,OU343114.1_bin_347,100.0
6974at7147,OU343114.1_bin_82,100.0
7054at7147,OU343116.1_bin_25,100.0
7326at7147,OU343117.1_bin_1,100.0
7353at7147,OU343119.1_bin_75,100.0
7355at7147,OU343114.1_bin_467,100.0
7470at7147,OU343116.1_bin_190,100.0
7527at7147,OU343114.1_bin_452,100.0
7563at7147,OU343114.1_bin_204,100.0
7677at7147,OU343114.1_bin_420,46.07728739103576
7677at7147,OU343114.1_bin_421,53.92271260896424
7764at7147,OU343118.1_bin_67,100.0
7798at7147,OU343115.1_bin_338,100.0
7971at7147,OU343119.1_bin_84,100.0
8005at7147,OU343116.1_bin_269,100.0
8016at7147,OU343117.1_bin_228,100.0
8037at7147,OU343114.1_bin_84,100.0
8079at7147,OU343116.1_bin_139,100.0
8161at7147,OU343114.1_bin_11,100.0
8234at7147,OU343117.1_bin_193,100.0
8348at7147,OU343117.1_bin_35,100.0
8364at7147,OU343116.1_bin_6,100.0
8365at7147,OU343115.1_bin_351,100.0
8456at7147,OU343114.1_bin_21,100.0
8734at7147,OU343114.1_bin_254,100.0
8741at7147,OU343117.1_bin_242,100.0
8776at7147,OU343117.1_bin_227,100.0
8873at7147,OU343114.1_bin_413,100.0
8933at7147,OU343118.1_bin_38,100.0
8944at7147,OU343115.1_bin_55,100.0
8977at7147,OU343117.1_bin_27,100.0
9125at7147,OU343118.1_bin_113,100.0
9191at7147,OU343116.1_bin_131,100.0
9356at7147,OU343114.1_bin_266,100.0
9394at7147,OU343118.1_bin_98,100.0
9406at7147,OU343119.1_bin_11,100.0
9425at7147,OU343116.1_bin_51,100.0
9487at7147,OU343117.1_bin_131,100.0
9678at7147,OU343117.1_bin_165,100.0
9921at7147,OU343115.1_bin_260,100.0
9938at7147,OU343115.1_bin_287,100.0
10055at7147,OU343116.1_bin_175,100.0
10097at7147,OU343117.1_bin_50,100.0
10198at7147,OU343117.1_bin_110,100.0
10247at7147,OU343115.1_bin_347,100.0
10407at7147,OU343114.1_bin_309,100.0
10408at7147,OU343114.1_bin_449,100.0
10443at7147,OU343118.1_bin_226,100.0
10456at7147,OU343114.1_bin_464,100.0
10522at7147,OU343114.1_bin_282,100.0
10532at7147,OU343115.1_bin_286,100.0
10563at7147,OU343116.1_bin_64,100.0
10589at7147,OU343115.1_bin_268,100.0
10612at7147,OU343114.1_bin_474,100.0
10620at7147,OU343114.1_bin_142,100.0
10654at7147,OU343117.1_bin_8,100.0
10709at7147,OU343115.1_bin_339,100.0
10730at7147,OU343117.1_bin_22,100.0
10911at7147,OU343114.1_bin_152,100.0
11023at7147,OU343117.1_bin_241,100.0
11146at7147,OU343116.1_bin_11,100.0
11268at7147,OU343115.1_bin_329,100.0
11292at7147,OU343115.1_bin_12,100.0
