busco_id,bin_id,overlap_percentage
8at7147,NC_035107.1_bin_734,55.26475455046883
8at7147,NC_035107.1_bin_735,44.73524544953116
225at7147,NC_035109.1_bin_611,100.0
284at7147,NC_035108.1_bin_508,100.0
421at7147,NC_035109.1_bin_746,100.0
445at7147,NC_035109.1_bin_952,56.43862596304234
445at7147,NC_035109.1_bin_953,43.56137403695766
452at7147,NC_035108.1_bin_1060,100.0
511at7147,NC_035109.1_bin_29,100.0
525at7147,NW_018734698.1_bin_0,100.0
540at7147,NC_035108.1_bin_1090,100.0
836at7147,NC_035108.1_bin_2069,100.0
841at7147,NC_035108.1_bin_336,100.0
908at7147,NC_035109.1_bin_407,100.0
962at7147,NC_035108.1_bin_1496,100.0
994at7147,NC_035109.1_bin_1201,100.0
1004at7147,NC_035109.1_bin_921,100.0
1055at7147,NC_035108.1_bin_1873,100.0
1072at7147,NC_035107.1_bin_1020,100.0
1078at7147,NC_035109.1_bin_1630,100.0
1123at7147,NC_035108.1_bin_577,100.0
1142at7147,NC_035108.1_bin_564,100.0
1200at7147,NC_035107.1_bin_1340,100.0
1247at7147,NC_035107.1_bin_1280,100.0
1323at7147,NC_035109.1_bin_1680,100.0
1690at7147,NC_035108.1_bin_1610,100.0
1854at7147,NW_018736703.1_bin_0,100.0
1907at7147,NC_035107.1_bin_142,100.0
1914at7147,NC_035108.1_bin_775,100.0
1984at7147,NC_035108.1_bin_556,100.0
2041at7147,NW_018734436.1_bin_0,100.0
2067at7147,NC_035108.1_bin_1591,53.28626145694392
2067at7147,NC_035108.1_bin_1592,46.71373854305608
2304at7147,NC_035109.1_bin_1174,100.0
2306at7147,NC_035108.1_bin_960,100.0
2339at7147,NC_035107.1_bin_286,100.0
2552at7147,NC_035107.1_bin_543,100.0
2609at7147,NC_035108.1_bin_1882,100.0
2635at7147,NC_035108.1_bin_361,100.0
2697at7147,NC_035109.1_bin_53,100.0
2709at7147,NC_035108.1_bin_1703,67.33979237041711
2709at7147,NC_035108.1_bin_1704,32.660207629582885
2881at7147,NC_035108.1_bin_107,100.0
2904at7147,NC_035108.1_bin_615,100.0
2908at7147,NC_035108.1_bin_899,100.0
2969at7147,NC_035107.1_bin_88,100.0
3120at7147,NC_035108.1_bin_1342,100.0
3219at7147,NC_035109.1_bin_692,100.0
3282at7147,NC_035109.1_bin_830,100.0
3308at7147,NC_035109.1_bin_854,100.0
3333at7147,NC_035109.1_bin_1475,100.0
3410at7147,NC_035109.1_bin_1489,100.0
3413at7147,NC_035107.1_bin_231,73.72300058377115
3413at7147,NC_035107.1_bin_232,26.276999416228836
3474at7147,NC_035109.1_bin_421,100.0
3577at7147,NW_018736228.1_bin_0,100.0
3788at7147,NC_035108.1_bin_673,100.0
3828at7147,NC_035109.1_bin_1724,100.0
3874at7147,NC_035109.1_bin_1341,100.0
4069at7147,NC_035108.1_bin_849,100.0
4073at7147,NC_035107.1_bin_739,100.0
4095at7147,NC_035108.1_bin_1063,100.0
4164at7147,NC_035107.1_bin_1214,100.0
4211at7147,NW_018736404.1_bin_0,100.0
4218at7147,NC_035109.1_bin_572,100.0
4274at7147,NC_035109.1_bin_1475,100.0
4353at7147,NC_035109.1_bin_1175,100.0
4421at7147,NW_018734628.1_bin_0,100.0
4470at7147,NC_035108.1_bin_137,100.0
4511at7147,NC_035109.1_bin_370,100.0
4573at7147,NC_035107.1_bin_1023,100.0
4606at7147,NC_035107.1_bin_928,100.0
4667at7147,NC_035108.1_bin_1585,100.0
4829at7147,NC_035108.1_bin_466,100.0
4932at7147,NC_035107.1_bin_317,100.0
5213at7147,NC_035107.1_bin_678,100.0
5225at7147,NC_035108.1_bin_2133,100.0
5241at7147,NC_035109.1_bin_347,100.0
5263at7147,NC_035107.1_bin_1491,100.0
5433at7147,NC_035107.1_bin_1537,100.0
5488at7147,NC_035107.1_bin_464,100.0
5674at7147,NC_035109.1_bin_841,100.0
5711at7147,NC_035109.1_bin_1764,100.0
5723at7147,NC_035109.1_bin_226,100.0
5768at7147,NC_035108.1_bin_787,100.0
5780at7147,NC_035109.1_bin_1679,100.0
5845at7147,NC_035108.1_bin_1531,100.0
5858at7147,NC_035107.1_bin_1455,100.0
6130at7147,NC_035109.1_bin_1940,100.0
6240at7147,NC_035108.1_bin_1280,100.0
6256at7147,NC_035108.1_bin_936,100.0
6718at7147,NC_035108.1_bin_1284,100.0
6736at7147,NC_035109.1_bin_1354,100.0
6974at7147,NC_035107.1_bin_1075,100.0
7054at7147,NC_035109.1_bin_279,100.0
7326at7147,NC_035108.1_bin_496,44.80704802084626
7326at7147,NC_035108.1_bin_497,55.19295197915374
7353at7147,NC_035109.1_bin_1354,100.0
7355at7147,NC_035107.1_bin_1539,100.0
7470at7147,NC_035109.1_bin_74,100.0
7527at7147,NC_035107.1_bin_884,100.0
7563at7147,NC_035107.1_bin_66,43.4802652095508
7563at7147,NC_035107.1_bin_67,56.519734790449206
7677at7147,NC_035107.1_bin_1413,100.0
7764at7147,NC_035109.1_bin_1983,100.0
7798at7147,NC_035108.1_bin_488,100.0
7971at7147,NC_035109.1_bin_1723,100.0
8005at7147,NC_035109.1_bin_1917,100.0
8016at7147,NC_035109.1_bin_900,100.0
8037at7147,NC_035107.1_bin_1353,100.0
8079at7147,NC_035109.1_bin_41,30.853599431686153
8079at7147,NC_035109.1_bin_42,69.14640056831385
8161at7147,NC_035107.1_bin_1027,100.0
8234at7147,NC_035108.1_bin_2302,100.0
8348at7147,NC_035108.1_bin_1632,74.0549917599098
8348at7147,NC_035108.1_bin_1633,25.945008240090207
8364at7147,NC_035109.1_bin_884,100.0
8365at7147,NC_035108.1_bin_1113,100.0
8456at7147,NC_035107.1_bin_2,100.0
8734at7147,NC_035107.1_bin_686,100.0
8741at7147,NC_035108.1_bin_1405,13.587663963152096
8741at7147,NC_035108.1_bin_1406,86.4123360368479
8776at7147,NC_035108.1_bin_2363,100.0
8873at7147,NC_035107.1_bin_1132,100.0
8933at7147,NC_035109.1_bin_1610,100.0
8944at7147,NC_035108.1_bin_1160,100.0
8977at7147,NC_035108.1_bin_1614,100.0
9125at7147,NC_035109.1_bin_1328,100.0
9191at7147,NC_035109.1_bin_1528,100.0
9356at7147,NC_035107.1_bin_1021,100.0
9394at7147,NC_035109.1_bin_1904,100.0
9406at7147,NC_035107.1_bin_27,100.0
9425at7147,NC_035109.1_bin_328,100.0
9487at7147,NC_035108.1_bin_1777,100.0
9678at7147,NC_035108.1_bin_1281,100.0
9921at7147,NC_035108.1_bin_186,100.0
9938at7147,NC_035108.1_bin_455,100.0
10055at7147,NC_035109.1_bin_666,100.0
10097at7147,NC_035108.1_bin_1783,100.0
10198at7147,NC_035108.1_bin_2018,100.0
10247at7147,NC_035108.1_bin_1934,25.319534112720294
10247at7147,NC_035108.1_bin_1935,74.68046588727971
10407at7147,NC_035107.1_bin_1523,100.0
10408at7147,NC_035107.1_bin_1306,100.0
10443at7147,NC_035109.1_bin_1749,100.0
10456at7147,NC_035107.1_bin_1314,100.0
10522at7147,NC_035107.1_bin_795,87.12386769860827
10522at7147,NC_035107.1_bin_796,12.876132301391733
10563at7147,NC_035109.1_bin_628,100.0
10589at7147,NC_035108.1_bin_828,100.0
10612at7147,NC_035107.1_bin_114,100.0
10620at7147,NC_035107.1_bin_488,100.0
10654at7147,NC_035108.1_bin_2338,100.0
10709at7147,NC_035108.1_bin_107,100.0
10911at7147,NC_035107.1_bin_734,100.0
11023at7147,NC_035109.1_bin_1860,100.0
11292at7147,NC_035108.1_bin_325,100.0
11343at7147,NC_035109.1_bin_1406,100.0
11421at7147,NC_035109.1_bin_1696,100.0
11457at7147,NC_035107.1_bin_1440,100.0
11484at7147,NC_035107.1_bin_245,100.0
11516at7147,NC_035109.1_bin_1585,100.0
11534at7147,NC_035108.1_bin_1287,82.83274157950292
11534at7147,NC_035108.1_bin_1288,17.167258420497074
11753at7147,NC_035108.1_bin_1680,100.0
11778at7147,NC_035108.1_bin_2029,100.0
11874at7147,NC_035107.1_bin_214,100.0
11888at7147,NC_035108.1_bin_736,100.0
11999at7147,NC_035108.1_bin_1002,100.0
12100at7147,NC_035107.1_bin_96,100.0
12116at7147,NC_035109.1_bin_831,100.0
12219at7147,NC_035107.1_bin_511,100.0
12226at7147,NC_035108.1_bin_2343,100.0
12283at7147,NC_035108.1_bin_843,100.0
12285at7147,NC_035109.1_bin_254,100.0
12361at7147,NC_035107.1_bin_594,100.0
12492at7147,NC_035109.1_bin_1176,100.0
12531at7147,NC_035107.1_bin_1491,100.0
12652at7147,NC_035109.1_bin_1584,100.0
12759at7147,NC_035108.1_bin_1268,100.0
12796at7147,NC_035107.1_bin_68,85.33792589834295
12796at7147,NC_035107.1_bin_69,14.662074101657046
12973at7147,NC_035107.1_bin_126,100.0
13052at7147,NC_035108.1_bin_988,100.0
13055at7147,NC_035107.1_bin_724,100.0
13056at7147,NC_035109.1_bin_62,100.0
13145at7147,NC_035107.1_bin_608,100.0
13207at7147,NC_035108.1_bin_434,100.0
13389at7147,NC_035108.1_bin_1909,100.0
13497at7147,NC_035109.1_bin_1402,100.0
13588at7147,NC_035108.1_bin_1498,100.0
13731at7147,NW_018735251.1_bin_0,100.0
13808at7147,NC_035107.1_bin_596,100.0
13883at7147,NC_035109.1_bin_1248,100.0
13919at7147,NC_035108.1_bin_2013,42.79102985287816
13919at7147,NC_035108.1_bin_2014,57.20897014712184
14042at7147,NC_035107.1_bin_105,100.0
14054at7147,NC_035109.1_bin_1107,100.0
14119at7147,NC_035108.1_bin_2011,100.0
14247at7147,NC_035108.1_bin_1908,100.0
14368at7147,NC_035109.1_bin_2046,100.0
14376at7147,NC_035107.1_bin_1478,100.0
14525at7147,NC_035108.1_bin_2351,100.0
14621at7147,NC_035108.1_bin_1836,100.0
14633at7147,NC_035108.1_bin_1416,93.51106639839034
14633at7147,NC_035108.1_bin_1417,6.4889336016096575
14661at7147,NC_035109.1_bin_1578,100.0
14706at7147,NC_035108.1_bin_718,100.0
14792at7147,NC_035109.1_bin_807,100.0
14821at7147,NC_035107.1_bin_892,24.039104544151833
14821at7147,NC_035107.1_bin_893,75.96089545584816
15074at7147,NC_035108.1_bin_870,100.0
15336at7147,NC_035108.1_bin_605,100.0
15356at7147,NC_035109.1_bin_737,100.0
15390at7147,NC_035109.1_bin_1333,100.0
15451at7147,NC_035108.1_bin_2214,100.0
15468at7147,NC_035109.1_bin_1634,100.0
15549at7147,NC_035108.1_bin_2146,100.0
15597at7147,NC_035109.1_bin_1113,100.0
15662at7147,NC_035108.1_bin_1371,100.0
15771at7147,NC_035107.1_bin_752,35.38220400289366
15771at7147,NC_035107.1_bin_753,64.61779599710634
15909at7147,NC_035109.1_bin_540,100.0
15956at7147,NC_035109.1_bin_2046,100.0
15977at7147,NC_035109.1_bin_1058,100.0
