busco_id,status,sequence,gene_start,gene_end,strand,score,length,line_number,original_start,original_end
8at7147,Complete,NC_064306.1,74607631,74608634,+,426.7,216,1,74607631,74608634
225at7147,Complete,NC_064304.1,86719117,86720501,+,992.8,419,2,86719117,86720501
284at7147,Complete,NC_064307.1,16246160,16247121,-,384.1,182,3,16247121,16246160
421at7147,Complete,NC_064304.1,81636980,81637522,+,300.2,165,4,81636980,81637522
445at7147,Complete,NC_064307.1,22945340,22946499,-,730.7,337,5,22946499,22945340
452at7147,Complete,NW_026038201.1,25578,35854,-,1316.9,620,6,35854,25578
511at7147,Complete,NC_064307.1,18460758,18461681,+,454.3,220,7,18460758,18461681
525at7147,Complete,NC_064303.1,10046240,10046578,+,162.9,81,8,10046240,10046578
540at7147,Complete,NC_064305.1,68856463,68857602,+,315.6,200,9,68856463,68857602
836at7147,Complete,NC_064303.1,94526759,94528741,-,1224.2,541,10,94528741,94526759
841at7147,Complete,NW_026038128.1,52486,53737,+,577.5,283,11,52486,53737
908at7147,Complete,NW_026038190.1,30078,30758,+,354.1,169,12,30078,30758
962at7147,Complete,NC_064305.1,432229,433676,-,513.8,327,13,433676,432229
994at7147,Complete,NC_064307.1,58019173,58019967,-,414.4,194,14,58019967,58019173
1004at7147,Complete,NC_064307.1,4444072,4445054,+,488.7,304,15,4444072,4445054
1049at7147,Complete,NC_064304.1,101192283,101196287,+,902.4,411,16,101192283,101196287
1055at7147,Complete,NC_064303.1,104799116,104801111,-,634.6,335,17,104801111,104799116
1072at7147,Complete,NC_064304.1,44737735,44739176,-,663.4,357,18,44739176,44737735
1078at7147,Complete,NW_026038399.1,10956,11780,+,617.2,273,19,10956,11780
1123at7147,Complete,NC_064306.1,1762197,1763411,+,703.5,379,20,1762197,1763411
1142at7147,Complete,NC_064307.1,18624202,18624974,-,299.1,167,21,18624974,18624202
1200at7147,Complete,NC_064306.1,57677454,57678241,+,409.8,200,22,57677454,57678241
1247at7147,Complete,NC_064306.1,3837456,3846187,+,968.1,479,23,3837456,3846187
1323at7147,Complete,NC_064306.1,38104521,38139647,+,371.1,159,24,38104521,38139647
1690at7147,Complete,NC_064303.1,112225564,112245460,+,1173.1,630,25,112225564,112245460
1854at7147,Complete,NW_026038066.1,188831,190563,-,801.5,432,26,190563,188831
1907at7147,Complete,NC_064306.1,57671238,57672019,+,387.6,199,27,57671238,57672019
1914at7147,Complete,NW_026038094.1,70273,71556,+,500.3,398,28,70273,71556
1984at7147,Complete,NW_026038368.1,19037,19560,+,305.2,154,29,19037,19560
2041at7147,Complete,NC_064305.1,23815325,23815969,+,388.7,210,30,23815325,23815969
2067at7147,Complete,NC_064307.1,28608771,28628664,+,722.2,377,31,28608771,28628664
2304at7147,Complete,NW_026038127.1,60086,60508,-,204.6,112,32,60508,60086
2306at7147,Complete,NC_064307.1,24140212,24141905,-,874.4,399,33,24141905,24140212
2332at7147,Complete,NC_064305.1,54580941,54582228,-,527.4,269,34,54582228,54580941
2339at7147,Complete,NC_064307.1,64347658,64348816,+,528.4,289,35,64347658,64348816
2552at7147,Complete,NC_064306.1,61798541,61829947,+,1351.3,652,36,61798541,61829947
2609at7147,Complete,NC_064303.1,16953447,16961805,-,356.6,172,37,16961805,16953447
2610at7147,Complete,NC_064303.1,24894676,24896466,-,410.7,218,38,24896466,24894676
2635at7147,Complete,NW_026038093.1,34447,35908,+,571.5,318,39,34447,35908
2697at7147,Complete,NC_064305.1,79777379,79779310,+,1173.8,576,40,79777379,79779310
2709at7147,Complete,NC_064303.1,87352166,87398727,-,1097.1,512,41,87398727,87352166
2727at7147,Complete,NC_064305.1,54469161,54470853,+,932.1,491,42,54469161,54470853
2881at7147,Complete,NC_064305.1,62617466,62618178,+,264.9,163,43,62617466,62618178
2904at7147,Complete,NW_026038181.1,14930,18043,+,1095.7,549,44,14930,18043
2908at7147,Complete,NW_026038164.1,31276,35779,-,2116.3,1110,45,35779,31276
2969at7147,Complete,NC_064306.1,70652912,70656338,-,1428.2,661,46,70656338,70652912
3120at7147,Complete,NC_064303.1,75910769,75911056,+,138.2,75,47,75910769,75911056
3219at7147,Complete,NC_064306.1,56975464,56979371,-,1029.2,477,48,56979371,56975464
3282at7147,Complete,NC_064307.1,11159128,11159637,+,275.5,147,49,11159128,11159637
3308at7147,Complete,NC_064306.1,35242132,35243278,+,393.2,293,50,35242132,35243278
3333at7147,Complete,NC_064305.1,17059432,17062315,-,821.4,496,51,17062315,17059432
3410at7147,Complete,NC_064307.1,71591344,71607913,-,611.3,300,52,71607913,71591344
3413at7147,Complete,NC_064304.1,24482477,24483515,+,680.1,326,53,24482477,24483515
3474at7147,Complete,NC_064304.1,91196874,91197728,-,372.5,240,54,91197728,91196874
3577at7147,Complete,NC_064307.1,14564467,14564958,+,238.5,126,55,14564467,14564958
3788at7147,Complete,NC_064305.1,86687941,86688734,+,344.9,186,56,86687941,86688734
3828at7147,Complete,NC_064304.1,34070444,34072123,-,367.5,188,57,34072123,34070444
3874at7147,Complete,NW_026038063.1,298760,299319,+,314.3,147,58,298760,299319
4069at7147,Complete,NC_064307.1,34111356,34114635,-,416.5,269,59,34114635,34111356
4073at7147,Complete,NC_064307.1,4433628,4435487,-,1038.6,512,60,4435487,4433628
4095at7147,Complete,NW_026038096.1,72535,74293,+,699.4,375,61,72535,74293
4164at7147,Complete,NC_064304.1,30544643,30545615,-,233.6,117,62,30545615,30544643
4211at7147,Complete,NC_064307.1,71484735,71485205,-,191.0,124,63,71485205,71484735
4218at7147,Complete,NC_064304.1,82580763,82594551,-,891.5,434,64,82594551,82580763
4274at7147,Complete,NC_064303.1,27640283,27642671,-,1055.0,596,65,27642671,27640283
4353at7147,Complete,NC_064305.1,25663477,25674714,-,1081.1,527,66,25674714,25663477
4421at7147,Complete,NC_064307.1,73762577,73764518,+,919.1,520,67,73762577,73764518
4470at7147,Complete,NW_026038207.1,26547,29336,-,1093.1,561,68,29336,26547
4511at7147,Complete,NC_064304.1,93856582,93857443,+,418.9,221,69,93856582,93857443
4573at7147,Complete,NC_064304.1,7887489,7910704,+,999.1,537,70,7887489,7910704
4606at7147,Complete,NC_064304.1,59456380,59683500,+,1351.6,679,71,59456380,59683500
4667at7147,Complete,NC_064303.1,5714723,5717553,+,1063.4,513,72,5714723,5717553
4829at7147,Complete,NC_064305.1,81069366,81078103,-,5424.9,2294,73,81078103,81069366
4932at7147,Complete,NC_064306.1,37221977,37223774,-,824.2,413,74,37223774,37221977
5213at7147,Complete,NW_026038061.1,310917,312039,+,384.2,188,75,310917,312039
5225at7147,Complete,NW_026038148.1,12025,12467,-,242.4,117,76,12467,12025
5241at7147,Complete,NC_064304.1,77320738,77323946,+,483.3,295,77,77320738,77323946
5263at7147,Complete,NC_064304.1,20582564,20585314,+,973.6,480,78,20582564,20585314
5433at7147,Complete,NC_064304.1,91176693,91178001,-,362.6,224,79,91178001,91176693
5488at7147,Complete,NC_064303.1,94488466,94489615,+,263.4,239,80,94488466,94489615
