busco_id,bin_id,overlap_percentage
8at7147,NC_081555.1_bin_261,100.0
225at7147,NC_081553.1_bin_1100,100.0
284at7147,NC_081552.1_bin_1036,100.0
421at7147,NC_081553.1_bin_1149,100.0
445at7147,NC_081552.1_bin_1243,100.0
452at7147,NC_081556.1_bin_438,25.26900155114703
452at7147,NC_081556.1_bin_439,74.73099844885297
511at7147,NC_081552.1_bin_1354,100.0
525at7147,NC_081554.1_bin_978,100.0
540at7147,NC_081556.1_bin_518,100.0
836at7147,NC_081554.1_bin_400,100.0
841at7147,NC_081552.1_bin_1346,100.0
908at7147,NC_081553.1_bin_1084,100.0
962at7147,NC_081556.1_bin_29,100.0
994at7147,NC_081552.1_bin_186,100.0
1004at7147,NC_081552.1_bin_1067,100.0
1049at7147,NC_081553.1_bin_1102,100.0
1055at7147,NC_081554.1_bin_464,100.0
1072at7147,NC_081553.1_bin_721,100.0
1078at7147,NC_081554.1_bin_752,100.0
1123at7147,NC_081555.1_bin_108,100.0
1142at7147,NC_081552.1_bin_742,100.0
1200at7147,NC_081555.1_bin_492,100.0
1247at7147,NC_081555.1_bin_58,100.0
1323at7147,NC_081555.1_bin_528,47.181197668620946
1323at7147,NC_081555.1_bin_529,52.818802331379054
1690at7147,NC_081554.1_bin_210,68.55493717960306
1690at7147,NC_081554.1_bin_211,31.445062820396934
1854at7147,NC_081555.1_bin_470,100.0
1907at7147,NC_081555.1_bin_492,100.0
1914at7147,NC_081556.1_bin_779,100.0
1984at7147,NC_081556.1_bin_459,100.0
2041at7147,NC_081556.1_bin_85,100.0
2067at7147,NC_081552.1_bin_796,53.46647084651839
2067at7147,NC_081552.1_bin_797,46.53352915348161
2304at7147,NC_081556.1_bin_256,100.0
2306at7147,NC_081552.1_bin_1286,100.0
2332at7147,NC_081556.1_bin_646,100.0
2339at7147,NC_081552.1_bin_123,100.0
2552at7147,NC_081555.1_bin_177,100.0
2609at7147,NC_081554.1_bin_759,100.0
2610at7147,NC_081554.1_bin_753,100.0
