busco_id,status,sequence,gene_start,gene_end,strand,score,length,line_number,original_start,original_end
59908at7147,Complete,OY284468.1,56648857,56650640,-,794.6,416,1,56650640,56648857
59927at7147,Complete,OY284468.1,47273228,47274634,+,723.1,452,3,47273228,47274634
59932at7147,Complete,OY284471.1,33806127,33807197,+,471.6,304,4,33806127,33807197
59934at7147,Complete,OY284471.1,33075660,33085698,-,1978.0,898,5,33085698,33075660
59954at7147,Complete,OY284472.1,39552647,39558103,-,2249.3,1300,6,39558103,39552647
59971at7147,Complete,OY284469.1,31056190,31058058,-,347.1,172,7,31058058,31056190
59991at7147,Complete,OY284468.1,58776326,58796918,-,1198.1,559,8,58796918,58776326
60030at7147,Complete,OY284472.1,39570199,39571425,-,661.4,328,9,39571425,39570199
60031at7147,Complete,OY284469.1,58554455,58555084,+,435.2,208,10,58554455,58555084
60048at7147,Complete,OY284472.1,9305484,9307258,-,578.3,339,11,9307258,9305484
60066at7147,Complete,OY284472.1,5938376,5949697,-,663.4,380,12,5949697,5938376
60086at7147,Complete,OY284469.1,33724822,33763848,+,788.9,366,13,33724822,33763848
60114at7147,Complete,OY284470.1,18538828,18559168,-,946.5,484,15,18559168,18538828
60133at7147,Complete,OY284472.1,21773693,21808974,-,10341.6,4814,16,21808974,21773693
60134at7147,Complete,OY284470.1,9426500,9428861,+,1000.9,560,17,9426500,9428861
60157at7147,Complete,OY284468.1,1668908,1669373,-,219.7,121,18,1669373,1668908
60158at7147,Complete,OY284469.1,5922550,5953208,-,1344.1,772,19,5953208,5922550
60162at7147,Complete,OY284471.1,2049375,2082812,+,2728.7,1227,20,2049375,2082812
60174at7147,Complete,OY284468.1,60642570,60680727,-,742.2,360,21,60680727,60642570
60183at7147,Complete,OY284470.1,27564457,27567043,+,788.5,520,22,27564457,27567043
60185at7147,Complete,OY284473.1,467252,471669,+,2049.3,1068,23,467252,471669
60242at7147,Complete,OY284469.1,6653768,6655551,-,1009.5,485,24,6655551,6653768
60271at7147,Complete,OY284468.1,50470394,50472331,+,599.5,290,25,50470394,50472331
60284at7147,Complete,OY284471.1,31355393,31359931,+,1851.4,902,26,31355393,31359931
60303at7147,Complete,OY284468.1,29916487,29920714,-,1531.1,834,27,29920714,29916487
60315at7147,Complete,OY284468.1,35526021,35529440,-,2129.7,959,28,35529440,35526021
60331at7147,Complete,OY284470.1,23408295,23418007,+,2063.3,1168,29,23408295,23418007
60338at7147,Complete,OY284468.1,28045463,28048020,-,891.7,616,30,28048020,28045463
60353at7147,Complete,OY284470.1,23514148,23515889,-,833.0,482,31,23515889,23514148
60372at7147,Complete,OY284471.1,9985944,9990691,+,440.6,289,32,9985944,9990691
60375at7147,Complete,OY284469.1,27550303,27570481,+,767.8,384,33,27550303,27570481
60381at7147,Complete,OY284468.1,22489205,22489732,+,236.9,133,34,22489205,22489732
60394at7147,Complete,OY284469.1,31066758,31068273,+,555.2,369,35,31066758,31068273
60410at7147,Complete,OY284472.1,32548666,32550521,+,1012.9,530,36,32548666,32550521
60412at7147,Complete,OY284469.1,15047236,15050854,+,997.0,629,37,15047236,15050854
60416at7147,Complete,OY284469.1,9572908,9575364,-,1106.8,548,38,9575364,9572908
60422at7147,Complete,OY284471.1,42810979,42813995,-,1272.2,679,39,42813995,42810979
60501at7147,Complete,OY284468.1,36388232,36388989,+,334.1,191,42,36388232,36388989
60504at7147,Complete,OY284468.1,53015335,53018178,+,1514.6,728,43,53015335,53018178
60514at7147,Complete,OY284468.1,45954276,45967513,-,629.5,375,44,45967513,45954276
60545at7147,Complete,OY284468.1,3192839,3196309,-,548.3,310,45,3196309,3192839
60554at7147,Complete,OY284469.1,29682557,29683956,+,583.0,322,46,29682557,29683956
60581at7147,Complete,OY284470.1,4348187,4349881,+,539.3,364,48,4348187,4349881
60603at7147,Complete,OY284469.1,9639578,9644258,-,1350.3,943,49,9644258,9639578
60611at7147,Complete,OY284472.1,32586816,32625032,+,556.6,273,50,32586816,32625032
60612at7147,Complete,OY284468.1,2846408,2851092,+,898.9,457,51,2846408,2851092
60628at7147,Complete,OY284470.1,9405289,9406084,-,348.6,179,52,9406084,9405289
60643at7147,Complete,OY284471.1,46817078,46818037,-,394.2,248,53,46818037,46817078
60650at7147,Complete,OY284469.1,19597276,19598795,-,416.9,322,54,19598795,19597276
60656at7147,Complete,OY284468.1,212037,220026,+,564.2,302,55,212037,220026
60688at7147,Complete,OY284468.1,2652160,2652612,-,98.5,86,56,2652612,2652160
60701at7147,Complete,OY284471.1,31189682,31193266,+,1653.1,800,57,31189682,31193266
60708at7147,Complete,OY284468.1,51221080,51222210,+,504.1,287,58,51221080,51222210
60719at7147,Complete,OY284468.1,43489594,43490354,+,239.9,163,59,43489594,43490354
60720at7147,Complete,OY284470.1,24472524,24474843,-,928.5,511,60,24474843,24472524
60739at7147,Complete,OY284468.1,23230432,23236753,+,2069.5,1083,61,23230432,23236753
60759at7147,Complete,OY284469.1,58461508,58462485,+,317.0,205,62,58461508,58462485
60771at7147,Complete,OY284469.1,31772300,31773480,-,396.5,227,63,31773480,31772300
60815at7147,Complete,OY284469.1,5096316,5098475,-,389.4,401,64,5098475,5096316
60817at7147,Complete,OY284468.1,26922402,26924151,-,461.5,255,65,26924151,26922402
60819at7147,Complete,OY284469.1,27215666,27217716,-,232.6,176,66,27217716,27215666
60826at7147,Complete,OY284468.1,22190259,22254788,-,658.2,369,67,22254788,22190259
60829at7147,Complete,OY284469.1,19854748,19857728,+,1007.4,504,68,19854748,19857728
60849at7147,Complete,OY284470.1,14407604,14408726,-,318.5,156,69,14408726,14407604
60885at7147,Complete,OY284468.1,2722106,2724102,-,749.3,483,70,2724102,2722106
60911at7147,Complete,OY284471.1,33939877,33950655,-,788.1,483,71,33950655,33939877
60913at7147,Complete,OY284471.1,9103170,9103891,-,283.4,171,72,9103891,9103170
60915at7147,Complete,OY284471.1,35350957,35352992,+,621.6,432,73,35350957,35352992
60935at7147,Complete,OY284472.1,21308810,21311318,-,649.9,543,74,21311318,21308810
60941at7147,Complete,OY284468.1,49753596,49759128,+,1493.0,775,75,49753596,49759128
60947at7147,Complete,OY284470.1,28428746,28430053,-,665.9,414,76,28430053,28428746
60973at7147,Complete,OY284468.1,23103507,23118313,-,3213.1,1935,77,23118313,23103507
60994at7147,Complete,OY284472.1,40054691,40057878,-,1480.0,727,78,40057878,40054691
61002at7147,Complete,OY284471.1,23612469,23613722,-,669.3,343,79,23613722,23612469
61024at7147,Complete,OY284468.1,51513483,51520355,+,999.4,577,80,51513483,51520355
61053at7147,Complete,OY284468.1,2401457,2403950,-,595.2,305,81,2403950,2401457
61054at7147,Complete,OY284469.1,20438954,20440073,+,454.9,209,82,20438954,20440073
61095at7147,Complete,OY284471.1,39821287,39824486,-,159.2,113,84,39824486,39821287
61113at7147,Complete,OY284468.1,53072332,53072739,-,164.1,101,85,53072739,53072332
61116at7147,Complete,OY284470.1,19693065,19693710,+,277.7,190,86,19693065,19693710
61138at7147,Complete,OY284470.1,47323691,47331920,+,3319.9,1795,87,47323691,47331920
61143at7147,Complete,OY284472.1,24014071,24034522,+,1834.6,1049,88,24014071,24034522
61222at7147,Complete,OY284471.1,34718396,34719508,+,406.1,236,90,34718396,34719508
61232at7147,Complete,OY284471.1,32423738,32427730,-,1039.8,556,91,32427730,32423738
61249at7147,Complete,OY284472.1,10714704,10749616,+,1089.5,565,93,10714704,10749616
61255at7147,Complete,OY284468.1,2889415,2894739,-,830.2,582,94,2894739,2889415
61276at7147,Complete,OY284470.1,19317004,19320853,-,1045.8,496,95,19320853,19317004
61306at7147,Complete,OY284468.1,42924448,42926690,+,1218.8,603,98,42924448,42926690
61331at7147,Complete,OY284469.1,56300123,56300671,-,384.5,183,99,56300671,56300123
61340at7147,Complete,OY284468.1,69239580,69240839,+,463.9,310,100,69239580,69240839
61374at7147,Complete,OY284470.1,18248803,18250608,-,873.3,468,101,18250608,18248803
61375at7147,Complete,OY284469.1,11846981,11859451,+,2058.7,1057,102,11846981,11859451
61379at7147,Complete,OY284469.1,34068894,34079386,-,809.6,503,103,34079386,34068894
61386at7147,Complete,OY284468.1,61855953,61858118,+,945.3,463,104,61855953,61858118
61388at7147,Complete,OY284468.1,515045,516698,+,235.5,269,105,515045,516698
61391at7147,Complete,OY284469.1,25888624,25890353,-,403.6,232,106,25890353,25888624
61398at7147,Complete,OY284468.1,54858720,54859645,-,332.9,175,107,54859645,54858720
61410at7147,Complete,OY284470.1,47745144,47755184,+,1711.0,1199,108,47745144,47755184
61443at7147,Complete,OY284472.1,4545714,4556204,-,1938.8,1193,109,4556204,4545714
61444at7147,Complete,OY284469.1,7630216,7633664,+,1254.1,984,110,7630216,7633664
61469at7147,Complete,OY284470.1,13110448,13114342,+,1056.4,644,111,13110448,13114342
61497at7147,Complete,OY284468.1,52350397,52350896,-,147.0,124,112,52350896,52350397
61498at7147,Complete,OY284469.1,35513186,35516716,-,932.6,520,113,35516716,35513186
61509at7147,Complete,OY284468.1,49886329,49887762,-,516.3,253,114,49887762,49886329
61543at7147,Complete,OY284472.1,5367018,5370305,-,824.3,578,115,5370305,5367018
61559at7147,Complete,OY284468.1,54819404,54822055,+,1095.7,677,116,54819404,54822055
61562at7147,Complete,OY284469.1,25630730,25634309,+,1358.6,987,117,25630730,25634309
61602at7147,Complete,OY284472.1,40837126,40837650,+,253.6,149,118,40837126,40837650
61663at7147,Complete,OY284469.1,29942932,29944211,-,583.6,310,119,29944211,29942932
61683at7147,Complete,OY284471.1,46569008,46569607,+,249.0,142,120,46569008,46569607
61699at7147,Complete,OY284469.1,24672853,24673201,+,185.7,89,121,24672853,24673201
61709at7147,Complete,OY284472.1,37229572,37234970,+,735.2,360,122,37229572,37234970
61710at7147,Complete,OY284468.1,40027656,40045655,+,1639.7,789,123,40027656,40045655
61713at7147,Complete,OY284468.1,54406372,54408646,-,959.0,601,124,54408646,54406372
61746at7147,Complete,OY284470.1,24406615,24411966,-,993.0,512,125,24411966,24406615
61750at7147,Complete,OY284468.1,69258845,69262056,-,1067.3,582,126,69262056,69258845
61769at7147,Complete,OY284468.1,36877197,36879941,+,1033.1,577,127,36877197,36879941
61774at7147,Complete,OY284470.1,7018905,7020458,-,314.0,384,128,7020458,7018905
61808at7147,Complete,OY284469.1,58485646,58489771,+,711.4,342,131,58485646,58489771
61815at7147,Complete,OY284470.1,34869879,34970023,+,3916.4,2355,132,34869879,34970023
61817at7147,Complete,OY284472.1,20215703,20220160,+,941.1,501,133,20215703,20220160
61842at7147,Complete,OY284468.1,54714885,54743345,-,609.4,356,134,54743345,54714885
61844at7147,Complete,OY284472.1,30227664,30228793,+,417.8,305,135,30227664,30228793
61869at7147,Complete,OY284471.1,20390098,20391760,-,873.5,410,136,20391760,20390098
61874at7147,Complete,OY284469.1,17106290,17144299,-,354.4,173,137,17144299,17106290
61879at7147,Complete,OY284468.1,53054502,53056240,+,697.8,474,138,53054502,53056240
61890at7147,Complete,OY284468.1,20952682,20956873,+,854.7,421,139,20952682,20956873
61894at7147,Complete,OY284470.1,41675387,41676495,+,411.3,318,140,41675387,41676495
61922at7147,Complete,OY284469.1,27167659,27169086,+,539.9,363,141,27167659,27169086
61928at7147,Complete,OY284468.1,180207,182438,+,781.3,410,142,180207,182438
61938at7147,Complete,OY284468.1,32844152,32845193,-,382.1,252,143,32845193,32844152
61941at7147,Complete,OY284468.1,69463359,69465255,+,288.3,393,144,69463359,69465255
61968at7147,Complete,OY284469.1,31597307,31603813,-,2028.3,1332,146,31603813,31597307
61986at7147,Complete,OY284468.1,47617815,47619161,+,688.4,324,147,47617815,47619161
61992at7147,Complete,OY284471.1,40447225,40448639,+,670.1,349,148,40447225,40448639
61993at7147,Complete,OY284471.1,30680049,30681102,-,374.6,252,149,30681102,30680049
61998at7147,Complete,OY284473.1,27074115,27078866,-,1132.0,486,150,27078866,27074115
62045at7147,Complete,OY284468.1,63756857,63766015,+,1753.5,921,151,63756857,63766015
62048at7147,Complete,OY284471.1,19536332,19537647,-,307.3,150,152,19537647,19536332
62055at7147,Complete,OY284469.1,8370767,8380716,-,1392.7,849,153,8380716,8370767
62066at7147,Complete,OY284468.1,30823042,30824557,-,184.0,133,154,30824557,30823042
62100at7147,Complete,OY284469.1,15459863,15462059,-,1035.6,607,155,15462059,15459863
62107at7147,Complete,OY284472.1,1096164,1098912,+,733.7,415,156,1096164,1098912
62123at7147,Complete,OY284469.1,33653624,33656604,+,625.4,313,157,33653624,33656604
62130at7147,Complete,OY284472.1,40457820,40458494,+,386.8,222,158,40457820,40458494
62144at7147,Complete,OY284468.1,64342025,64342960,-,373.6,221,159,64342960,64342025
62147at7147,Complete,OY284468.1,29256973,29257617,+,388.7,183,160,29256973,29257617
62185at7147,Complete,OY284470.1,18514768,18527770,+,738.2,389,161,18514768,18527770
62197at7147,Complete,OY284470.1,6861696,6862871,-,417.0,206,163,6862871,6861696
62204at7147,Complete,OY284471.1,3491863,3493189,+,101.3,216,164,3491863,3493189
62213at7147,Complete,OY284472.1,20066452,20069934,-,972.0,716,165,20069934,20066452
62270at7147,Complete,OY284470.1,7748030,7749762,+,780.8,423,166,7748030,7749762
62282at7147,Complete,OY284470.1,17785315,17786579,-,187.7,212,167,17786579,17785315
62295at7147,Complete,OY284469.1,31695606,31696016,-,179.1,99,168,31696016,31695606
62339at7147,Complete,OY284470.1,30478234,30478704,-,233.5,149,169,30478704,30478234
62349at7147,Complete,OY284469.1,35992606,35994249,-,672.6,453,170,35994249,35992606
