busco_id,status,sequence,gene_start,gene_end,strand,score,length,line_number,original_start,original_end
8at7147,Complete,NC_004354.4,20241021,20242134,+,432.3,222,1,20241021,20242134
225at7147,Complete,NT_033777.3,15225961,15227330,+,990.5,418,2,15225961,15227330
421at7147,Complete,NT_033779.5,8516770,8517291,-,292.9,147,4,8517291,8516770
445at7147,Complete,NT_037436.4,176692,177836,-,702.2,335,5,177836,176692
452at7147,Complete,NT_033778.4,23389523,23395155,-,1201.5,592,6,23395155,23389523
511at7147,Complete,NT_037436.4,16588851,16589770,+,440.2,220,7,16588851,16589770
525at7147,Complete,NT_033779.5,2856255,2856568,+,166.0,81,8,2856255,2856568
540at7147,Complete,NT_033778.4,6974117,6974901,-,276.0,201,9,6974901,6974117
836at7147,Complete,NT_033779.5,4444896,4446624,+,1252.7,540,10,4444896,4446624
841at7147,Complete,NT_037436.4,5766009,5766985,+,570.7,283,11,5766009,5766985
908at7147,Complete,NT_033777.3,15222402,15223022,-,363.2,168,12,15223022,15222402
962at7147,Complete,NT_033778.4,12025846,12027155,-,496.2,328,13,12027155,12025846
994at7147,Complete,NT_033779.5,5527074,5527796,+,408.5,193,14,5527074,5527796
1004at7147,Complete,NT_037436.4,1311935,1312911,-,527.7,304,15,1312911,1311935
1049at7147,Complete,NT_033777.3,11787542,11789228,+,872.5,412,16,11787542,11789228
1055at7147,Complete,NT_033779.5,4945903,4947829,+,612.7,336,17,4945903,4947829
1072at7147,Complete,NT_033777.3,23934169,23935629,+,684.5,357,18,23934169,23935629
1078at7147,Complete,NT_033779.5,13833423,13834247,+,614.0,273,19,13833423,13834247
1123at7147,Complete,NC_004354.4,15735839,15737032,-,661.7,379,20,15737032,15735839
1142at7147,Complete,NT_037436.4,9370353,9371017,-,303.0,167,21,9371017,9370353
1200at7147,Complete,NC_004354.4,9107144,9107928,+,416.1,200,22,9107144,9107928
1247at7147,Complete,NC_004354.4,8144004,8145494,-,972.8,480,23,8145494,8144004
1323at7147,Complete,NT_037436.4,8298753,8299289,-,367.9,159,24,8299289,8298753
1690at7147,Complete,NT_033779.5,4324955,4331601,+,1164.0,629,25,4324955,4331601
1854at7147,Complete,NC_004354.4,7732004,7734131,-,754.1,427,26,7734131,7732004
1907at7147,Complete,NC_004354.4,16784074,16784959,+,344.3,190,27,16784074,16784959
1914at7147,Complete,NT_033778.4,7463589,7464899,+,504.9,398,28,7463589,7464899
1984at7147,Complete,NT_033778.4,24173838,24174366,-,305.5,154,29,24174366,24173838
2041at7147,Complete,NT_033778.4,12338530,12339249,+,348.3,210,30,12338530,12339249
2067at7147,Complete,NT_033777.3,11203117,11208452,+,685.8,376,31,11203117,11208452
2304at7147,Complete,NT_033778.4,14756584,14757002,+,202.5,111,32,14756584,14757002
2306at7147,Complete,NT_037436.4,8647493,8648824,-,877.9,399,33,8648824,8647493
2332at7147,Complete,NT_033778.4,15989943,15991145,-,515.6,269,34,15991145,15989943
2339at7147,Complete,NT_037436.4,20798789,20799986,+,507.1,289,35,20798789,20799986
2552at7147,Complete,NC_004354.4,19751433,19758753,+,1350.2,652,36,19751433,19758753
2609at7147,Complete,NT_033779.5,16247077,16248949,-,353.8,172,37,16248949,16247077
2610at7147,Complete,NT_033779.5,10312386,10314242,-,402.1,217,38,10314242,10312386
2635at7147,Complete,NT_033778.4,6673681,6674849,+,583.2,319,39,6673681,6674849
