busco_id,status,sequence,gene_start,gene_end,strand,score,length,line_number,original_start,original_end
8at7147,Complete,NC_060951.1,44776606,44782704,+,433.0,239,1,44776606,44782704
225at7147,Complete,NC_060952.1,85453029,85454291,-,991.8,418,2,85454291,85453029
284at7147,Complete,NC_060953.1,44608406,44611013,-,400.0,182,3,44611013,44608406
421at7147,Complete,NC_060952.1,72828566,72829096,-,301.5,155,4,72829096,72828566
445at7147,Complete,NC_060953.1,40391663,40392815,-,724.8,338,5,40392815,40391663
452at7147,Fragmented,NC_060954.1,43311614,43341087,+,927.1,432,6,43311614,43341087
511at7147,Complete,NC_060953.1,42140941,42143032,-,444.2,220,7,42143032,42140941
525at7147,Complete,NC_060950.1,64793737,64794088,+,170.7,81,8,64793737,64794088
540at7147,Complete,NC_060954.1,51071185,51071974,-,324.0,202,9,51071974,51071185
836at7147,Complete,NC_060950.1,25455935,25457799,-,1265.5,542,10,25457799,25455935
841at7147,Complete,NC_060953.1,42096079,42097190,+,574.7,283,11,42096079,42097190
908at7147,Complete,NC_060952.1,81129717,81130358,-,349.0,170,12,81130358,81129717
962at7147,Complete,NC_060954.1,9132934,9135008,-,530.1,326,13,9135008,9132934
994at7147,Complete,NC_060953.1,7112343,7113170,+,418.2,194,14,7112343,7113170
1004at7147,Complete,NC_060953.1,62820587,62821603,+,529.0,304,15,62820587,62821603
1049at7147,Complete,NC_060952.1,92666662,92670322,-,881.8,411,16,92670322,92666662
1055at7147,Complete,NC_060950.1,23578944,23582331,-,648.1,336,17,23582331,23578944
1072at7147,Complete,NC_060952.1,35357153,35360509,-,704.7,357,18,35360509,35357153
1078at7147,Complete,NC_060950.1,59783018,59783842,-,620.3,273,19,59783842,59783018
1123at7147,Complete,NC_060951.1,3617510,3618715,-,715.8,379,20,3618715,3617510
1142at7147,Complete,NC_060953.1,60873917,60874614,-,321.3,167,21,60874614,60873917
1200at7147,Complete,NC_060951.1,35304704,35305535,-,405.1,200,22,35305535,35304704
1247at7147,Complete,NC_060951.1,4967290,5008906,+,1022.4,480,23,4967290,5008906
1323at7147,Complete,NC_060951.1,31896417,31917201,-,364.9,157,24,31917201,31896417
1690at7147,Complete,NC_060950.1,20042143,20086827,-,1198.7,628,25,20086827,20042143
1854at7147,Complete,NC_060951.1,36904457,36906438,-,820.6,432,26,36906438,36904457
1907at7147,Complete,NC_060951.1,35253707,35254700,+,355.5,195,27,35253707,35254700
1914at7147,Complete,NC_060954.1,62708131,62709435,+,566.1,398,28,62708131,62709435
1984at7147,Complete,NC_060954.1,47545289,47545822,+,309.3,154,29,47545289,47545822
2041at7147,Complete,NC_060954.1,409776,410420,+,389.2,210,30,409776,410420
2067at7147,Complete,NC_060953.1,32731979,32748888,-,751.9,377,31,32748888,32731979
2304at7147,Complete,NC_060954.1,14251990,14252416,+,199.1,112,32,14251990,14252416
2306at7147,Complete,NC_060953.1,67855543,67857150,+,875.2,399,33,67855543,67857150
2332at7147,Complete,NC_060954.1,55944418,55947447,-,551.9,269,34,55947447,55944418
2339at7147,Complete,NC_060953.1,13077959,13080077,+,534.2,289,35,13077959,13080077
2552at7147,Complete,NC_060951.1,27617339,27644390,-,1369.4,652,36,27644390,27617339
2609at7147,Fragmented,NC_060950.1,67306219,67306560,-,160.5,82,37,67306560,67306219
2610at7147,Complete,NC_060950.1,59809932,59811977,+,417.7,218,38,59809932,59811977
2635at7147,Complete,NC_060954.1,39660984,39662384,-,592.2,321,39,39662384,39660984
2697at7147,Complete,NC_060954.1,42669240,42671196,+,1223.9,577,40,42669240,42671196
2709at7147,Complete,NC_060950.1,2367647,2406907,-,1115.7,514,41,2406907,2367647
2727at7147,Complete,NC_060954.1,57140144,57147382,-,982.1,495,42,57147382,57140144
2881at7147,Complete,NC_060954.1,33479442,33479991,+,277.8,162,43,33479442,33479991
2904at7147,Complete,NC_060953.1,36486826,36490757,+,1117.8,549,44,36486826,36490757
2908at7147,Complete,NC_060953.1,33797119,33801399,-,2239.5,1110,45,33801399,33797119
2969at7147,Complete,NC_060951.1,53524394,53532884,+,1440.7,662,46,53524394,53532884
3120at7147,Complete,NC_060950.1,3992196,3992491,+,143.2,75,47,3992196,3992491
3219at7147,Complete,NC_060951.1,21907168,21910902,+,1031.0,479,48,21907168,21910902
3282at7147,Complete,NC_060953.1,45715215,45715717,+,285.0,147,49,45715215,45715717
3308at7147,Complete,NC_060951.1,67043677,67044796,-,401.8,294,50,67044796,67043677
3333at7147,Complete,NC_060954.1,17648914,17650767,+,842.5,496,51,17648914,17650767
3410at7147,Complete,NC_060953.1,2535918,2540630,-,609.1,300,52,2540630,2535918
3413at7147,Complete,NC_060954.1,6952882,6953928,-,679.7,326,53,6953928,6952882
3474at7147,Complete,NC_060952.1,99268332,99269177,+,399.4,239,54,99268332,99269177
3577at7147,Complete,NC_060953.1,52332328,52332800,-,241.8,138,55,52332800,52332328
3788at7147,Complete,NC_060954.1,36490069,36490869,+,349.4,188,56,36490069,36490869
3828at7147,Complete,NC_060952.1,38940327,38943929,+,393.0,188,57,38940327,38943929
3874at7147,Complete,NC_060954.1,882345,882912,+,316.9,147,58,882345,882912
4069at7147,Complete,NC_060953.1,50851684,50852730,+,436.8,266,59,50851684,50852730
4073at7147,Complete,NC_060953.1,9710120,9711819,-,1073.2,512,60,9711819,9710120
4095at7147,Complete,NC_060953.1,67911941,67913722,+,754.3,373,61,67911941,67913722
4164at7147,Complete,NC_060952.1,20535662,20539190,-,231.9,117,62,20539190,20535662
4211at7147,Complete,NC_060953.1,4300602,4301147,+,205.9,127,63,4300602,4301147
4218at7147,Complete,NC_060952.1,75955148,75967404,-,910.8,434,64,75967404,75955148
4274at7147,Complete,NC_060950.1,52956558,52959165,+,1099.7,600,65,52956558,52959165
4353at7147,Complete,NC_060954.1,10842460,10856467,-,1109.3,528,66,10856467,10842460
4421at7147,Complete,NC_060953.1,7478572,7480519,-,935.9,520,67,7480519,7478572
4470at7147,Complete,NC_060954.1,46989751,46995227,+,1126.5,562,68,46989751,46995227
4511at7147,Complete,NC_060952.1,76653138,76654031,-,489.3,225,69,76654031,76653138
4573at7147,Complete,NC_060952.1,25955161,26027782,-,1121.8,537,70,26027782,25955161
4606at7147,Fragmented,NC_060952.1,48290416,48341646,-,721.2,419,71,48341646,48290416
4667at7147,Complete,NC_060950.1,63843557,63846706,-,1055.3,513,72,63846706,63843557
4829at7147,Complete,NC_060954.1,48068396,48079938,-,5608.1,2330,73,48079938,48068396
4932at7147,Complete,NC_060951.1,34292537,34295530,-,830.2,413,74,34295530,34292537
5213at7147,Complete,NC_060952.1,18223717,18224989,+,387.8,190,75,18223717,18224989
5225at7147,Complete,NC_060950.1,53180092,53180430,+,238.9,107,76,53180092,53180430
5241at7147,Duplicated,NC_060949.1,9067174,9070529,+,564.1,322,77,9067174,9070529
5241at7147,Duplicated,NC_060952.1,68554799,68558154,+,564.1,322,78,68554799,68558154
5263at7147,Complete,NC_060952.1,22297110,22299780,-,1028.9,480,79,22299780,22297110
5433at7147,Complete,NC_060952.1,99263435,99265368,-,380.0,224,80,99265368,99263435
5488at7147,Complete,NC_060950.1,3954106,3955996,+,307.9,244,81,3954106,3955996
5674at7147,Complete,NC_060952.1,99291231,99292231,-,542.2,267,82,99292231,99291231
5711at7147,Complete,NC_060950.1,19257884,19260728,+,517.8,375,83,19257884,19260728
5723at7147,Complete,NC_060951.1,64462302,64463853,-,452.4,274,84,64463853,64462302
5768at7147,Complete,NC_060954.1,58705397,58706864,-,490.5,324,85,58706864,58705397
5780at7147,Fragmented,NC_060954.1,16425412,16430264,-,642.0,357,86,16430264,16425412
5845at7147,Complete,NC_060952.1,140511,163114,+,780.0,535,87,140511,163114
5858at7147,Complete,NC_060952.1,18614500,18615216,-,302.8,206,88,18615216,18614500
5978at7147,Complete,NC_060953.1,60976633,60978382,-,1027.1,527,89,60978382,60976633
6130at7147,Complete,NC_060953.1,21470221,21486750,-,281.6,169,90,21486750,21470221
6240at7147,Complete,NC_060952.1,70641561,70656615,-,848.5,437,91,70656615,70641561
6256at7147,Complete,NC_060953.1,43037326,43039584,-,1197.7,681,92,43039584,43037326
6718at7147,Complete,NC_060954.1,62045789,62049773,+,909.5,539,93,62045789,62049773
6736at7147,Complete,NC_060952.1,81598739,81600199,-,1017.0,463,94,81600199,81598739
6974at7147,Complete,NC_060952.1,9014963,9017002,+,1073.6,530,95,9014963,9017002
7054at7147,Complete,NC_060952.1,76675706,76678233,+,539.9,280,96,76675706,76678233
7326at7147,Complete,NC_060953.1,45731637,45737285,-,1358.7,864,97,45737285,45731637
7353at7147,Complete,NC_060951.1,64154553,64158707,+,1171.1,715,98,64154553,64158707
7355at7147,Complete,NC_060952.1,46775225,46776726,+,991.6,477,99,46775225,46776726
7470at7147,Complete,NC_060953.1,5435148,5435773,-,337.6,150,100,5435773,5435148
7527at7147,Complete,NC_060952.1,21352057,21354391,-,612.4,297,101,21354391,21352057
7563at7147,Complete,NC_060951.1,52526629,52538531,-,2366.0,1103,102,52538531,52526629
7677at7147,Complete,NC_060952.1,7983178,7994250,+,596.2,336,103,7983178,7994250
7764at7147,Complete,NC_060953.1,14495950,14502882,-,672.9,417,104,14502882,14495950
7798at7147,Complete,NC_060954.1,58309374,58312786,-,484.7,237,105,58312786,58309374
7971at7147,Complete,NC_060951.1,5849403,5851923,+,1056.7,491,106,5849403,5851923
8005at7147,Complete,NC_060951.1,35436987,35438716,-,809.8,428,107,35438716,35436987
8016at7147,Complete,NC_060950.1,2846035,2849122,-,1704.1,901,108,2849122,2846035
8037at7147,Complete,NC_060952.1,41628978,41647113,-,2318.2,994,109,41647113,41628978
8079at7147,Complete,NC_060951.1,6943982,6957889,-,2106.9,979,110,6957889,6943982
8161at7147,Complete,NC_060952.1,15332200,15335311,+,1211.2,704,111,15332200,15335311
8234at7147,Complete,NC_060950.1,28190751,28193180,-,893.7,552,112,28193180,28190751
8348at7147,Complete,NC_060950.1,15202173,15213623,+,739.4,393,113,15202173,15213623
8364at7147,Complete,NC_060952.1,73772197,73788038,-,410.9,230,114,73788038,73772197
8365at7147,Complete,NC_060954.1,64184872,64185828,+,352.7,243,115,64184872,64185828
8456at7147,Complete,NC_060952.1,21348175,21349529,+,543.6,341,116,21348175,21349529
8734at7147,Complete,NC_060951.1,56146529,56158089,+,1515.0,878,117,56146529,56158089
8741at7147,Complete,NC_060950.1,63644643,63647031,+,683.6,401,118,63644643,63647031
8776at7147,Complete,NC_060950.1,13573673,13574715,-,369.6,261,119,13574715,13573673
8873at7147,Complete,NC_060951.1,64510118,64513237,-,1061.4,842,120,64513237,64510118
8933at7147,Complete,NC_060954.1,8656633,8659737,-,1130.0,542,121,8659737,8656633
8944at7147,Complete,NC_060952.1,91592316,91593977,+,553.0,351,122,91592316,91593977
9125at7147,Complete,NC_060954.1,9860771,9883175,-,2027.5,1039,124,9883175,9860771
9191at7147,Complete,NC_060950.1,40971902,41007132,+,514.5,303,125,40971902,41007132
9356at7147,Complete,NC_060953.1,11021199,11022308,+,509.0,314,126,11021199,11022308
9394at7147,Complete,NC_060954.1,995668,997115,-,648.5,325,127,997115,995668
9406at7147,Complete,NC_060951.1,6312049,6323530,+,363.4,184,128,6312049,6323530
9425at7147,Complete,NC_060952.1,100451780,100453642,+,502.2,375,129,100451780,100453642
9487at7147,Complete,NC_060950.1,56504064,56505587,+,675.5,409,130,56504064,56505587
9678at7147,Complete,NC_060950.1,10541311,10543442,-,1018.9,475,131,10543442,10541311
9921at7147,Complete,NC_060953.1,68057958,68059452,-,367.4,248,132,68059452,68057958
9938at7147,Complete,NC_060954.1,62912365,62927931,+,5189.9,3090,133,62912365,62927931
10055at7147,Complete,NC_060952.1,100647905,100650279,-,1046.6,508,134,100650279,100647905
10097at7147,Complete,NC_060950.1,52300556,52301594,-,622.7,297,135,52301594,52300556
10198at7147,Complete,NC_060953.1,10609712,10611280,-,895.1,396,136,10611280,10609712
10247at7147,Complete,NC_060954.1,63451706,63468399,+,2454.2,1231,137,63451706,63468399
10407at7147,Complete,NC_060952.1,21422538,21423439,+,556.3,271,138,21422538,21423439
10408at7147,Complete,NC_060951.1,29390749,29403049,+,280.8,161,139,29390749,29403049
10443at7147,Complete,NC_060953.1,14081506,14087488,+,1880.1,1111,140,14081506,14087488
10456at7147,Complete,NC_060952.1,28721692,28722585,+,474.3,279,141,28721692,28722585
10532at7147,Complete,NC_060950.1,24408166,24412740,+,792.5,392,143,24408166,24412740
10563at7147,Complete,NC_060952.1,75833882,75851048,-,3568.8,1589,144,75851048,75833882
10589at7147,Complete,NC_060954.1,37901906,37903006,-,549.1,361,145,37903006,37901906
10612at7147,Complete,NC_060950.1,59459441,59463005,+,1829.0,993,146,59459441,59463005
10620at7147,Complete,NC_060951.1,64603643,64604485,-,315.0,164,147,64604485,64603643
10654at7147,Complete,NC_060950.1,21392538,21393245,-,340.7,215,148,21393245,21392538
10709at7147,Complete,NC_060954.1,57966365,57968342,+,677.3,397,149,57966365,57968342
10730at7147,Complete,NC_060950.1,69684608,69685980,+,637.7,359,150,69684608,69685980
10821at7147,Complete,NC_060953.1,68230527,68232447,+,558.4,348,151,68230527,68232447
10911at7147,Complete,NC_060951.1,44762924,44766914,+,1329.2,912,152,44762924,44766914
11023at7147,Complete,NC_060950.1,8744566,8746170,+,832.1,483,153,8744566,8746170
11146at7147,Complete,NC_060952.1,81678369,81680644,+,999.9,534,154,81678369,81680644
11268at7147,Complete,NC_060954.1,34185730,34186905,+,576.0,297,155,34185730,34186905
11292at7147,Complete,NC_060954.1,55281582,55284092,+,1122.4,670,156,55281582,55284092
11343at7147,Complete,NC_060954.1,9295709,9297024,+,485.1,278,157,9295709,9297024
11421at7147,Complete,NC_060954.1,18264996,18266402,+,810.7,430,158,18264996,18266402
11457at7147,Complete,NC_060952.1,7208913,7212957,+,355.7,211,159,7208913,7212957
11484at7147,Complete,NC_060951.1,56091936,56095646,+,922.7,726,160,56091936,56095646
11516at7147,Complete,NC_060954.1,2187310,2188744,-,653.8,399,161,2188744,2187310
11534at7147,Complete,NC_060951.1,39405143,39406500,+,724.7,356,162,39405143,39406500
11753at7147,Complete,NC_060950.1,37983568,37992838,+,631.2,317,163,37983568,37992838
11778at7147,Complete,NC_060950.1,23576187,23578652,+,423.3,255,164,23576187,23578652
11874at7147,Duplicated,NC_060952.1,25851497,25852681,-,562.8,301,165,25852681,25851497
11874at7147,Duplicated,NC_060954.1,31438959,31440143,+,562.8,301,166,31438959,31440143
11888at7147,Fragmented,NC_060954.1,42694434,42694941,+,132.5,76,167,42694434,42694941
11999at7147,Complete,NC_060954.1,53221907,53222686,+,551.2,258,168,53221907,53222686
12100at7147,Complete,NC_060951.1,29604030,29609290,+,1573.2,739,169,29604030,29609290
12116at7147,Complete,NC_060951.1,9961927,10000145,-,777.9,375,170,10000145,9961927
12219at7147,Complete,NC_060951.1,63613271,63614920,-,839.2,420,171,63614920,63613271
12226at7147,Complete,NC_060950.1,2099269,2100402,+,587.3,351,172,2099269,2100402
12283at7147,Complete,NC_060953.1,57256641,57258582,+,312.8,218,173,57256641,57258582
12285at7147,Complete,NC_060952.1,76781392,76781845,+,243.3,131,174,76781392,76781845
12361at7147,Complete,NC_060951.1,55316144,55318183,-,992.6,557,175,55318183,55316144
