query	grouping_confidence	location_confidence	orientation_confidence
OY284468.1	0.9789262386030914	0.16118602626436923	0.5274483291726734
CATVHY010000049.1	1.0	1.0	1.0
CATVHY010000043.1	1.0	1.0	1.0
OY284469.1	0.9894789798559146	0.13273033053978087	0.4681873489867089
CATVHY010000002.1	1.0	1.0	1.0
CATVHY010000034.1	1.0	1.0	1.0
OY284470.1	0.9811926582418633	0.15119075679943556	0.4745777076949305
OY284471.1	0.9929423295437734	0.20162031951702297	0.5562684034609185
CATVHY010000011.1	1.0	1.0	1.0
OY284472.1	0.9969163090480918	0.1290526276748832	0.5167385745217274
OY284473.1	0.6373745741418375	0.005577204948552469	0.7307712170769496
CATVHY010000016.1	1.0	1.0	0.6021512260708112
