busco_id,status,sequence,gene_start,gene_end,strand,score,length,line_number,original_start,original_end
8at7147,Complete,NC_051853.1,11649727,11667581,-,424.9,232,1,11667581,11649727
225at7147,Complete,NC_051854.1,54975063,54976328,-,986.7,419,2,54976328,54975063
284at7147,Complete,NC_051850.1,144801151,144806849,-,398.8,182,3,144806849,144801151
421at7147,Complete,NC_051854.1,102941415,102941903,-,289.6,159,4,102941903,102941415
445at7147,Complete,NC_051855.1,11178234,11190719,+,720.7,338,5,11178234,11190719
452at7147,Complete,NC_051849.1,119163567,119310421,-,1083.3,620,6,119310421,119163567
511at7147,Complete,NC_051850.1,117382705,117389192,+,421.8,220,7,117382705,117389192
525at7147,Complete,NC_051851.1,149265194,149265521,-,153.4,81,8,149265521,149265194
540at7147,Complete,NC_051849.1,39598837,39599566,+,316.9,201,9,39598837,39599566
836at7147,Complete,NC_051849.1,200474504,200480438,-,1244.5,542,10,200480438,200474504
908at7147,Complete,NC_051854.1,56577568,56578298,+,368.1,170,12,56577568,56578298
962at7147,Complete,NC_051852.1,134528865,134540933,-,486.0,325,13,134540933,134528865
994at7147,Complete,NC_051850.1,47886890,47887801,-,407.1,194,14,47887801,47886890
1004at7147,Complete,NC_051852.1,140013460,140014559,+,489.0,304,15,140013460,140014559
1049at7147,Complete,NC_051855.1,2001087,2119708,+,886.1,396,16,2001087,2119708
1055at7147,Complete,NC_051849.1,184366850,184368332,-,612.6,335,17,184368332,184366850
1072at7147,Complete,NC_051853.1,94463901,94478013,+,642.9,363,18,94463901,94478013
1078at7147,Complete,NC_051852.1,100431186,100432126,+,604.8,273,19,100431186,100432126
1123at7147,Complete,NC_051850.1,175386890,175388423,-,596.4,351,20,175388423,175386890
1142at7147,Complete,NC_051850.1,108420420,108429085,-,288.4,167,21,108429085,108420420
1200at7147,Complete,NC_051853.1,59208490,59213960,+,407.2,200,22,59208490,59213960
1247at7147,Complete,NC_051851.1,66547286,66548834,+,980.3,480,23,66547286,66548834
1323at7147,Complete,NC_051852.1,42914866,43012772,+,371.6,159,24,42914866,43012772
1690at7147,Complete,NC_051849.1,220244124,220272879,+,1106.2,628,25,220244124,220272879
1854at7147,Complete,NC_051853.1,63287175,63295412,+,705.5,418,26,63287175,63295412
1907at7147,Complete,NC_051853.1,59880803,59887860,+,374.9,193,27,59880803,59887860
1914at7147,Complete,NC_051849.1,29873301,29874563,+,539.9,398,28,29873301,29874563
1984at7147,Complete,NC_051854.1,18781140,18793245,+,302.9,153,29,18781140,18793245
2041at7147,Complete,NC_051852.1,109271314,109271958,+,349.1,209,30,109271314,109271958
2067at7147,Complete,NC_051850.1,120114325,120146100,+,612.5,342,31,120114325,120146100
2304at7147,Complete,NC_051852.1,167163186,167163629,+,191.0,112,32,167163186,167163629
2306at7147,Complete,NC_051850.1,163187864,163189372,-,848.8,396,33,163189372,163187864
2332at7147,Complete,NC_051849.1,247733,253184,-,538.9,269,34,253184,247733
2339at7147,Complete,NC_051850.1,3419994,3432962,-,521.8,289,35,3432962,3419994
2552at7147,Complete,NC_051853.1,30512489,30543482,+,1272.1,651,36,30512489,30543482
2609at7147,Complete,NC_051851.1,133482079,133501159,+,350.9,172,37,133482079,133501159
2610at7147,Complete,NC_051849.1,186588060,186597687,+,395.6,218,38,186588060,186597687
2635at7147,Complete,NC_051849.1,15276096,15282447,+,495.9,306,39,15276096,15282447
2697at7147,Complete,NC_051849.1,106777719,106784865,-,1163.3,576,40,106784865,106777719
2709at7147,Complete,NC_051849.1,138715230,138777578,-,1080.1,515,41,138777578,138715230
2727at7147,Complete,NC_051849.1,390607,402401,-,902.0,490,42,402401,390607
2881at7147,Complete,NC_051849.1,102808099,102808905,+,229.5,163,43,102808099,102808905
2904at7147,Complete,NC_051850.1,157721150,157738252,+,1071.9,549,44,157721150,157738252
2908at7147,Complete,NC_051850.1,121840178,121906136,-,2147.1,1110,45,121906136,121840178
2969at7147,Complete,NC_051853.1,31357395,31370902,-,1298.8,613,46,31370902,31357395
3219at7147,Complete,NC_051849.1,46066335,46074993,-,1024.1,479,48,46074993,46066335
3282at7147,Complete,NC_051850.1,138413876,138414378,+,268.6,147,49,138413876,138414378
3308at7147,Complete,NC_051853.1,62113253,62114284,+,353.3,293,50,62113253,62114284
3333at7147,Complete,NC_051852.1,165918359,165932556,+,731.0,496,51,165918359,165932556
3410at7147,Complete,NC_051850.1,1996845,2010929,+,588.4,300,52,1996845,2010929
3413at7147,Complete,NC_051851.1,34172474,34173525,-,657.9,325,53,34173525,34172474
3474at7147,Complete,NC_051854.1,85111313,85112166,-,379.4,240,54,85112166,85111313
3577at7147,Complete,NC_051850.1,159447932,159448402,-,228.7,127,55,159448402,159447932
3788at7147,Complete,NC_051849.1,42267676,42268422,-,345.1,184,56,42268422,42267676
3828at7147,Complete,NC_051852.1,124528616,124544312,+,373.8,185,57,124528616,124544312
3874at7147,Complete,NC_051852.1,115702334,115712595,+,293.2,147,58,115702334,115712595
4069at7147,Complete,NC_051850.1,166657074,166662933,+,408.1,269,59,166657074,166662933
4073at7147,Complete,NC_051853.1,5590440,5597984,+,999.1,513,60,5590440,5597984
4095at7147,Complete,NC_051850.1,163060032,163066830,+,739.3,371,61,163060032,163066830
4164at7147,Complete,NC_051849.1,44757609,44766101,+,212.8,117,62,44757609,44766101
4211at7147,Complete,NC_051852.1,80812097,80812528,-,165.2,115,63,80812528,80812097
4218at7147,Complete,NC_051854.1,38051041,38065356,+,728.3,380,64,38051041,38065356
4274at7147,Complete,NC_051851.1,175136105,175138683,-,1067.7,598,65,175138683,175136105
4353at7147,Complete,NC_051852.1,101128441,101138164,-,1035.8,487,66,101138164,101128441
4421at7147,Complete,NC_051850.1,53444769,53464651,+,892.0,520,67,53444769,53464651
4470at7147,Complete,NC_051849.1,74657838,74683388,+,1083.9,562,68,74657838,74683388
4511at7147,Complete,NC_051854.1,1997878,1998749,-,466.0,220,69,1998749,1997878
4573at7147,Complete,NC_051853.1,42003288,42418594,+,987.0,537,70,42003288,42418594
4606at7147,Complete,NC_051851.1,17572732,17680510,+,1398.0,685,71,17572732,17680510
4667at7147,Complete,NC_051851.1,143802577,143813415,+,1004.9,513,72,143802577,143813415
4829at7147,Complete,NC_051849.1,102634809,102649236,-,5590.9,2298,73,102649236,102634809
4932at7147,Complete,NC_051853.1,30449811,30457089,+,799.7,416,74,30449811,30457089
5213at7147,Complete,NC_051851.1,103054833,103055827,+,362.5,187,75,103054833,103055827
5225at7147,Complete,NC_051849.1,221318186,221324433,-,224.7,107,76,221324433,221318186
5241at7147,Complete,NC_051854.1,26022314,26029371,-,531.3,329,77,26029371,26022314
5263at7147,Complete,NC_051851.1,78819778,78833227,+,914.8,450,78,78819778,78833227
5433at7147,Complete,NC_051854.1,32082416,32090099,+,319.4,223,79,32082416,32090099
5488at7147,Complete,NC_051849.1,155196399,155197253,-,276.8,245,80,155197253,155196399
5711at7147,Complete,NC_051849.1,220002249,220003741,-,492.1,376,82,220003741,220002249
5723at7147,Complete,NC_051852.1,49467234,49476661,+,433.4,274,83,49467234,49476661
5768at7147,Complete,NC_051849.1,60808126,60809356,-,378.4,333,84,60809356,60808126
5780at7147,Complete,NC_051852.1,107312863,107320196,-,729.6,451,85,107320196,107312863
5845at7147,Complete,NC_051851.1,15215786,15218233,-,750.3,536,86,15218233,15215786
5858at7147,Complete,NC_051851.1,30579083,30579761,-,270.0,203,87,30579761,30579083
5978at7147,Complete,NC_051855.1,11116277,11120463,-,840.2,527,88,11120463,11116277
6130at7147,Complete,NC_051850.1,41817265,41828764,-,257.0,168,89,41828764,41817265
6240at7147,Complete,NC_051854.1,76103051,76156873,+,803.0,427,90,76103051,76156873
6256at7147,Complete,NC_051850.1,186953004,186955300,+,1075.1,681,91,186953004,186955300
6718at7147,Complete,NC_051849.1,218960024,218974488,-,843.5,537,92,218974488,218960024
6736at7147,Complete,NC_051850.1,63223178,63234776,-,955.9,459,93,63234776,63223178
6974at7147,Complete,NC_051851.1,68460934,68469709,-,1047.0,530,94,68469709,68460934
7054at7147,Complete,NC_051854.1,56713516,56714571,-,437.5,273,95,56714571,56713516
7326at7147,Complete,NC_051850.1,112231570,112258632,+,1351.3,910,96,112231570,112258632
7353at7147,Complete,NC_051855.1,887665,893547,+,1001.7,707,97,887665,893547
7355at7147,Complete,NC_051851.1,94140747,94142227,+,910.9,474,98,94140747,94142227
7470at7147,Complete,NC_051850.1,26543176,26543850,-,320.5,148,99,26543850,26543176
7527at7147,Complete,NC_051851.1,14794549,14796009,-,733.6,333,100,14796009,14794549
7563at7147,Complete,NC_051853.1,55275756,55317203,-,2287.5,1103,101,55317203,55275756
7677at7147,Complete,NC_051851.1,67983447,68001801,-,612.9,359,102,68001801,67983447
7764at7147,Complete,NC_051850.1,462027,472016,-,782.4,461,103,472016,462027
7798at7147,Complete,NC_051849.1,58265307,58269758,-,477.5,230,104,58269758,58265307
7971at7147,Complete,NC_051855.1,13616677,13618831,-,974.6,469,105,13618831,13616677
8005at7147,Complete,NC_051852.1,42901037,42913752,-,764.9,426,106,42913752,42901037
8016at7147,Complete,NC_051849.1,211157000,211163137,-,1491.6,847,107,211163137,211157000
8037at7147,Complete,NC_051851.1,15353110,15397910,+,2306.2,993,108,15353110,15397910
8079at7147,Complete,NC_051852.1,55840673,56010217,+,2180.9,1070,109,55840673,56010217
8161at7147,Complete,NC_051853.1,41958180,41974172,+,1064.9,702,110,41958180,41974172
8348at7147,Complete,NC_051849.1,193474078,193505759,-,718.5,393,112,193505759,193474078
8364at7147,Complete,NC_051854.1,85079854,85087865,+,378.4,229,113,85079854,85087865
8365at7147,Complete,NC_051854.1,34272185,34283376,+,331.0,246,114,34272185,34283376
8456at7147,Complete,NC_051851.1,47787200,47795759,+,502.6,339,115,47787200,47795759
8734at7147,Complete,NC_051853.1,114491299,114531279,+,1394.6,878,116,114491299,114531279
8741at7147,Complete,NC_051851.1,153470072,153480936,-,594.7,399,117,153480936,153470072
8776at7147,Complete,NC_051849.1,210015082,210016165,+,332.9,261,118,210015082,210016165
8873at7147,Complete,NC_051853.1,78599512,78609079,-,898.2,837,119,78609079,78599512
8933at7147,Complete,NC_051852.1,150783768,150790902,+,1104.1,542,120,150783768,150790902
8944at7147,Complete,NC_051854.1,80019534,80025644,+,500.8,327,121,80019534,80025644
8977at7147,Complete,NC_051849.1,134774570,134848456,+,1088.1,518,122,134774570,134848456
9125at7147,Complete,NC_051852.1,96674582,96742354,+,1957.2,1038,123,96674582,96742354
9356at7147,Complete,NC_051853.1,59892580,59893954,+,490.9,313,125,59892580,59893954
9394at7147,Complete,NC_051852.1,29828893,29835351,-,642.6,326,126,29835351,29828893
9406at7147,Complete,NC_051855.1,15173993,15188077,+,369.0,180,127,15173993,15188077
9425at7147,Complete,NC_051854.1,90845761,90846921,-,446.1,359,128,90846921,90845761
9487at7147,Complete,NC_051851.1,166797088,166798676,-,540.4,380,129,166798676,166797088
9678at7147,Complete,NC_051849.1,188853282,188855118,-,996.8,475,130,188855118,188853282
9921at7147,Complete,NC_051850.1,162879930,162950184,+,343.3,262,131,162879930,162950184
9938at7147,Complete,NC_051849.1,59821599,59889497,-,4636.8,3012,132,59889497,59821599
10055at7147,Complete,NC_051854.1,79982446,79989236,-,1018.1,502,133,79989236,79982446
10097at7147,Complete,NC_051851.1,112410862,112411951,+,580.6,295,134,112410862,112411951
10198at7147,Complete,NC_051851.1,120204479,120209388,-,867.1,395,135,120209388,120204479
10247at7147,Complete,NC_051849.1,25557,46825,-,2290.9,1231,136,46825,25557
10407at7147,Complete,NC_051851.1,66601872,66602788,-,512.8,271,137,66602788,66601872
10408at7147,Complete,NC_051853.1,65565749,65586375,+,274.2,161,138,65565749,65586375
10443at7147,Complete,NC_051850.1,34797398,34806635,-,1741.0,1103,139,34806635,34797398
10456at7147,Complete,NC_051851.1,99636550,99637326,-,373.2,254,140,99637326,99636550
10522at7147,Complete,NC_051851.1,73812422,73839582,+,1195.1,677,141,73812422,73839582
10532at7147,Complete,NC_051849.1,2608164,2621402,-,756.8,393,142,2621402,2608164
10563at7147,Complete,NC_051854.1,56854816,56878931,-,3325.9,1588,143,56878931,56854816
10589at7147,Complete,NC_051849.1,71435420,71436547,-,470.8,353,144,71436547,71435420
10612at7147,Complete,NC_051853.1,54099259,54111812,-,1775.0,991,145,54111812,54099259
10620at7147,Complete,NC_051853.1,16557870,16563197,-,252.5,162,146,16563197,16557870
10654at7147,Complete,NC_051849.1,151816806,151817502,+,305.0,215,147,151816806,151817502
10709at7147,Complete,NC_051849.1,33187284,33194503,+,594.3,396,148,33187284,33194503
10730at7147,Complete,NC_051855.1,12472945,12474351,+,606.2,358,149,12472945,12474351
10821at7147,Complete,NC_051850.1,122066217,122079889,+,562.2,340,150,122066217,122079889
10911at7147,Complete,NC_051853.1,11709344,11725607,-,1157.7,910,151,11725607,11709344
11023at7147,Complete,NC_051852.1,112518570,112525396,-,714.3,484,152,112525396,112518570
11146at7147,Complete,NC_051854.1,46925710,46936946,+,967.6,533,153,46925710,46936946
11268at7147,Complete,NC_051849.1,106613946,106628083,-,554.7,297,154,106628083,106613946
11343at7147,Complete,NC_051852.1,104385502,104391087,-,430.1,274,156,104391087,104385502
11421at7147,Complete,NC_051852.1,153121483,153134669,-,700.8,420,157,153134669,153121483
11457at7147,Complete,NC_051853.1,56996224,57027364,-,328.4,214,158,57027364,56996224
11484at7147,Complete,NC_051853.1,57992055,58007903,-,833.5,723,159,58007903,57992055
11516at7147,Complete,NC_051852.1,104187902,104205951,-,614.8,396,160,104205951,104187902
11534at7147,Complete,NC_051852.1,108844709,108856922,-,709.8,356,161,108856922,108844709
11753at7147,Complete,NC_051849.1,158847796,158889410,+,595.5,312,162,158847796,158889410
11778at7147,Complete,NC_051849.1,206091654,206092588,+,395.6,256,163,206091654,206092588
11874at7147,Complete,NC_051853.1,41864409,41870234,-,507.7,297,164,41870234,41864409
11888at7147,Complete,NC_051849.1,40779989,40784302,+,215.2,111,165,40779989,40784302
11999at7147,Complete,NC_051849.1,74356328,74357339,+,533.8,257,166,74356328,74357339
12100at7147,Complete,NC_051853.1,46048686,46061343,-,1550.8,739,167,46061343,46048686
12116at7147,Complete,NC_051852.1,53269338,53291656,+,773.8,375,168,53269338,53291656
12219at7147,Complete,NC_051853.1,31280087,31286671,-,773.9,419,169,31286671,31280087
12226at7147,Complete,NC_051849.1,211008494,211009525,+,531.0,346,170,211008494,211009525
12283at7147,Complete,NC_051850.1,103177500,103190306,-,292.4,217,171,103190306,103177500
12285at7147,Complete,NC_051854.1,99581231,99591929,-,237.1,131,172,99591929,99581231
12361at7147,Complete,NC_051853.1,44009727,44021131,-,911.9,557,173,44021131,44009727
12492at7147,Complete,NC_051852.1,170622927,170624667,+,891.9,509,174,170622927,170624667
12531at7147,Complete,NC_051851.1,78774180,78805747,+,1146.8,1011,175,78774180,78805747
12652at7147,Complete,NC_051852.1,104206292,104207833,+,736.6,482,176,104206292,104207833
12759at7147,Complete,NC_051849.1,134996486,134996877,+,136.6,106,177,134996486,134996877
12796at7147,Complete,NC_051853.1,58340502,58351205,+,649.7,430,178,58340502,58351205
12973at7147,Complete,NC_051853.1,83939979,83947324,-,460.6,261,179,83947324,83939979
13052at7147,Complete,NC_051850.1,68029475,68140607,-,746.3,369,180,68140607,68029475
13055at7147,Complete,NC_051853.1,4725649,4726809,-,399.0,343,181,4726809,4725649
13056at7147,Complete,NC_051852.1,164356432,164358089,+,340.9,231,182,164356432,164358089
13145at7147,Complete,NC_051851.1,13164599,13173859,-,218.7,143,183,13173859,13164599
13207at7147,Complete,NC_051854.1,18555130,18562092,-,138.9,86,184,18562092,18555130
13389at7147,Complete,NC_051851.1,167557466,167566288,+,713.9,439,185,167557466,167566288
13497at7147,Complete,NC_051849.1,30468932,30470095,-,269.3,308,186,30470095,30468932
13588at7147,Complete,NC_051851.1,137649823,137685673,-,1215.8,706,187,137685673,137649823
13731at7147,Complete,NC_051854.1,26323783,26324724,-,443.5,287,188,26324724,26323783
13808at7147,Complete,NC_051851.1,11453725,11462275,+,664.4,400,189,11453725,11462275
13883at7147,Complete,NC_051852.1,169777484,169779145,+,849.8,403,190,169777484,169779145
13919at7147,Complete,NC_051849.1,48403240,48419828,-,1162.0,577,191,48419828,48403240
14042at7147,Complete,NC_051853.1,32239610,32250370,-,755.4,536,192,32250370,32239610
14054at7147,Complete,NC_051850.1,10596436,10608853,+,921.0,534,193,10596436,10608853
14119at7147,Complete,NC_051853.1,16532915,16547470,+,883.4,549,194,16532915,16547470
14247at7147,Complete,NC_051851.1,134171024,134185889,+,777.5,427,195,134171024,134185889
14368at7147,Complete,NC_051850.1,50582954,50584587,+,553.4,376,196,50582954,50584587
14376at7147,Complete,NC_051851.1,36045004,36075029,-,3216.0,2704,197,36075029,36045004
14513at7147,Complete,NC_051851.1,66666646,66667167,-,231.3,148,198,66667167,66666646
14525at7147,Complete,NC_051849.1,208337770,208344487,+,1078.6,530,199,208337770,208344487
14621at7147,Complete,NC_051851.1,141768084,141770283,-,850.6,550,200,141770283,141768084
14633at7147,Complete,NC_051851.1,123174293,123175268,-,125.4,84,201,123175268,123174293
14661at7147,Complete,NC_051852.1,51791816,51803462,-,1009.5,556,202,51803462,51791816
14706at7147,Complete,NC_051850.1,148242932,148259841,+,874.1,536,203,148242932,148259841
14792at7147,Complete,NC_051849.1,10162823,10171169,-,966.7,515,204,10171169,10162823
14821at7147,Complete,NC_051855.1,13827289,13828292,+,274.5,185,205,13827289,13828292
15074at7147,Complete,NC_051849.1,208264629,208289569,-,2372.9,1784,206,208289569,208264629
15336at7147,Complete,NC_051850.1,143964607,143970139,+,181.3,140,207,143964607,143970139
15356at7147,Complete,NC_051854.1,5300873,5301616,+,380.3,246,208,5300873,5301616
15390at7147,Complete,NC_051852.1,135972783,136040772,+,828.7,398,209,135972783,136040772
15468at7147,Complete,NC_051852.1,145359823,145375544,-,409.3,261,211,145375544,145359823
15549at7147,Complete,NC_051849.1,163238307,163255648,-,858.4,808,212,163255648,163238307
15597at7147,Complete,NC_051850.1,5400306,5410111,-,386.9,304,213,5410111,5400306
15662at7147,Complete,NC_051851.1,146862240,146868399,+,298.0,193,214,146862240,146868399
15771at7147,Complete,NC_051849.1,95614763,95753045,+,375.9,234,215,95614763,95753045
15909at7147,Complete,NC_051854.1,59323692,59331005,+,824.2,498,216,59323692,59331005
15956at7147,Complete,NC_051850.1,1455461,1464474,+,642.7,423,217,1455461,1464474
15977at7147,Complete,NC_051852.1,5687993,5771015,-,473.0,343,218,5771015,5687993
16128at7147,Complete,NC_051853.1,29211723,29237864,+,1351.0,621,219,29211723,29237864
16264at7147,Complete,NC_051849.1,185334747,185349592,+,773.9,434,220,185334747,185349592
16285at7147,Complete,NC_051854.1,85491483,85492496,-,433.6,281,221,85492496,85491483
16470at7147,Complete,NC_051849.1,45613850,45620862,+,423.6,295,222,45613850,45620862
16687at7147,Complete,NC_051854.1,59364688,59367213,-,684.7,502,223,59367213,59364688
16747at7147,Complete,NC_051854.1,32258632,32259438,-,389.9,217,224,32259438,32258632
16822at7147,Complete,NC_051849.1,186400120,186412153,+,416.5,276,225,186400120,186412153
16873at7147,Complete,NC_051852.1,87483175,87490486,-,337.3,191,227,87490486,87483175
16927at7147,Complete,NC_051854.1,38666516,38667129,-,194.3,116,228,38667129,38666516
16945at7147,Complete,NC_051852.1,5984164,5987084,-,1556.7,930,229,5987084,5984164
17073at7147,Complete,NC_051851.1,124442407,124445480,-,922.6,491,230,124445480,124442407
17231at7147,Complete,NC_051852.1,110127735,110129508,+,970.3,541,231,110127735,110129508
17265at7147,Complete,NC_051853.1,5605945,5606791,+,348.5,195,232,5605945,5606791
17402at7147,Complete,NC_051850.1,143946040,143964108,-,555.1,351,233,143964108,143946040
