busco_id,chr1,chr2,start1,end1,start2,end2,strand1,strand2,is_flipped
100019at7147,OU343114.1,OY284468.1,69470725,69472231,29756143,29757640,+,+,False
100497at7147,OU343115.1,CATVHY010000043.1,46108202,46111561,4333,7352,-,+,True
1004at7147,OU343118.1,OY284472.1,19285060,19286104,5499380,5500409,+,-,True
10055at7147,OU343116.1,OY284470.1,35108996,35112365,12862397,12865015,-,-,False
10097at7147,OU343117.1,OY284471.1,10120775,10123097,31970460,31971490,-,+,True
101192at7147,OU343115.1,OY284469.1,66322420,66332579,36979751,36997970,+,+,False
101651at7147,OU343115.1,OY284469.1,59499526,59511996,31649567,31668420,+,-,True
10198at7147,OU343117.1,OY284471.1,22145877,22147314,27977534,27979028,-,+,True
102356at7147,OU343116.1,OY284470.1,53326871,53328333,21688694,21689809,+,+,False
10247at7147,OU343115.1,OY284469.1,69466249,69471825,2074373,2078749,+,-,True
103170at7147,OU343116.1,OY284470.1,35775781,35776813,29987538,29988594,+,-,True
103572at7147,OU343116.1,OY284470.1,14371168,14374244,39189281,39194735,-,+,True
10407at7147,OU343114.1,OY284468.1,61960183,61961921,53052333,53053332,+,-,True
10408at7147,OU343114.1,OY284468.1,89980601,89985299,5738239,5753444,+,-,True
10443at7147,OU343118.1,OY284472.1,45242834,45248123,19381359,19386447,+,+,False
1049at7147,OU343119.1,OY284473.1,3902073,3937629,1379127,1380769,-,-,False
105213at7147,OU343118.1,OY284472.1,1307783,1311110,6652973,6655363,-,+,True
10522at7147,OU343114.1,OY284468.1,56409670,56418803,11464760,11475537,+,-,True
105345at7147,OU343114.1,OY284468.1,62501871,62510337,52783422,52788745,-,+,True
1055at7147,OU343117.1,OY284471.1,36350121,36352580,40508267,40509697,-,+,True
10563at7147,OU343116.1,OY284470.1,12812523,12833022,7491500,7503966,+,+,False
105665at7147,OU343118.1,OY284472.1,45360196,45360669,19449387,19450193,+,+,False
10589at7147,OU343115.1,OY284469.1,53669618,53670985,24749091,24750428,-,+,True
10612at7147,OU343114.1,OY284468.1,94808417,94812201,45931447,45935462,-,+,True
10620at7147,OU343114.1,OY284468.1,28495358,28496618,46430913,46431551,+,+,False
10654at7147,OU343117.1,OY284471.1,1701457,1702236,1890632,1891399,-,+,True
107173at7147,OU343115.1,OY284469.1,6598580,6653547,8416927,8503536,-,-,False
1072at7147,OU343114.1,OY284468.1,78827618,78829295,58770827,58772389,-,-,False
10730at7147,OU343117.1,OY284473.1,4403060,4405815,1301386,1304277,-,+,True
1078at7147,OU343118.1,OY284472.1,17002032,17003017,34240296,34241319,+,-,True
107932at7147,OU343114.1,OY284468.1,16634599,16641922,31119920,31124568,-,-,False
10911at7147,OU343114.1,OY284468.1,30423847,30428608,35418955,35422502,-,+,True
110200at7147,OU343116.1,OY284470.1,38193671,38194931,10640951,10642207,-,+,True
11023at7147,OU343117.1,OY284471.1,48213133,48214942,26214540,26216335,-,-,False
111315at7147,OU343118.1,OY284472.1,35350744,35372650,34739005,34744036,+,+,False
11146at7147,OU343116.1,OY284470.1,2388782,2390822,1047082,1049044,+,+,False
111861at7147,OU343116.1,OY284469.1,33777976,33779349,59300701,59302143,-,-,False
112161at7147,OU343115.1,OY284469.1,58215263,58217405,4782684,4786157,+,+,False
1123at7147,OU343115.1,OY284469.1,37364280,37367285,7481372,7483102,-,+,True
11268at7147,OU343115.1,OY284469.1,65893121,65894075,38020234,38021004,-,-,False
11292at7147,OU343115.1,OY284469.1,2543615,2547099,19526392,19528950,+,-,True
11343at7147,OU343118.1,OY284472.1,16988723,16990386,3474762,3476438,+,+,False
113530at7147,OU343116.1,OY284470.1,3659629,3662202,6832212,6833988,-,-,False
113611at7147,OU343115.1,OY284469.1,55108827,55110581,17373743,17375160,+,-,True
114519at7147,OU343115.1,OY284469.1,64501695,64503557,40664064,40666052,+,+,False
11457at7147,OU343114.1,OY284468.1,13055640,13057043,41950231,41951135,-,-,False
114603at7147,OU343116.1,OY284470.1,5712690,5718181,6069706,6073029,+,+,False
114765at7147,OU343116.1,OY284470.1,32270847,32273580,12100777,12103568,-,+,True
11484at7147,OU343118.1,OY284472.1,15909009,15911423,20713411,20716329,+,-,True
11534at7147,OU343118.1,OY284472.1,41898702,41899916,30146882,30148262,-,+,True
116302at7147,OU343114.1,OY284468.1,15694743,15700539,31796874,31801440,-,+,True
117164at7147,OU343114.1,OY284468.1,73774074,73775539,28638579,28639979,-,+,True
117470at7147,OU343117.1,OY284471.1,33932228,33934434,46492086,46494189,+,-,True
11753at7147,OU343117.1,OY284471.1,7766221,7773185,5945685,5960413,+,-,True
118254at7147,OU343114.1,OY284468.1,69163570,69165621,2441758,2457535,-,+,True
11888at7147,OU343115.1,OY284469.1,20626414,20626862,28705016,28705578,-,-,False
119237at7147,OU343114.1,OY284468.1,94482204,94484989,45382421,45384272,-,-,False
119241at7147,OU343118.1,OY284472.1,22327079,22329237,7562487,7564641,+,-,True
119398at7147,OU343116.1,OY284470.1,46206740,46250100,3321839,3366173,-,+,True
119940at7147,OU343119.1,OY284473.1,19941850,19943579,25258654,25298210,-,-,False
11999at7147,OU343115.1,OY284469.1,26568138,26569179,35871902,35873002,-,+,True
1200at7147,OU343114.1,OY284468.1,76716324,76717101,57525411,57526161,+,-,True
12100at7147,OU343114.1,OY284468.1,32711892,32716547,8689351,8701915,+,+,False
12116at7147,OU343116.1,OY284470.1,35826328,35957532,29823043,29945264,+,-,True
121971at7147,OU343118.1,OY284472.1,89241,94321,3838476,3842047,+,-,True
12219at7147,OU343114.1,OY284468.1,25590936,25592400,39312304,39313830,+,+,False
12226at7147,OU343117.1,OY284471.1,29982006,29982953,36172661,36173752,-,+,True
122812at7147,OU343118.1,OY284472.1,8972853,8975728,28942618,28945943,+,-,True
12283at7147,OU343115.1,OY284469.1,55830211,55831267,32347544,32348459,+,-,True
12285at7147,OU343116.1,OY284470.1,3132385,3132984,46871112,46871706,+,+,False
122970at7147,OU343118.1,OY284472.1,35636044,35637793,22414053,22416053,+,+,False
122994at7147,OU343114.1,OY284468.1,86118604,86128474,2383873,2400203,-,+,True
123956at7147,OU343118.1,OY284472.1,1477818,1479832,39709145,39710516,-,+,True
124132at7147,OU343117.1,OY284471.1,29462437,29463452,36265483,36267695,+,+,False
1247at7147,OU343114.1,OY284468.1,12116634,12119011,64360614,64363070,-,+,True
12492at7147,OU343118.1,OY284472.1,19579036,19581313,40579988,40582060,+,+,False
125314at7147,OU343117.1,OY284471.1,33691684,33694018,46548820,46551312,-,+,True
125860at7147,OU343115.1,OY284469.1,22056805,22165762,56900520,56951199,-,-,False
126196at7147,OU343115.1,OY284469.1,60137940,60141975,33918358,33922256,-,+,True
126448at7147,OU343114.1,OY284468.1,74709667,74710643,61225961,61227077,-,-,False
12652at7147,OU343118.1,OY284472.1,3407547,3409399,30297345,30299000,+,+,False
126571at7147,OU343116.1,OY284470.1,46680249,46683131,14676266,14678928,-,+,True
127327at7147,OU343116.1,OY284470.1,37948872,37957107,31170641,31177628,+,+,False
12759at7147,OU343117.1,OY284471.1,1634622,1635442,7633484,7633936,+,-,True
