busco_id,status,sequence,gene_start,gene_end,strand,score,length,line_number,original_start,original_end
8at7147,Complete,NC_052525.2,19636416,19637437,+,406.8,218,1,19636416,19637437
225at7147,Complete,NC_052523.2,11000992,11002369,-,990.5,418,2,11002369,11000992
284at7147,Complete,NC_052522.2,8058450,8059362,-,378.2,181,3,8059362,8058450
421at7147,Complete,NC_052520.2,8450936,8451457,-,291.6,147,4,8451457,8450936
445at7147,Complete,NC_052522.2,184451,185595,-,703.2,337,5,185595,184451
452at7147,Complete,NC_052521.2,20545393,20551041,-,1189.2,588,6,20551041,20545393
511at7147,Complete,NC_052522.2,16326443,16327357,+,434.7,220,7,16326443,16327357
525at7147,Complete,NC_052520.2,2855816,2856129,+,165.5,81,8,2855816,2856129
540at7147,Complete,NC_052521.2,4377469,4378136,-,275.8,197,9,4378136,4377469
836at7147,Complete,NC_052520.2,4435165,4436898,+,1253.9,540,10,4435165,4436898
841at7147,Complete,NC_052522.2,5658346,5659322,+,566.4,283,11,5658346,5659322
908at7147,Complete,NC_052523.2,11005282,11005902,+,363.2,168,12,11005282,11005902
962at7147,Complete,NC_052521.2,9334420,9335733,-,503.5,328,13,9335733,9334420
994at7147,Complete,NC_052520.2,5498595,5499317,+,406.6,193,14,5498595,5499317
1004at7147,Complete,NC_052522.2,1295536,1296515,-,526.5,304,15,1296515,1295536
1049at7147,Complete,NC_052523.2,14334624,14336329,-,906.7,412,16,14336329,14334624
1055at7147,Complete,NC_052520.2,4913613,4915600,+,613.9,336,17,4913613,4915600
1072at7147,Complete,NC_052523.2,20157394,20158851,+,679.3,357,18,20157394,20158851
1078at7147,Complete,NC_052520.2,13664541,13665365,+,614.4,273,19,13664541,13665365
1123at7147,Complete,NC_052525.2,15205624,15206817,-,660.7,378,20,15206817,15205624
1142at7147,Complete,NC_052522.2,9186707,9187371,-,302.8,167,21,9187371,9186707
1200at7147,Complete,NC_052525.2,8657465,8658264,+,416.3,200,22,8657465,8658264
1247at7147,Complete,NC_052525.2,7708300,7709790,-,972.0,480,23,7709790,7708300
1323at7147,Complete,NC_052522.2,8154903,8155439,-,367.9,159,24,8155439,8154903
1690at7147,Complete,NC_052520.2,4315375,4321962,+,1154.7,629,25,4315375,4321962
1854at7147,Complete,NC_052525.2,7297871,7300028,-,758.4,427,26,7300028,7297871
