busco_id,status,sequence,gene_start,gene_end,strand,score,length,line_number,original_start,original_end
8at7147,Complete,HG993128.1,28995950,29000324,-,432.9,239,1,29000324,28995950
225at7147,Complete,HG993124.1,105170412,105171752,-,990.3,419,2,105171752,105170412
284at7147,Complete,HG993126.1,37553945,37558336,+,405.7,182,3,37553945,37558336
421at7147,Complete,HG993124.1,104623675,104624169,-,305.5,167,4,104624169,104623675
445at7147,Complete,HG993126.1,8064360,8070370,+,735.0,337,5,8064360,8070370
452at7147,Complete,HG993127.1,357434,376408,+,1285.0,619,6,357434,376408
511at7147,Complete,HG993126.1,29989977,29994154,+,443.9,220,7,29989977,29994154
525at7147,Complete,HG993127.1,65485948,65486307,+,161.6,81,8,65485948,65486307
540at7147,Complete,HG993127.1,3181294,3182097,+,314.1,203,9,3181294,3182097
836at7147,Complete,HG993125.1,79995530,79997394,+,1251.0,541,10,79995530,79997394
841at7147,Complete,HG993126.1,26761359,26762447,-,570.8,283,11,26762447,26761359
908at7147,Complete,HG993124.1,123449554,123450248,+,333.8,172,12,123449554,123450248
962at7147,Complete,HG993125.1,5709487,5710944,+,486.1,324,13,5709487,5710944
994at7147,Complete,HG993126.1,65516428,65518221,+,413.8,193,14,65516428,65518221
1004at7147,Complete,HG993126.1,49994593,49995579,-,524.7,304,15,49995579,49994593
1055at7147,Complete,HG993125.1,61280244,61282637,-,635.2,337,17,61282637,61280244
1072at7147,Complete,HG993124.1,55714149,55715589,-,657.0,358,18,55715589,55714149
1078at7147,Complete,HG993126.1,17610822,17611646,-,607.2,273,19,17611646,17610822
1123at7147,Complete,HG993124.1,121843877,121847944,-,634.1,374,20,121847944,121843877
1142at7147,Fragmented,HG993126.1,47947363,47947886,-,297.0,131,21,47947886,47947363
1200at7147,Complete,HG993128.1,4613951,4614723,+,418.3,200,22,4613951,4614723
1247at7147,Complete,HG993124.1,30453012,30454550,+,992.2,480,23,30453012,30454550
1323at7147,Complete,HG993128.1,14121758,14126563,+,368.7,159,24,14121758,14126563
1690at7147,Complete,HG993125.1,85919783,85953044,+,1000.0,567,25,85919783,85953044
1854at7147,Complete,HG993128.1,29916072,29917624,+,720.8,415,26,29916072,29917624
1907at7147,Complete,HG993128.1,4139068,4139829,-,362.0,201,27,4139829,4139068
1914at7147,Complete,HG993127.1,31753773,31755017,-,568.1,398,28,31755017,31753773
1984at7147,Complete,HG993127.1,17770318,17770846,-,307.9,154,29,17770846,17770318
2041at7147,Complete,HG993125.1,34136019,34136660,-,382.0,210,30,34136660,34136019
2067at7147,Complete,HG993126.1,25347225,25367271,+,713.6,377,31,25347225,25367271
2304at7147,Complete,HG993125.1,8533345,8533781,+,189.5,112,32,8533345,8533781
2306at7147,Complete,HG993126.1,39153379,39154704,-,866.0,399,33,39154704,39153379
2332at7147,Complete,HG993127.1,8123875,8124956,+,548.3,269,34,8123875,8124956
2339at7147,Complete,HG993126.1,61365444,61366706,-,520.4,289,35,61366706,61365444
2552at7147,Complete,HG993128.1,25452275,25473869,+,1269.6,652,36,25452275,25473869
2609at7147,Complete,HG993127.1,60966498,60967351,-,347.5,172,37,60967351,60966498
2610at7147,Complete,HG993125.1,38610807,38612207,+,399.6,217,38,38610807,38612207
2635at7147,Complete,HG993127.1,35477576,35479144,+,572.7,318,39,35477576,35479144
2697at7147,Complete,HG993127.1,29655841,29657689,+,1152.9,561,40,29655841,29657689
2709at7147,Complete,HG993125.1,63367267,63459908,-,1086.9,510,41,63459908,63367267
2727at7147,Complete,HG993127.1,8243461,8252350,-,910.8,493,42,8252350,8243461
2881at7147,Complete,HG993127.1,31113910,31114463,+,237.9,163,43,31113910,31114463
2904at7147,Complete,HG993126.1,48918995,48921502,-,1071.4,549,44,48921502,48918995
2908at7147,Complete,HG993126.1,45174166,45179624,-,2208.2,1110,45,45179624,45174166
2969at7147,Complete,HG993128.1,4411593,4422897,+,1384.5,660,46,4411593,4422897
3120at7147,Complete,HG993126.1,72269713,72269949,-,142.5,74,47,72269949,72269713
3219at7147,Fragmented,HG993128.1,37828095,37833626,-,783.2,364,48,37833626,37828095
3282at7147,Complete,HG993126.1,50060865,50061363,-,277.5,147,49,50061363,50060865
3308at7147,Complete,HG993128.1,43928848,43929771,-,352.3,272,50,43929771,43928848
3333at7147,Complete,HG993125.1,4669280,4671159,+,795.8,496,51,4669280,4671159
3410at7147,Complete,HG993126.1,75484792,75487123,-,502.6,300,52,75487123,75484792
3413at7147,Complete,HG993124.1,9859183,9860223,-,667.9,325,53,9860223,9859183
3474at7147,Complete,HG993124.1,132581840,132582698,-,387.5,240,54,132582698,132581840
3577at7147,Complete,HG993126.1,6530501,6530988,+,226.8,130,55,6530501,6530988
3788at7147,Complete,HG993127.1,10603318,10604074,-,342.3,187,56,10604074,10603318
3828at7147,Complete,HG993125.1,365241,366845,+,370.6,188,57,365241,366845
3874at7147,Complete,HG993125.1,38728747,38729349,+,301.4,147,58,38728747,38729349
4069at7147,Complete,HG993126.1,22263712,22266878,-,405.8,269,59,22266878,22263712
4073at7147,Complete,HG993128.1,4428464,4430141,+,1029.7,511,60,4428464,4430141
4095at7147,Complete,HG993126.1,39071242,39073313,-,749.4,371,61,39073313,39071242
4164at7147,Complete,HG993124.1,121614850,121617929,+,224.1,116,62,121614850,121617929
4211at7147,Complete,HG993126.1,65451080,65451427,+,157.2,109,63,65451080,65451427
4218at7147,Complete,HG993124.1,110211533,110216874,+,899.1,434,64,110211533,110216874
4274at7147,Complete,HG993125.1,59562826,59565232,-,1062.8,597,65,59565232,59562826
4353at7147,Complete,HG993125.1,31417750,31430332,+,1070.9,505,66,31417750,31430332
4421at7147,Complete,HG993126.1,69201346,69203836,+,914.6,520,67,69201346,69203836
4470at7147,Complete,HG993127.1,40659496,40674168,-,1110.3,562,68,40674168,40659496
4511at7147,Complete,HG993124.1,121464036,121469010,+,461.8,223,69,121464036,121469010
4573at7147,Complete,HG993124.1,21775718,21905254,-,1099.8,537,70,21905254,21775718
4606at7147,Complete,HG993124.1,53196143,53232208,-,1337.0,679,71,53232208,53196143
4667at7147,Complete,HG993127.1,62393530,62395812,-,1077.9,513,72,62395812,62393530
4829at7147,Complete,HG993127.1,39903722,39914175,+,5384.1,2272,73,39903722,39914175
4932at7147,Complete,HG993128.1,28927279,28929430,+,764.4,413,74,28927279,28929430
5213at7147,Complete,HG993124.1,18529859,18531160,-,371.6,187,75,18531160,18529859
5225at7147,Complete,HG993125.1,61963652,61963999,-,241.0,115,76,61963999,61963652
5241at7147,Complete,HG993124.1,122453524,122458488,-,536.2,328,77,122458488,122453524
5263at7147,Complete,HG993124.1,35460340,35468655,-,980.3,474,78,35468655,35460340
5433at7147,Complete,HG993124.1,132533466,132534275,+,358.9,205,79,132533466,132534275
