busco_id,status,sequence,gene_start,gene_end,strand,score,length,line_number,original_start,original_end
8at7147,Complete,OU343114.1,30410013,30410856,-,335.0,205,1,30410856,30410013
225at7147,Complete,OU343116.1,12642414,12643867,+,984.8,419,2,12642414,12643867
284at7147,Complete,OU343115.1,60094173,60095649,+,383.9,182,3,60094173,60095649
421at7147,Complete,OU343116.1,5191195,5191698,-,279.7,142,4,5191698,5191195
445at7147,Complete,OU343118.1,19237833,19239962,-,706.8,337,5,19239962,19237833
452at7147,Complete,OU343115.1,49421275,49426942,+,1228.4,619,6,49421275,49426942
511at7147,Complete,OU343116.1,29026400,29027406,-,430.0,220,7,29027406,29026400
525at7147,Complete,OU343117.1,25149731,25150068,+,157.9,81,8,25149731,25150068
540at7147,Complete,OU343115.1,14564810,14566742,-,300.0,190,9,14566742,14564810
836at7147,Complete,OU343117.1,19227488,19229395,+,1215.0,542,10,19227488,19229395
841at7147,Complete,OU343115.1,8425320,8426465,+,545.9,283,11,8425320,8426465
908at7147,Complete,OU343116.1,4477547,4478293,+,364.6,169,12,4477547,4478293
962at7147,Complete,OU343117.1,18486523,18490591,-,362.0,283,13,18490591,18486523
994at7147,Complete,OU343118.1,5207197,5208006,-,378.6,190,14,5208006,5207197
1004at7147,Complete,OU343118.1,19285060,19286104,+,422.2,303,15,19285060,19286104
1049at7147,Complete,OU343119.1,3902073,3937629,-,848.5,376,16,3937629,3902073
1055at7147,Complete,OU343117.1,36350121,36352580,-,605.1,336,17,36352580,36350121
1072at7147,Complete,OU343114.1,78827618,78829295,-,601.4,343,18,78829295,78827618
1078at7147,Complete,OU343118.1,17002032,17003017,+,577.3,273,19,17002032,17003017
1123at7147,Complete,OU343115.1,37364280,37367285,-,664.9,378,20,37367285,37364280
1200at7147,Complete,OU343114.1,76716324,76717101,+,401.5,200,22,76716324,76717101
1247at7147,Complete,OU343114.1,12116634,12119011,-,916.2,479,23,12119011,12116634
1323at7147,Complete,OU343116.1,53989303,53994223,-,338.9,157,24,53994223,53989303
1690at7147,Complete,OU343117.1,38460744,38469405,+,1038.0,630,25,38460744,38469405
1854at7147,Complete,OU343114.1,77204978,77206567,-,716.6,417,26,77206567,77204978
1907at7147,Complete,OU343114.1,78232457,78233235,+,324.0,195,27,78232457,78233235
1914at7147,Complete,OU343115.1,56941524,56942804,-,450.7,397,28,56942804,56941524
1984at7147,Complete,OU343115.1,59352149,59352667,-,281.2,152,29,59352667,59352149
2041at7147,Complete,OU343118.1,43811795,43812439,+,270.7,201,30,43811795,43812439
2067at7147,Complete,OU343115.1,23272684,23303138,+,658.8,374,31,23272684,23303138
2304at7147,Complete,OU343118.1,31242885,31243295,+,149.0,111,32,31242885,31243295
2306at7147,Complete,OU343115.1,36675860,36677215,-,820.8,396,33,36677215,36675860
2332at7147,Complete,OU343115.1,68848738,68850023,-,531.1,270,34,68850023,68848738
2339at7147,Complete,OU343118.1,19010204,19012074,-,483.9,270,35,19012074,19010204
2552at7147,Complete,OU343114.1,75454174,75478227,-,1285.1,651,36,75478227,75454174
2609at7147,Complete,OU343117.1,41987383,41989530,+,338.7,172,37,41987383,41989530
2610at7147,Complete,OU343117.1,16336964,16339651,-,357.9,201,38,16339651,16336964
2635at7147,Complete,OU343115.1,12036603,12038521,+,461.3,311,39,12036603,12038521
2697at7147,Complete,OU343115.1,65947233,65949690,-,1157.9,574,40,65949690,65947233
2709at7147,Complete,OU343117.1,7623081,7656463,-,1057.0,514,41,7656463,7623081
2881at7147,Complete,OU343115.1,16495117,16495723,+,168.2,167,43,16495117,16495723
2904at7147,Complete,OU343115.1,51069962,51087870,-,1014.8,540,44,51087870,51069962
2908at7147,Complete,OU343115.1,39216171,39222076,-,2085.1,1092,45,39222076,39216171
2969at7147,Complete,OU343114.1,25671109,25685109,+,1339.0,660,46,25671109,25685109
3120at7147,Complete,OU343117.1,46405732,46406055,-,115.3,70,47,46406055,46405732
3219at7147,Complete,OU343116.1,6033949,6036980,+,993.9,477,48,6033949,6036980
3282at7147,Complete,OU343116.1,35747906,35748690,+,236.0,146,49,35747906,35748690
3308at7147,Complete,OU343114.1,31975652,31978881,-,331.5,266,50,31978881,31975652
3333at7147,Complete,OU343118.1,25493986,25495827,-,603.8,474,51,25495827,25493986
3410at7147,Complete,OU343118.1,44944104,44947433,-,558.2,300,52,44947433,44944104
3413at7147,Complete,OU343114.1,68531165,68532292,+,646.9,325,53,68531165,68532292
