busco_id,status,sequence,gene_start,gene_end,strand,score,length,line_number,original_start,original_end
8at7147,Complete,OZ010738.1,172267960,172268708,-,423.4,221,1,172268708,172267960
225at7147,Complete,OZ010737.1,140539766,140541019,-,976.3,417,2,140541019,140539766
421at7147,Complete,OZ010737.1,164077662,164078191,+,286.7,152,4,164077662,164078191
445at7147,Complete,OZ010737.1,90291598,90303602,-,681.4,337,5,90303602,90291598
452at7147,Complete,OZ010736.1,160783659,160807202,-,1223.4,620,6,160807202,160783659
511at7147,Complete,OZ010737.1,145281039,145283055,+,440.3,220,7,145281039,145283055
525at7147,Complete,OZ010736.1,199708422,199708728,-,156.8,81,8,199708728,199708422
540at7147,Complete,OZ010738.1,103499392,103500088,+,283.2,201,9,103499392,103500088
836at7147,Complete,OZ010736.1,184325228,184326936,+,1232.9,548,10,184325228,184326936
841at7147,Complete,OZ010738.1,36062539,36063518,+,544.6,283,11,36062539,36063518
908at7147,Complete,OZ010737.1,138316539,138317100,+,342.6,169,12,138316539,138317100
962at7147,Complete,OZ010737.1,45854140,45860135,-,313.6,288,13,45860135,45854140
994at7147,Complete,OZ010738.1,164660266,164661029,+,399.7,190,14,164660266,164661029
1004at7147,Complete,OZ010737.1,46645072,46646059,-,419.1,302,15,46646059,46645072
1049at7147,Complete,OZ010736.1,24688416,24689815,+,835.3,387,16,24688416,24689815
1055at7147,Complete,OZ010736.1,100290251,100296423,+,631.9,336,17,100290251,100296423
1072at7147,Complete,OZ010736.1,23064310,23066378,-,595.1,356,18,23066378,23064310
1078at7147,Complete,OZ010737.1,18386118,18387063,+,558.5,268,19,18386118,18387063
1123at7147,Complete,OZ010738.1,49972124,49973444,+,642.4,379,20,49972124,49973444
1200at7147,Complete,OZ010738.1,138387215,138388002,-,414.5,200,22,138388002,138387215
1247at7147,Complete,OZ010736.1,103940798,103942329,-,943.5,479,23,103942329,103940798
1323at7147,Complete,OZ010738.1,123659639,123685139,-,356.1,159,24,123685139,123659639
1690at7147,Complete,OZ010736.1,116965112,116994422,-,945.7,626,25,116994422,116965112
1854at7147,Complete,OZ010736.1,44523841,44525224,+,723.9,414,26,44523841,44525224
1907at7147,Complete,OZ010736.1,20302552,20303257,+,363.8,192,27,20302552,20303257
1914at7147,Complete,OZ010738.1,35534412,35535704,+,389.1,398,28,35534412,35535704
1984at7147,Complete,OZ010737.1,30843854,30844384,+,275.3,152,29,30843854,30844384
2041at7147,Complete,OZ010737.1,35516750,35517373,-,311.9,207,30,35517373,35516750
2067at7147,Complete,OZ010738.1,23641347,23671512,-,679.6,377,31,23671512,23641347
2304at7147,Complete,OZ010737.1,9354116,9354526,-,153.9,106,32,9354526,9354116
2306at7147,Complete,OZ010738.1,78324655,78325848,+,828.6,396,33,78324655,78325848
2332at7147,Complete,OZ010736.1,167545590,167550959,-,530.1,269,34,167550959,167545590
2339at7147,Complete,OZ010737.1,98813924,98814974,+,489.8,289,35,98813924,98814974
2552at7147,Complete,OZ010738.1,183359021,183374108,-,1287.6,652,36,183374108,183359021
2609at7147,Complete,OZ010736.1,144234000,144242275,-,345.3,172,37,144242275,144234000
2610at7147,Complete,OZ010736.1,199083051,199084593,+,401.0,218,38,199083051,199084593
2635at7147,Complete,OZ010737.1,83013083,83014160,-,464.7,312,39,83014160,83013083
2697at7147,Complete,OZ010738.1,53013626,53015230,-,1102.1,538,40,53015230,53013626
2709at7147,Complete,OZ010736.1,96118660,96185105,+,1050.5,513,41,96118660,96185105
2727at7147,Complete,OZ010736.1,115967085,115972238,-,871.1,489,42,115972238,115967085
2904at7147,Complete,OZ010738.1,20747090,20765227,-,1017.4,543,44,20765227,20747090
2908at7147,Complete,OZ010738.1,10869208,10873221,-,2095.2,1109,45,10873221,10869208
2969at7147,Complete,OZ010738.1,183944935,183947938,-,1341.8,658,46,183947938,183944935
3120at7147,Complete,OZ010736.1,151396299,151396612,+,106.1,73,47,151396299,151396612
3219at7147,Complete,OZ010737.1,181896007,181898510,+,1004.1,477,48,181896007,181898510
3282at7147,Complete,OZ010737.1,139748888,139749403,+,242.1,147,49,139748888,139749403
3308at7147,Complete,OZ010737.1,29917520,29931996,+,276.1,272,50,29917520,29931996
3333at7147,Complete,OZ010737.1,66276914,66278567,-,700.7,495,51,66278567,66276914
3410at7147,Complete,OZ010737.1,131110131,131110868,-,476.9,245,52,131110868,131110131
3413at7147,Complete,OZ010738.1,186141535,186142585,-,645.2,325,53,186142585,186141535
3474at7147,Complete,OZ010737.1,135110807,135111662,+,357.4,239,54,135110807,135111662
3577at7147,Complete,OZ010738.1,53704307,53704758,+,219.5,119,55,53704307,53704758
3788at7147,Complete,OZ010738.1,102985642,102986295,-,335.4,186,56,102986295,102985642
3828at7147,Complete,OZ010737.1,9797975,9798834,-,378.1,187,57,9798834,9797975
3874at7147,Complete,OZ010737.1,9375868,9376787,+,310.7,148,58,9375868,9376787
4069at7147,Complete,OZ010738.1,33116632,33117617,+,344.1,260,59,33116632,33117617
4073at7147,Complete,OZ010738.1,187298309,187299945,+,977.4,512,60,187298309,187299945
4095at7147,Complete,OZ010738.1,28873551,28875054,-,712.2,370,61,28875054,28873551
4164at7147,Complete,OZ010736.1,34048814,34053916,-,216.1,117,62,34053916,34048814
4211at7147,Complete,OZ010737.1,17141332,17141655,+,127.4,108,63,17141332,17141655
4218at7147,Complete,OZ010737.1,169868612,169888157,+,764.0,434,64,169868612,169888157
4274at7147,Complete,OZ010736.1,97039505,97043918,+,896.5,573,65,97039505,97043918
4353at7147,Complete,OZ010737.1,7364448,7374161,+,1025.2,506,66,7364448,7374161
4421at7147,Complete,OZ010737.1,29195533,29197302,+,843.8,520,67,29195533,29197302
4470at7147,Complete,OZ010737.1,146658298,146663739,-,1025.2,562,68,146663739,146658298
4511at7147,Complete,OZ010737.1,56612115,56612831,-,426.3,218,69,56612831,56612115
4573at7147,Complete,OZ010736.1,65050486,65211962,-,1033.8,536,70,65211962,65050486
4606at7147,Complete,OZ010736.1,56126560,56129076,+,1348.7,681,71,56126560,56129076
4667at7147,Complete,OZ010736.1,146672464,146720413,+,1021.1,513,72,146672464,146720413
4829at7147,Complete,OZ010737.1,26243274,26250957,-,5568.8,2320,73,26250957,26243274
4932at7147,Complete,OZ010738.1,151231993,151233413,+,718.4,415,74,151231993,151233413
5213at7147,Complete,OZ010736.1,19807722,19808525,+,362.6,186,75,19807722,19808525
5225at7147,Duplicated,OZ010736.1,117316042,117316401,-,238.3,115,76,117316401,117316042
5225at7147,Duplicated,OZ010736.1,117305617,117305976,-,235.9,114,77,117305976,117305617
5263at7147,Complete,OZ010738.1,133210101,133212193,-,929.5,456,79,133212193,133210101
5433at7147,Complete,OZ010736.1,16874104,16875614,-,363.3,220,80,16875614,16874104
5674at7147,Complete,OZ010737.1,198109834,198110586,+,475.7,244,82,198109834,198110586
5711at7147,Complete,OZ010737.1,62531819,62534079,+,331.0,352,83,62531819,62534079
5723at7147,Complete,OZ010737.1,128763979,128764846,+,382.2,269,84,128763979,128764846
5768at7147,Complete,OZ010738.1,79767847,79769571,+,284.4,332,85,79767847,79769571
5780at7147,Complete,OZ010737.1,11135236,11136574,-,651.6,413,86,11136574,11135236
5845at7147,Complete,OZ010736.1,84540839,84542849,+,685.3,521,87,84540839,84542849
5858at7147,Complete,OZ010736.1,196469042,196469717,-,234.2,199,88,196469717,196469042
5978at7147,Complete,OZ010739.1,35010256,35016929,+,854.5,527,89,35010256,35016929
6130at7147,Complete,OZ010737.1,23312295,23313013,-,228.9,169,90,23313013,23312295
6240at7147,Complete,OZ010737.1,190785885,190790309,-,662.4,424,91,190790309,190785885
6256at7147,Complete,OZ010738.1,76856279,76858381,-,919.2,662,92,76858381,76856279
6718at7147,Complete,OZ010738.1,6726573,6734229,-,779.6,537,93,6734229,6726573
6736at7147,Complete,OZ010739.1,26029259,26030686,-,947.2,456,94,26030686,26029259
6974at7147,Complete,OZ010736.1,25909378,25911900,+,991.2,527,95,25909378,25911900
7054at7147,Complete,OZ010737.1,138317412,138318339,-,457.5,267,96,138318339,138317412
7326at7147,Complete,OZ010738.1,40829890,40833364,-,1251.6,910,97,40833364,40829890
7353at7147,Complete,OZ010738.1,54063585,54066012,-,878.7,683,98,54066012,54063585
7355at7147,Complete,OZ010737.1,179029642,179031124,-,894.3,466,99,179031124,179029642
7470at7147,Complete,OZ010737.1,185999212,185999863,+,316.0,150,100,185999212,185999863
7527at7147,Complete,OZ010736.1,17159408,17160566,-,744.8,333,101,17160566,17159408
7563at7147,Complete,OZ010736.1,46912970,46928375,-,2176.3,1103,102,46928375,46912970
7677at7147,Complete,OZ010736.1,3288275,3290743,-,623.6,302,103,3290743,3288275
7764at7147,Complete,OZ010737.1,99091354,99103933,+,741.9,460,104,99091354,99103933
7798at7147,Complete,OZ010738.1,92839113,92853581,-,452.9,236,105,92853581,92839113
7971at7147,Complete,OZ010738.1,42490935,42492534,-,1001.0,491,106,42492534,42490935
8005at7147,Complete,OZ010737.1,145935891,145937238,-,796.3,420,107,145937238,145935891
8016at7147,Complete,OZ010736.1,194570478,194573431,-,1458.1,879,108,194573431,194570478
8037at7147,Complete,OZ010736.1,2684227,2697031,-,2274.1,994,109,2697031,2684227
8079at7147,Complete,OZ010737.1,136979586,137022885,+,2131.7,1069,110,136979586,137022885
8161at7147,Complete,OZ010736.1,65483227,65485373,-,985.7,675,111,65485373,65483227
8234at7147,Complete,OZ010736.1,89294162,89296111,-,735.8,527,112,89296111,89294162
8348at7147,Complete,OZ010736.1,97952689,97980039,+,661.4,386,113,97952689,97980039
8364at7147,Complete,OZ010737.1,196510114,196510869,+,355.3,221,114,196510114,196510869
8365at7147,Complete,OZ010738.1,51468975,51469664,+,217.1,240,115,51468975,51469664
8456at7147,Complete,OZ010736.1,68059990,68061150,-,456.1,327,116,68061150,68059990
