busco_id,status,sequence,gene_start,gene_end,strand,score,length,line_number,original_start,original_end
8at7147,Complete,OZ002742.1,4122967,4124035,+,408.2,219,1,4122967,4124035
225at7147,Complete,OZ002741.1,20013989,20015254,+,991.2,419,2,20013989,20015254
284at7147,Complete,OZ002743.1,22277949,22285154,+,404.7,182,3,22277949,22285154
421at7147,Complete,OZ002741.1,44449329,44449802,+,289.0,153,4,44449329,44449802
445at7147,Complete,OZ002741.1,8980318,8988430,+,730.4,338,5,8980318,8988430
452at7147,Complete,OZ002740.1,357680382,357769769,+,1286.5,620,6,357680382,357769769
511at7147,Complete,OZ002743.1,31276447,31282387,+,437.5,220,7,31276447,31282387
525at7147,Complete,OZ002744.1,3272326,3272640,-,164.1,81,8,3272640,3272326
540at7147,Complete,OZ002740.1,215278070,215278750,-,322.2,202,9,215278750,215278070
836at7147,Complete,OZ002745.1,5767182,5769054,+,1246.9,541,10,5767182,5769054
841at7147,Complete,OZ002743.1,27146947,27148047,+,543.3,283,11,27146947,27148047
908at7147,Complete,OZ002741.1,43999498,44000227,+,373.5,172,12,43999498,44000227
962at7147,Complete,OZ002740.1,43235844,43243169,-,485.1,325,13,43243169,43235844
994at7147,Complete,OZ002743.1,113933391,113934123,-,385.0,194,14,113934123,113933391
1004at7147,Complete,OZ002740.1,18369220,18370310,+,501.1,302,15,18369220,18370310
1049at7147,Complete,OZ002741.1,13302114,13313323,-,721.8,406,16,13313323,13302114
1055at7147,Complete,OZ002743.1,65079237,65080271,-,606.4,334,17,65080271,65079237
1072at7147,Complete,OZ002741.1,216973244,216986426,-,656.3,357,18,216986426,216973244
1078at7147,Complete,OZ002740.1,41081189,41082140,-,575.2,273,19,41082140,41081189
1123at7147,Complete,OZ002743.1,6865113,6868364,+,638.3,378,20,6865113,6868364
1142at7147,Complete,OZ002743.1,61481033,61490064,-,294.7,135,21,61490064,61481033
1200at7147,Complete,OZ002742.1,16544410,16548467,+,412.0,200,22,16544410,16548467
1247at7147,Complete,OZ002741.1,186895138,186896681,+,973.6,480,23,186895138,186896681
1323at7147,Complete,OZ002742.1,186293095,186302190,+,359.2,159,24,186293095,186302190
1690at7147,Complete,OZ002745.1,34350505,34374742,-,1166.6,629,25,34374742,34350505
1854at7147,Complete,OZ002742.1,16490857,16492524,+,766.7,429,26,16490857,16492524
1907at7147,Complete,OZ002742.1,16788159,16789665,-,363.9,206,27,16789665,16788159
1914at7147,Complete,OZ002740.1,219556926,219558197,-,478.3,398,28,219558197,219556926
1984at7147,Complete,OZ002740.1,375367146,375370223,-,287.5,151,29,375370223,375367146
2041at7147,Duplicated,OZ002740.1,124766965,124768703,-,324.6,208,30,124768703,124766965
2041at7147,Duplicated,OZ002740.1,124709253,124709879,-,342.9,207,31,124709879,124709253
2067at7147,Complete,OZ002743.1,80089782,80127943,+,680.4,377,32,80089782,80127943
2304at7147,Complete,OZ002740.1,10928466,10928902,+,179.2,109,33,10928466,10928902
2306at7147,Complete,OZ002743.1,27584409,27585893,+,854.3,394,34,27584409,27585893
2332at7147,Complete,OZ002740.1,336582714,336583842,+,537.9,269,35,336582714,336583842
2339at7147,Complete,OZ002743.1,155148102,155149348,+,519.5,289,36,155148102,155149348
2552at7147,Complete,OZ002742.1,57710036,57778004,-,1265.8,652,37,57778004,57710036
2609at7147,Complete,OZ002744.1,1300698,1308598,-,337.0,172,38,1308598,1300698
2610at7147,Complete,OZ002745.1,19466648,19468883,+,375.3,205,39,19466648,19468883
2635at7147,Complete,OZ002740.1,372687269,372689045,-,467.8,297,40,372689045,372687269
2697at7147,Complete,OZ002740.1,334942941,334949648,-,1154.5,562,41,334949648,334942941
2709at7147,Complete,OZ002745.1,10170917,10208787,+,1088.4,515,42,10170917,10208787
