busco_id,status,sequence,gene_start,gene_end,strand,score,length,line_number,original_start,original_end
8at7147,Complete,OX371225.1,79853800,79854550,-,420.0,218,1,79854550,79853800
225at7147,Complete,OX371223.1,314959053,314960306,+,976.8,417,2,314959053,314960306
421at7147,Complete,OX371223.1,324601161,324601688,+,269.3,152,4,324601161,324601688
445at7147,Complete,OX371223.1,72644438,72670121,+,701.3,337,5,72644438,72670121
452at7147,Complete,OX371224.1,69614302,69647905,-,1248.0,620,6,69647905,69614302
511at7147,Complete,OX371223.1,262574216,262576484,+,438.1,220,7,262574216,262576484
525at7147,Complete,OX371224.1,32506686,32507008,+,156.7,81,8,32506686,32507008
540at7147,Complete,OX371225.1,197052161,197052890,-,280.8,202,9,197052890,197052161
836at7147,Complete,OX371224.1,2000752,2002460,-,1231.3,548,10,2002460,2000752
841at7147,Complete,OX371225.1,166426877,166427855,+,546.9,283,11,166426877,166427855
908at7147,Complete,OX371223.1,273465014,273465574,+,340.8,169,12,273465014,273465574
962at7147,Complete,OX371223.1,11957400,11970133,-,324.4,289,13,11970133,11957400
994at7147,Complete,OX371225.1,33054960,33055751,+,395.0,190,14,33054960,33055751
1004at7147,Complete,OX371223.1,56436270,56437258,-,417.8,302,15,56437258,56436270
1049at7147,Complete,OX371224.1,308210275,308211685,-,851.3,387,16,308211685,308210275
1055at7147,Complete,OX371224.1,136279410,136292863,+,629.3,336,17,136279410,136292863
1072at7147,Complete,OX371224.1,313011306,313017505,+,587.1,356,18,313011306,313017505
1078at7147,Complete,OX371223.1,38422336,38423281,-,554.6,268,19,38423281,38422336
1123at7147,Complete,OX371225.1,232856652,232857957,+,652.4,379,20,232856652,232857957
1142at7147,Complete,OX371225.1,115576256,115576732,+,293.4,134,21,115576256,115576732
1200at7147,Complete,OX371225.1,19955200,19955988,-,396.3,200,22,19955988,19955200
1247at7147,Complete,OX371224.1,142188507,142190035,-,949.2,479,23,142190035,142188507
1323at7147,Complete,OX371225.1,201111546,201164181,-,334.3,159,24,201164181,201111546
1690at7147,Complete,OX371224.1,146924307,146967247,-,974.5,629,25,146967247,146924307
1854at7147,Complete,OX371224.1,226920936,226922490,+,735.7,427,26,226920936,226922490
1907at7147,Complete,OX371224.1,235947730,235948498,-,358.6,197,27,235948498,235947730
1914at7147,Complete,OX371225.1,151025907,151027205,+,403.9,398,28,151025907,151027205
