busco_id,status,sequence,gene_start,gene_end,strand,score,length,line_number,original_start,original_end
59881at7147,Complete,OU343114.1,38097273,38104025,-,834.0,392,1,38104025,38097273
59885at7147,Complete,OU343115.1,54212134,54212916,+,290.8,173,2,54212134,54212916
59897at7147,Complete,OU343114.1,77152650,77154929,+,1219.1,579,3,77152650,77154929
59908at7147,Complete,OU343114.1,4377123,4379017,+,791.5,416,4,4377123,4379017
59917at7147,Complete,OU343117.1,32850229,32851085,+,397.7,243,5,32850229,32851085
59927at7147,Complete,OU343114.1,48201466,48202866,-,738.5,451,6,48202866,48201466
59932at7147,Complete,OU343117.1,24381103,24382100,+,497.2,302,7,24381103,24382100
59934at7147,Complete,OU343117.1,27248496,27252484,+,1979.0,898,8,27248496,27252484
59954at7147,Complete,OU343118.1,20699018,20707680,+,2342.4,1301,9,20699018,20707680
59971at7147,Complete,OU343115.1,59923214,59924149,+,360.8,172,10,59923214,59924149
59991at7147,Complete,OU343114.1,78832893,78852082,-,1205.9,559,11,78852082,78832893
60030at7147,Complete,OU343118.1,20673832,20674908,+,658.2,328,12,20673832,20674908
60031at7147,Complete,OU343115.1,66412977,66413606,-,433.3,208,13,66413606,66412977
60048at7147,Complete,OU343118.1,24465978,24467953,-,581.1,342,14,24467953,24465978
60066at7147,Complete,OU343118.1,19834497,19842066,-,672.9,379,15,19842066,19834497
60086at7147,Complete,OU343115.1,4757777,4779959,-,801.7,366,16,4779959,4757777
60114at7147,Complete,OU343116.1,18671619,18703321,-,1022.6,494,18,18703321,18671619
60133at7147,Complete,OU343118.1,33555848,33606600,-,10323.6,4814,19,33606600,33555848
60134at7147,Complete,OU343116.1,48415135,48418461,-,1049.5,560,20,48418461,48415135
60157at7147,Complete,OU343114.1,89891450,89891884,+,227.4,121,21,89891450,89891884
60158at7147,Complete,OU343115.1,39618072,39641661,+,1349.6,772,22,39618072,39641661
60162at7147,Complete,OU343117.1,33259591,33304600,+,2716.7,1227,23,33259591,33304600
60174at7147,Complete,OU343114.1,73890323,73952393,-,760.9,360,24,73952393,73890323
60183at7147,Complete,OU343116.1,38907977,38911518,-,841.8,542,25,38911518,38907977
60185at7147,Complete,OU343119.1,355932,360487,+,2054.8,1064,26,355932,360487
60242at7147,Complete,OU343115.1,58952152,58953958,+,1030.4,499,27,58952152,58953958
60271at7147,Complete,OU343114.1,39733367,39734706,-,588.2,290,28,39734706,39733367
60284at7147,Complete,OU343117.1,7062500,7068608,-,1866.3,904,29,7068608,7062500
60303at7147,Complete,OU343114.1,31376296,31384725,+,1539.9,858,30,31376296,31384725
60315at7147,Complete,OU343114.1,43939185,43942666,+,2119.4,959,31,43939185,43942666
60331at7147,Complete,OU343118.1,7694352,7705240,+,2135.7,1176,32,7694352,7705240
60338at7147,Complete,OU343114.1,95572999,95575635,-,902.9,569,33,95575635,95572999
60353at7147,Complete,OU343116.1,9864367,9866033,-,826.5,469,34,9866033,9864367
60372at7147,Complete,OU343117.1,46408256,46410331,-,491.3,290,35,46410331,46408256
60375at7147,Complete,OU343115.1,34748844,34782663,-,752.8,384,36,34782663,34748844
60394at7147,Complete,OU343115.1,59920579,59922302,+,617.5,364,38,59920579,59922302
60410at7147,Complete,OU343118.1,21142586,21144523,-,1023.0,530,39,21144523,21142586
60412at7147,Complete,OU343115.1,43182960,43187348,-,997.2,619,40,43187348,43182960
60416at7147,Complete,OU343115.1,19214503,19226629,+,1089.6,548,41,19214503,19226629
60422at7147,Complete,OU343117.1,37612651,37616257,-,1318.4,674,42,37616257,37612651
60501at7147,Complete,OU343114.1,33706677,33707385,-,331.9,191,45,33707385,33706677
60504at7147,Complete,OU343114.1,62059453,62062098,-,1512.8,729,46,62062098,62059453
60514at7147,Complete,OU343114.1,94777618,94784279,+,644.2,376,47,94777618,94784279
60545at7147,Complete,OU343114.1,89877542,89878857,+,552.9,307,48,89877542,89878857
60554at7147,Complete,OU343115.1,30571223,30574320,+,618.0,318,49,30571223,30574320
60563at7147,Complete,OU343118.1,16566696,16568928,-,683.7,510,50,16568928,16566696
60581at7147,Complete,OU343116.1,8016620,8017997,-,551.1,364,51,8017997,8016620
60603at7147,Complete,OU343115.1,19144050,19152739,+,1538.4,949,52,19144050,19152739
60611at7147,Complete,OU343118.1,21058004,21102470,-,546.9,273,53,21102470,21058004
60612at7147,Complete,OU343114.1,90638552,90642419,-,863.5,457,54,90642419,90638552
60628at7147,Complete,OU343118.1,31243432,31244290,-,322.8,183,55,31244290,31243432
60643at7147,Complete,OU343117.1,25986847,25987902,-,390.3,248,56,25987902,25986847
60650at7147,Complete,OU343115.1,2369572,2372723,+,435.8,316,57,2369572,2372723
60656at7147,Complete,OU343114.1,56736697,56759609,+,586.7,319,58,56736697,56759609
60701at7147,Complete,OU343117.1,3812924,3816708,-,1614.0,800,60,3816708,3812924
60708at7147,Complete,OU343114.1,38450968,38452103,-,514.2,287,61,38452103,38450968
60719at7147,Complete,OU343114.1,17864067,17864891,+,273.5,163,62,17864067,17864891
60720at7147,Complete,OU343116.1,13402954,13406683,+,935.8,510,63,13402954,13406683
60739at7147,Complete,OU343114.1,79868493,79877164,-,2041.5,1083,64,79877164,79868493
60759at7147,Complete,OU343115.1,49037939,49038790,+,336.6,205,65,49037939,49038790
60771at7147,Complete,OU343115.1,59421817,59423710,+,432.3,227,66,59421817,59423710
60815at7147,Complete,OU343115.1,58398255,58400557,-,355.0,363,67,58400557,58398255
60817at7147,Complete,OU343114.1,24493170,24494609,-,488.1,256,68,24494609,24493170
60819at7147,Complete,OU343115.1,52204578,52208641,-,228.7,161,69,52208641,52204578
60826at7147,Complete,OU343114.1,81550289,81641084,+,658.8,385,70,81550289,81641084
60829at7147,Complete,OU343115.1,5692503,5696512,+,1037.6,503,71,5692503,5696512
60849at7147,Complete,OU343116.1,47042664,47043907,+,329.5,155,72,47042664,47043907
60885at7147,Complete,OU343114.1,56202365,56204406,-,783.0,484,73,56204406,56202365
60911at7147,Complete,OU343117.1,46083783,46087418,+,776.1,448,74,46083783,46087418
60913at7147,Complete,OU343117.1,2642591,2644252,+,309.1,179,75,2642591,2644252
60915at7147,Complete,OU343117.1,30513837,30515902,-,625.9,434,76,30515902,30513837
60935at7147,Complete,OU343118.1,33373994,33376484,+,709.7,548,77,33373994,33376484
60941at7147,Complete,OU343114.1,41125469,41128902,-,1545.8,753,78,41128902,41125469
60947at7147,Complete,OU343116.1,28493333,28494688,-,666.0,413,79,28494688,28493333
60973at7147,Complete,OU343114.1,80122533,80142187,+,3311.0,1935,80,80122533,80142187
60994at7147,Complete,OU343118.1,37653312,37658059,+,1531.0,729,81,37653312,37658059
61002at7147,Complete,OU343117.1,17704341,17705532,+,664.4,343,82,17704341,17705532
61024at7147,Complete,OU343114.1,37858425,37873927,-,1000.4,574,83,37873927,37858425
61053at7147,Complete,OU343114.1,86116253,86117882,+,586.6,304,84,86116253,86117882
61054at7147,Complete,OU343115.1,12228679,12230268,+,453.1,209,85,12228679,12230268
61095at7147,Complete,OU343117.1,23429761,23434462,-,158.0,112,87,23434462,23429761
61113at7147,Complete,OU343114.1,61929724,61930132,+,159.2,102,88,61929724,61930132
61116at7147,Complete,OU343116.1,53554317,53555008,+,279.6,199,89,53554317,53555008
61138at7147,Complete,OU343116.1,25017468,25026548,+,3346.8,1796,90,25017468,25026548
61143at7147,Complete,OU343118.1,7564608,7576680,+,1911.4,1081,91,7564608,7576680
61202at7147,Complete,OU343116.1,29029419,29032178,+,274.1,248,92,29029419,29032178
61222at7147,Complete,OU343117.1,45534320,45535165,-,416.1,236,93,45535165,45534320
61232at7147,Complete,OU343117.1,9882334,9886665,-,1059.4,585,94,9886665,9882334
61242at7147,Complete,OU343114.1,58198981,58233711,-,401.2,291,95,58233711,58198981
61249at7147,Complete,OU343118.1,43085011,43103025,-,1190.8,582,96,43103025,43085011
61255at7147,Complete,OU343114.1,90606472,90610331,+,937.7,624,97,90606472,90610331
61276at7147,Complete,OU343116.1,52756786,52759577,+,1045.9,499,98,52756786,52759577
61286at7147,Complete,OU343114.1,49100382,49109790,-,395.8,365,99,49109790,49100382
61306at7147,Complete,OU343114.1,11221792,11225675,+,1259.6,599,101,11221792,11225675
61331at7147,Complete,OU343115.1,55315064,55315612,-,383.2,183,102,55315612,55315064
61340at7147,Complete,OU343114.1,8444616,8447955,+,554.6,370,103,8444616,8447955
61374at7147,Complete,OU343116.1,8584183,8585844,-,871.4,467,104,8585844,8584183
61375at7147,Complete,OU343115.1,45973261,45992069,+,2033.8,1058,105,45973261,45992069
61379at7147,Complete,OU343115.1,60239094,60242939,-,797.6,504,106,60242939,60239094
61386at7147,Duplicated,OU343118.1,20692577,20695198,-,923.3,484,107,20695198,20692577
61386at7147,Duplicated,OU343119.1,16812548,16813930,+,929.6,460,108,16812548,16813930
61388at7147,Complete,OU343114.1,90796385,90797941,-,324.7,312,109,90797941,90796385
