busco_id,chromosome,bin_id,overlap_percentage
100497at7147,CATVHY010000043.1,CATVHY010000043.1_bin_0,100.0
59908at7147,OY284468.1,OY284468.1_bin_566,100.0
59927at7147,OY284468.1,OY284468.1_bin_472,100.0
59991at7147,OY284468.1,OY284468.1_bin_587,100.0
60157at7147,OY284468.1,OY284468.1_bin_16,100.0
60174at7147,OY284468.1,OY284468.1_bin_606,100.0
60271at7147,OY284468.1,OY284468.1_bin_504,100.0
60303at7147,OY284468.1,OY284468.1_bin_299,100.0
60315at7147,OY284468.1,OY284468.1_bin_355,100.0
60338at7147,OY284468.1,OY284468.1_bin_280,100.0
60381at7147,OY284468.1,OY284468.1_bin_224,100.0
60501at7147,OY284468.1,OY284468.1_bin_363,100.0
60504at7147,OY284468.1,OY284468.1_bin_530,100.0
60514at7147,OY284468.1,OY284468.1_bin_459,100.0
60545at7147,OY284468.1,OY284468.1_bin_31,100.0
60612at7147,OY284468.1,OY284468.1_bin_28,100.0
60656at7147,OY284468.1,OY284468.1_bin_2,100.0
60688at7147,OY284468.1,OY284468.1_bin_26,100.0
60708at7147,OY284468.1,OY284468.1_bin_512,100.0
60719at7147,OY284468.1,OY284468.1_bin_434,100.0
60739at7147,OY284468.1,OY284468.1_bin_232,100.0
60817at7147,OY284468.1,OY284468.1_bin_269,100.0
60826at7147,OY284468.1,OY284468.1_bin_221,15.095538440081205
60826at7147,OY284468.1,OY284468.1_bin_222,84.9044615599188
60885at7147,OY284468.1,OY284468.1_bin_27,100.0
60941at7147,OY284468.1,OY284468.1_bin_497,100.0
60973at7147,OY284468.1,OY284468.1_bin_231,100.0
61024at7147,OY284468.1,OY284468.1_bin_515,100.0
61053at7147,OY284468.1,OY284468.1_bin_24,100.0
61113at7147,OY284468.1,OY284468.1_bin_530,100.0
61255at7147,OY284468.1,OY284468.1_bin_28,100.0
61306at7147,OY284468.1,OY284468.1_bin_429,100.0
61340at7147,OY284468.1,OY284468.1_bin_692,100.0
61386at7147,OY284468.1,OY284468.1_bin_618,100.0
61388at7147,OY284468.1,OY284468.1_bin_5,100.0
61398at7147,OY284468.1,OY284468.1_bin_548,100.0
61497at7147,OY284468.1,OY284468.1_bin_523,100.0
61509at7147,OY284468.1,OY284468.1_bin_498,100.0
61559at7147,OY284468.1,OY284468.1_bin_548,100.0
61710at7147,OY284468.1,OY284468.1_bin_400,100.0
61713at7147,OY284468.1,OY284468.1_bin_544,100.0
61750at7147,OY284468.1,OY284468.1_bin_692,100.0
61769at7147,OY284468.1,OY284468.1_bin_368,100.0
61842at7147,OY284468.1,OY284468.1_bin_547,100.0
61879at7147,OY284468.1,OY284468.1_bin_530,100.0
61890at7147,OY284468.1,OY284468.1_bin_209,100.0
61928at7147,OY284468.1,OY284468.1_bin_1,100.0
61938at7147,OY284468.1,OY284468.1_bin_328,100.0
61941at7147,OY284468.1,OY284468.1_bin_694,100.0
61986at7147,OY284468.1,OY284468.1_bin_476,100.0
62045at7147,OY284468.1,OY284468.1_bin_637,100.0
62066at7147,OY284468.1,OY284468.1_bin_308,100.0
62144at7147,OY284468.1,OY284468.1_bin_643,100.0
62147at7147,OY284468.1,OY284468.1_bin_292,100.0
62503at7147,OY284468.1,OY284468.1_bin_277,100.0
62557at7147,OY284468.1,OY284468.1_bin_521,100.0
62560at7147,OY284468.1,OY284468.1_bin_569,100.0
62613at7147,OY284468.1,OY284468.1_bin_0,100.0
62912at7147,OY284468.1,OY284468.1_bin_293,100.0
62957at7147,OY284468.1,OY284468.1_bin_317,100.0
63014at7147,OY284468.1,OY284468.1_bin_683,100.0
63030at7147,OY284468.1,OY284468.1_bin_480,100.0
63036at7147,OY284468.1,OY284468.1_bin_271,97.7737785776178
63036at7147,OY284468.1,OY284468.1_bin_272,2.22622142238219
63096at7147,OY284468.1,OY284468.1_bin_57,100.0
63138at7147,OY284468.1,OY284468.1_bin_195,100.0
63142at7147,OY284468.1,OY284468.1_bin_13,100.0
63177at7147,OY284468.1,OY284468.1_bin_505,100.0
63447at7147,OY284468.1,OY284468.1_bin_289,100.0
63476at7147,OY284468.1,OY284468.1_bin_692,100.0
63492at7147,OY284468.1,OY284468.1_bin_179,100.0
63539at7147,OY284468.1,OY284468.1_bin_480,100.0
63582at7147,OY284468.1,OY284468.1_bin_24,100.0
63670at7147,OY284468.1,OY284468.1_bin_430,100.0
63673at7147,OY284468.1,OY284468.1_bin_1,100.0
63777at7147,OY284468.1,OY284468.1_bin_460,100.0
63804at7147,OY284468.1,OY284468.1_bin_298,100.0
63838at7147,OY284468.1,OY284468.1_bin_5,100.0
63904at7147,OY284468.1,OY284468.1_bin_620,100.0
64036at7147,OY284468.1,OY284468.1_bin_12,97.37142857142858
64036at7147,OY284468.1,OY284468.1_bin_13,2.6285714285714286
64050at7147,OY284468.1,OY284468.1_bin_224,100.0
64130at7147,OY284468.1,OY284468.1_bin_271,100.0
64158at7147,OY284468.1,OY284468.1_bin_548,100.0
64183at7147,OY284468.1,OY284468.1_bin_375,100.0
64195at7147,OY284468.1,OY284468.1_bin_401,100.0
64274at7147,OY284468.1,OY284468.1_bin_453,100.0
64333at7147,OY284468.1,OY284468.1_bin_365,100.0
64346at7147,OY284468.1,OY284468.1_bin_368,100.0
64351at7147,OY284468.1,OY284468.1_bin_642,100.0
64411at7147,OY284468.1,OY284468.1_bin_24,100.0
64413at7147,OY284468.1,OY284468.1_bin_420,100.0
64480at7147,OY284468.1,OY284468.1_bin_188,100.0
64519at7147,OY284468.1,OY284468.1_bin_364,100.0
