busco_id,bin_id,overlap_percentage
8at7147,NC_051853.1_bin_58,100.0
225at7147,NC_051854.1_bin_274,100.0
284at7147,NC_051850.1_bin_724,100.0
421at7147,NC_051854.1_bin_514,100.0
445at7147,NC_051855.1_bin_55,100.0
452at7147,NC_051849.1_bin_595,24.808993966796955
452at7147,NC_051849.1_bin_596,75.19100603320304
511at7147,NC_051850.1_bin_586,100.0
525at7147,NC_051851.1_bin_746,100.0
540at7147,NC_051849.1_bin_197,100.0
836at7147,NC_051849.1_bin_1002,100.0
908at7147,NC_051854.1_bin_282,100.0
962at7147,NC_051852.1_bin_672,100.0
994at7147,NC_051850.1_bin_239,100.0
1004at7147,NC_051852.1_bin_700,100.0
1049at7147,NC_051855.1_bin_10,100.0
1055at7147,NC_051849.1_bin_921,100.0
1072at7147,NC_051853.1_bin_472,100.0
1078at7147,NC_051852.1_bin_502,100.0
1123at7147,NC_051850.1_bin_876,100.0
1142at7147,NC_051850.1_bin_542,100.0
1200at7147,NC_051853.1_bin_296,100.0
1247at7147,NC_051851.1_bin_332,100.0
1323at7147,NC_051852.1_bin_214,86.95483422875002
1323at7147,NC_051852.1_bin_215,13.045165771249975
1690at7147,NC_051849.1_bin_1101,100.0
1854at7147,NC_051853.1_bin_316,100.0
1907at7147,NC_051853.1_bin_299,100.0
1914at7147,NC_051849.1_bin_149,100.0
1984at7147,NC_051854.1_bin_93,100.0
2041at7147,NC_051852.1_bin_546,100.0
2067at7147,NC_051850.1_bin_600,100.0
2304at7147,NC_051852.1_bin_835,100.0
2306at7147,NC_051850.1_bin_815,100.0
2332at7147,NC_051849.1_bin_1,100.0
2339at7147,NC_051850.1_bin_17,100.0
2552at7147,NC_051853.1_bin_152,100.0
2609at7147,NC_051851.1_bin_667,100.0
2610at7147,NC_051849.1_bin_932,100.0
2635at7147,NC_051849.1_bin_76,100.0
2697at7147,NC_051849.1_bin_533,100.0
2709at7147,NC_051849.1_bin_693,100.0
2727at7147,NC_051849.1_bin_1,79.64219094454808
2727at7147,NC_051849.1_bin_2,20.357809055451924
2881at7147,NC_051849.1_bin_514,100.0
2904at7147,NC_051850.1_bin_788,100.0
2908at7147,NC_051850.1_bin_609,100.0
2969at7147,NC_051853.1_bin_156,100.0
3219at7147,NC_051849.1_bin_230,100.0
3282at7147,NC_051850.1_bin_692,100.0
3308at7147,NC_051853.1_bin_310,100.0
3333at7147,NC_051852.1_bin_829,100.0
3410at7147,NC_051850.1_bin_9,22.401306447032095
3410at7147,NC_051850.1_bin_10,77.59869355296792
3413at7147,NC_051851.1_bin_170,100.0
3474at7147,NC_051854.1_bin_425,100.0
3577at7147,NC_051850.1_bin_797,100.0
3788at7147,NC_051849.1_bin_211,100.0
3828at7147,NC_051852.1_bin_622,100.0
3874at7147,NC_051852.1_bin_578,100.0
4069at7147,NC_051850.1_bin_833,100.0
4073at7147,NC_051853.1_bin_27,100.0
4095at7147,NC_051850.1_bin_815,100.0
4164at7147,NC_051849.1_bin_223,100.0
4211at7147,NC_051852.1_bin_404,100.0
4218at7147,NC_051854.1_bin_190,100.0
4274at7147,NC_051851.1_bin_875,100.0
4353at7147,NC_051852.1_bin_505,100.0
4421at7147,NC_051850.1_bin_267,100.0
4470at7147,NC_051849.1_bin_373,100.0
4511at7147,NC_051854.1_bin_9,100.0
4573at7147,NC_051853.1_bin_210,47.36555696281778
4573at7147,NC_051853.1_bin_211,48.157262355949584
4573at7147,NC_051853.1_bin_212,4.477180681232634
4606at7147,NC_051851.1_bin_87,25.30015402030099
4606at7147,NC_051851.1_bin_88,74.699845979699
4667at7147,NC_051851.1_bin_719,100.0
4829at7147,NC_051849.1_bin_513,100.0
4932at7147,NC_051853.1_bin_152,100.0
5213at7147,NC_051851.1_bin_515,100.0
5225at7147,NC_051849.1_bin_1106,100.0
5241at7147,NC_051854.1_bin_130,100.0
5263at7147,NC_051851.1_bin_394,100.0
5433at7147,NC_051854.1_bin_160,100.0
5488at7147,NC_051849.1_bin_775,100.0
5711at7147,NC_051849.1_bin_1100,100.0
5723at7147,NC_051852.1_bin_247,100.0
5768at7147,NC_051849.1_bin_304,100.0
5780at7147,NC_051852.1_bin_536,100.0
5845at7147,NC_051851.1_bin_76,100.0
5858at7147,NC_051851.1_bin_152,100.0
5978at7147,NC_051855.1_bin_55,100.0
6130at7147,NC_051850.1_bin_209,100.0
6240at7147,NC_051854.1_bin_380,100.0
6256at7147,NC_051850.1_bin_934,100.0
6718at7147,NC_051849.1_bin_1094,100.0
6736at7147,NC_051850.1_bin_316,100.0
6974at7147,NC_051851.1_bin_342,100.0
7054at7147,NC_051854.1_bin_283,100.0
7326at7147,NC_051850.1_bin_561,100.0
7353at7147,NC_051855.1_bin_4,100.0
7355at7147,NC_051851.1_bin_470,100.0
7470at7147,NC_051850.1_bin_132,100.0
7527at7147,NC_051851.1_bin_73,100.0
7563at7147,NC_051853.1_bin_276,100.0
7677at7147,NC_051851.1_bin_339,90.18742508445025
7677at7147,NC_051851.1_bin_340,9.812574915549742
7764at7147,NC_051850.1_bin_2,100.0
7798at7147,NC_051849.1_bin_291,100.0
7971at7147,NC_051855.1_bin_68,100.0
8005at7147,NC_051852.1_bin_214,100.0
8016at7147,NC_051849.1_bin_1055,100.0
8037at7147,NC_051851.1_bin_76,100.0
8079at7147,NC_051852.1_bin_279,93.97383570046713
8079at7147,NC_051852.1_bin_280,6.026164299532864
8161at7147,NC_051853.1_bin_209,100.0
8348at7147,NC_051849.1_bin_967,100.0
8364at7147,NC_051854.1_bin_425,100.0
8365at7147,NC_051854.1_bin_171,100.0
8456at7147,NC_051851.1_bin_238,100.0
8734at7147,NC_051853.1_bin_572,100.0
8741at7147,NC_051851.1_bin_767,100.0
8776at7147,NC_051849.1_bin_1050,100.0
8873at7147,NC_051853.1_bin_392,5.100867565590049
8873at7147,NC_051853.1_bin_393,94.89913243440995
8933at7147,NC_051852.1_bin_753,100.0
8944at7147,NC_051854.1_bin_400,100.0
8977at7147,NC_051849.1_bin_673,34.41788701513142
8977at7147,NC_051849.1_bin_674,65.58211298486857
9125at7147,NC_051852.1_bin_483,100.0
9356at7147,NC_051853.1_bin_299,100.0
9394at7147,NC_051852.1_bin_149,100.0
9406at7147,NC_051855.1_bin_75,100.0
9425at7147,NC_051854.1_bin_454,100.0
9487at7147,NC_051851.1_bin_833,100.0
9678at7147,NC_051849.1_bin_944,100.0
9921at7147,NC_051850.1_bin_814,100.0
9938at7147,NC_051849.1_bin_299,100.0
10055at7147,NC_051854.1_bin_399,100.0
10097at7147,NC_051851.1_bin_562,100.0
10198at7147,NC_051851.1_bin_601,100.0
10247at7147,NC_051849.1_bin_0,100.0
10407at7147,NC_051851.1_bin_333,100.0
10408at7147,NC_051853.1_bin_327,100.0
10443at7147,NC_051850.1_bin_173,28.169319042979325
10443at7147,NC_051850.1_bin_174,71.83068095702068
10456at7147,NC_051851.1_bin_498,100.0
10522at7147,NC_051851.1_bin_369,100.0
10532at7147,NC_051849.1_bin_13,100.0
10563at7147,NC_051854.1_bin_284,100.0
10589at7147,NC_051849.1_bin_357,100.0
10612at7147,NC_051853.1_bin_270,100.0
10620at7147,NC_051853.1_bin_82,100.0
10654at7147,NC_051849.1_bin_759,100.0
10709at7147,NC_051849.1_bin_165,100.0
10730at7147,NC_051855.1_bin_62,100.0
10821at7147,NC_051850.1_bin_610,100.0
10911at7147,NC_051853.1_bin_58,100.0
11023at7147,NC_051852.1_bin_562,100.0
11146at7147,NC_051854.1_bin_234,100.0
11268at7147,NC_051849.1_bin_533,100.0
11343at7147,NC_051852.1_bin_521,100.0
11421at7147,NC_051852.1_bin_765,100.0
11457at7147,NC_051853.1_bin_284,12.125883108542068
11457at7147,NC_051853.1_bin_285,87.87411689145793
11484at7147,NC_051853.1_bin_289,50.13250883392226
11484at7147,NC_051853.1_bin_290,49.86749116607774
11516at7147,NC_051852.1_bin_520,67.02864424621863
11516at7147,NC_051852.1_bin_521,32.971355753781374
11534at7147,NC_051852.1_bin_544,100.0
11753at7147,NC_051849.1_bin_794,100.0
11778at7147,NC_051849.1_bin_1030,100.0
11874at7147,NC_051853.1_bin_209,100.0
11888at7147,NC_051849.1_bin_203,100.0
11999at7147,NC_051849.1_bin_371,100.0
