busco_id,status,sequence,gene_start,gene_end,strand,score,length,line_number,original_start,original_end
8at7147,Complete,NC_079135.1,111547786,111552271,+,421.8,239,1,111547786,111552271
225at7147,Complete,NC_079136.1,92744081,92745418,-,991.6,419,2,92745418,92744081
284at7147,Complete,NC_079135.1,27903159,27908468,+,406.7,182,3,27903159,27908468
421at7147,Complete,NC_079136.1,94769414,94769908,-,298.9,167,4,94769908,94769414
445at7147,Complete,NC_079135.1,9619851,9622910,+,724.4,337,5,9619851,9622910
452at7147,Complete,NC_079134.1,176284240,176293814,-,1267.4,620,6,176293814,176284240
525at7147,Complete,NC_079136.1,123027754,123028097,+,167.0,81,8,123027754,123028097
540at7147,Complete,NC_079134.1,172617543,172618395,-,323.5,203,9,172618395,172617543
836at7147,Complete,NC_079134.1,15179244,15182946,+,1252.7,542,10,15179244,15182946
841at7147,Complete,NC_079135.1,49990871,49994843,-,583.0,283,11,49994843,49990871
908at7147,Complete,NC_079136.1,100607100,100607801,-,347.6,169,12,100607801,100607100
962at7147,Complete,NC_079137.1,48275586,48279479,+,518.4,325,13,48275586,48279479
994at7147,Complete,NC_079137.1,55799896,55805721,+,416.1,194,14,55799896,55805721
1004at7147,Complete,NC_079135.1,36788127,36789133,+,520.3,304,15,36788127,36789133
1049at7147,Complete,NC_079136.1,75345048,75356560,+,876.1,397,16,75345048,75356560
1055at7147,Complete,NC_079134.1,43222440,43228934,+,637.3,337,17,43222440,43228934
1072at7147,Complete,NC_079136.1,48664614,48672616,+,694.2,359,18,48664614,48672616
1078at7147,Complete,NC_079135.1,13295937,13296761,+,606.1,273,19,13295937,13296761
1123at7147,Complete,NC_079135.1,30305646,30306794,+,631.2,373,20,30305646,30306794
1142at7147,Complete,NC_079135.1,51868082,51868781,+,305.3,167,21,51868082,51868781
1200at7147,Complete,NC_079135.1,125949947,125955485,-,387.3,200,22,125955485,125949947
1247at7147,Complete,NC_079136.1,55224637,55226180,-,996.9,479,23,55226180,55224637
1323at7147,Complete,NC_079135.1,84080930,84096986,-,372.2,159,24,84096986,84080930
1690at7147,Complete,NC_079134.1,21644111,21689108,+,1178.1,630,25,21644111,21689108
1854at7147,Complete,NC_079135.1,109939947,109944698,-,771.2,429,26,109944698,109939947
1907at7147,Complete,NC_079135.1,126481635,126482407,+,369.3,201,27,126481635,126482407
1914at7147,Complete,NC_079134.1,126614886,126616130,+,573.2,398,28,126614886,126616130
1984at7147,Complete,NC_079134.1,119532500,119533034,+,293.2,152,29,119532500,119533034
2041at7147,Complete,NC_079134.1,98588396,98589034,-,374.1,210,30,98589034,98588396
2067at7147,Complete,NC_079135.1,33955493,33980955,+,717.2,376,31,33955493,33980955
2304at7147,Complete,NC_079137.1,33004365,33004803,-,173.0,112,32,33004803,33004365
2306at7147,Complete,NC_079135.1,30135674,30136999,+,862.8,399,33,30135674,30136999
2332at7147,Complete,NC_079134.1,165379806,165383772,-,540.5,269,34,165383772,165379806
2339at7147,Complete,NC_079137.1,64248703,64250565,+,534.4,289,35,64248703,64250565
2552at7147,Complete,NC_079135.1,93162882,93187105,+,1328.6,652,36,93162882,93187105
2609at7147,Complete,NC_079136.1,112800916,112803064,-,348.9,172,37,112803064,112800916
2610at7147,Complete,NC_079134.1,95048174,95049562,+,390.9,217,38,95048174,95049562
2635at7147,Complete,NC_079134.1,129871562,129878077,-,583.3,321,39,129878077,129871562
2697at7147,Complete,NC_079134.1,139741029,139747355,-,1144.0,574,40,139747355,139741029
2709at7147,Complete,NC_079134.1,51565250,51664358,+,1107.0,513,41,51565250,51664358
2727at7147,Complete,NC_079134.1,165246464,165252211,+,948.4,492,42,165246464,165252211
