busco_id,status,sequence,gene_start,gene_end,strand,score,length,line_number,original_start,original_end
8at7147,Duplicated,NC_064600.1,19241988,19242987,-,373.0,218,1,19242987,19241988
8at7147,Duplicated,NC_064600.1,19247824,19250689,-,369.0,205,2,19250689,19247824
225at7147,Complete,NC_064601.1,33757337,33758602,+,983.2,419,3,33757337,33758602
284at7147,Complete,NC_064601.1,92546039,92546966,-,389.1,182,4,92546966,92546039
421at7147,Complete,NC_064601.1,42357793,42358353,+,302.8,154,5,42357793,42358353
445at7147,Complete,NC_064601.1,25384581,25386598,-,689.4,337,6,25386598,25384581
452at7147,Complete,NC_064601.1,83212950,83225319,-,1245.2,620,7,83225319,83212950
511at7147,Complete,NC_064601.1,22167970,22169005,+,413.8,220,8,22167970,22169005
525at7147,Complete,NC_064602.1,33361893,33362421,+,171.9,81,9,33361893,33362421
540at7147,Complete,NC_064601.1,85365399,85383786,+,317.8,203,10,85365399,85383786
836at7147,Complete,NC_064602.1,8692291,8693984,-,1215.7,542,11,8693984,8692291
841at7147,Complete,NC_064601.1,84743610,84744606,+,521.6,283,12,84743610,84744606
908at7147,Complete,NC_064601.1,15714915,15715510,+,347.1,171,13,15714915,15715510
962at7147,Duplicated,NC_064602.1,48673793,48675899,+,401.3,320,14,48673793,48675899
962at7147,Duplicated,NC_064602.1,1477716,1478992,+,400.9,318,15,1477716,1478992
1004at7147,Complete,NC_064601.1,54313096,54314201,+,478.3,304,17,54313096,54314201
1055at7147,Complete,NC_064602.1,10289722,10290965,+,615.1,335,19,10289722,10290965
1072at7147,Complete,NC_064601.1,52636491,52637694,+,608.0,353,20,52636491,52637694
1078at7147,Complete,NC_064602.1,56562910,56563861,+,588.7,270,21,56562910,56563861
1123at7147,Complete,NC_064601.1,91535037,91536402,+,647.8,379,22,91535037,91536402
1142at7147,Complete,NC_064601.1,107382049,107456528,-,295.5,135,23,107456528,107382049
1200at7147,Complete,NC_064601.1,56261934,56262702,-,401.0,199,24,56262702,56261934
1247at7147,Complete,NC_064601.1,24905187,24906755,-,903.3,478,25,24906755,24905187
1323at7147,Complete,NC_064602.1,77762241,77768942,-,289.6,154,26,77768942,77762241
1690at7147,Complete,NC_064602.1,21038863,21049319,+,1085.3,629,27,21038863,21049319
1854at7147,Complete,NC_064602.1,9653194,9654842,+,753.5,427,28,9653194,9654842
1907at7147,Complete,NC_064600.1,9013597,9014250,-,356.2,191,29,9014250,9013597
1914at7147,Complete,NC_064601.1,79183457,79184752,-,490.6,399,30,79184752,79183457
1984at7147,Complete,NC_064601.1,79178477,79179011,+,295.6,154,31,79178477,79179011
2041at7147,Complete,NC_064602.1,78623368,78624012,-,332.3,208,32,78624012,78623368
2067at7147,Complete,NC_064602.1,44441274,44451713,+,671.1,376,33,44441274,44451713
2304at7147,Complete,NC_064602.1,91258367,91258841,-,178.9,103,34,91258841,91258367
2306at7147,Complete,NC_064601.1,97666544,97668527,-,806.9,396,35,97668527,97666544
2332at7147,Complete,NC_064601.1,39886326,39888003,+,457.3,269,36,39886326,39888003
2339at7147,Complete,NC_064600.1,7480716,7481691,-,432.6,288,37,7481691,7480716
2552at7147,Complete,NC_064600.1,7832514,7839992,+,1280.3,652,38,7832514,7839992
2609at7147,Complete,NC_064602.1,15671827,15672635,-,321.6,172,39,15672635,15671827
2610at7147,Complete,NC_064602.1,31459314,31467430,-,397.9,218,40,31467430,31459314
2635at7147,Complete,NC_064601.1,83848403,83849691,-,476.2,318,41,83849691,83848403
2697at7147,Complete,NC_064601.1,26620540,26622377,-,1146.8,566,42,26622377,26620540
2709at7147,Complete,NC_064602.1,50334581,50340776,+,1090.9,514,43,50334581,50340776
2727at7147,Complete,NC_064601.1,39854794,39856664,-,838.0,490,44,39856664,39854794
2881at7147,Complete,NC_064601.1,116887452,116888173,+,195.1,167,45,116887452,116888173
2904at7147,Complete,NC_064601.1,113144275,113146203,-,962.9,541,46,113146203,113144275
2908at7147,Complete,NC_064601.1,102796835,102800787,+,2120.2,1109,47,102796835,102800787
2969at7147,Complete,NC_064600.1,8845569,8850041,+,1356.1,659,48,8845569,8850041
3120at7147,Complete,NC_064602.1,525734,526053,+,128.5,75,49,525734,526053
3219at7147,Complete,NC_064601.1,50334381,50338744,-,1006.1,479,50,50338744,50334381
3282at7147,Complete,NC_064601.1,33706405,33706936,+,243.3,147,51,33706405,33706936
3308at7147,Complete,NC_064601.1,51884907,51886177,-,329.6,293,52,51886177,51884907
3333at7147,Complete,NC_064602.1,68121973,68123976,+,680.7,495,53,68121973,68123976
3410at7147,Complete,NC_064602.1,93819480,93821926,+,550.9,300,54,93819480,93821926
3413at7147,Complete,NC_064602.1,63885103,63886162,-,623.7,325,55,63886162,63885103
3474at7147,Complete,NC_064601.1,10595487,10598072,-,580.2,240,56,10598072,10595487
3577at7147,Complete,NC_064601.1,113048597,113049191,+,221.0,130,57,113048597,113049191
3788at7147,Complete,NC_064601.1,79492183,79492951,+,337.4,186,58,79492183,79492951
3828at7147,Complete,NC_064602.1,64387524,64388330,+,366.1,187,59,64387524,64388330
3874at7147,Complete,NC_064602.1,94471921,94472576,-,312.4,147,60,94472576,94471921
4069at7147,Complete,NC_064601.1,95958448,95960136,-,323.0,266,61,95960136,95958448
4073at7147,Complete,NC_064600.1,16888910,16890617,-,956.0,511,62,16890617,16888910
4095at7147,Complete,NC_064601.1,88971887,88973469,-,713.7,371,63,88973469,88971887
4164at7147,Complete,NC_064601.1,33138487,33138834,+,214.5,117,64,33138487,33138834
4211at7147,Complete,NC_064601.1,66840370,66840771,-,137.7,125,65,66840771,66840370
4218at7147,Complete,NC_064601.1,22572525,22581967,-,852.1,434,66,22581967,22572525
4274at7147,Complete,NC_064601.1,95995154,95997310,+,938.9,596,67,95995154,95997310
4353at7147,Complete,NC_064602.1,91260761,91265764,-,1039.8,524,68,91265764,91260761
4421at7147,Complete,NC_064602.1,93053926,93055752,+,833.5,520,69,93053926,93055752
4470at7147,Complete,NC_064601.1,118114154,118117187,+,1081.5,562,70,118114154,118117187
4511at7147,Complete,NC_064601.1,13041832,13042587,-,467.0,219,71,13042587,13041832
4573at7147,Complete,NC_064601.1,20490156,20493536,+,1009.2,536,72,20490156,20493536
4606at7147,Complete,NC_064601.1,25110061,25122209,-,1299.9,689,73,25122209,25110061
4667at7147,Complete,NC_064602.1,44736621,44738707,+,1019.2,513,74,44736621,44738707
4829at7147,Complete,NC_064601.1,108172321,108180401,+,5591.5,2323,75,108172321,108180401
4932at7147,Complete,NC_064600.1,154747,157015,-,721.1,417,76,157015,154747
5213at7147,Complete,NC_064602.1,68119190,68119992,+,351.0,186,77,68119190,68119992
5225at7147,Complete,NC_064602.1,4784066,4784437,-,238.0,121,78,4784437,4784066
5241at7147,Complete,NC_064601.1,8717815,8719112,+,513.9,327,79,8717815,8719112
5263at7147,Complete,NC_064601.1,49543120,49545102,-,865.1,476,80,49545102,49543120
5433at7147,Complete,NC_064601.1,32220037,32221269,-,333.4,223,81,32221269,32220037
5488at7147,Complete,NC_064600.1,7325429,7326302,-,205.2,243,82,7326302,7325429
5674at7147,Complete,NC_064601.1,41861292,41862259,+,486.0,266,83,41861292,41862259
5711at7147,Complete,NC_064602.1,92189641,92191092,-,435.3,356,84,92191092,92189641
5723at7147,Complete,NC_064601.1,30014116,30015058,-,354.2,272,85,30015058,30014116
5768at7147,Complete,NC_064601.1,81083040,81084428,+,332.6,325,86,81083040,81084428
5780at7147,Complete,NC_064602.1,88766220,88767977,-,672.9,450,87,88767977,88766220
5845at7147,Complete,NC_064602.1,37963122,37965168,+,672.6,538,88,37963122,37965168
5858at7147,Complete,NC_064601.1,82416820,82419385,-,243.0,203,89,82419385,82416820
5978at7147,Complete,NC_064602.1,2546324,2548692,-,982.5,527,90,2548692,2546324
6130at7147,Complete,NC_064602.1,59663771,59664532,-,229.2,169,91,59664532,59663771
6240at7147,Complete,NC_064602.1,195311,202412,+,804.0,427,92,195311,202412
6256at7147,Complete,NC_064601.1,108959434,108961503,-,965.3,664,93,108961503,108959434
6718at7147,Complete,NC_064602.1,18929464,18932768,-,830.1,538,94,18932768,18929464
6736at7147,Complete,NC_064602.1,64274405,64276132,+,922.7,457,95,64274405,64276132
6974at7147,Complete,NC_064601.1,14224603,14228099,+,1007.5,530,96,14224603,14228099
7054at7147,Complete,NC_064601.1,18181129,18182175,-,499.8,273,97,18182175,18181129
7326at7147,Complete,NC_064601.1,109326719,109329958,-,1272.1,911,98,109329958,109326719
7353at7147,Complete,NC_064602.1,64278082,64282364,-,1011.9,716,99,64282364,64278082
7355at7147,Complete,NC_064601.1,20556077,20557596,+,933.0,478,100,20556077,20557596
7470at7147,Complete,NC_064601.1,5587924,5588663,+,319.1,149,101,5587924,5588663
7527at7147,Complete,NC_064601.1,37207592,37211098,-,694.9,333,102,37211098,37207592
