busco_id,bin_id,overlap_percentage
8at7147,OZ010738.1_bin_861,100.0
225at7147,OZ010737.1_bin_702,100.0
421at7147,OZ010737.1_bin_820,100.0
445at7147,OZ010737.1_bin_451,100.0
452at7147,OZ010736.1_bin_803,69.40916620651574
452at7147,OZ010736.1_bin_804,30.59083379348426
511at7147,OZ010737.1_bin_726,100.0
525at7147,OZ010736.1_bin_998,100.0
540at7147,OZ010738.1_bin_517,100.0
836at7147,OZ010736.1_bin_921,100.0
841at7147,OZ010738.1_bin_180,100.0
908at7147,OZ010737.1_bin_691,100.0
962at7147,OZ010737.1_bin_229,100.0
994at7147,OZ010738.1_bin_823,100.0
1004at7147,OZ010737.1_bin_233,100.0
1049at7147,OZ010736.1_bin_123,100.0
1055at7147,OZ010736.1_bin_501,100.0
1072at7147,OZ010736.1_bin_115,100.0
1078at7147,OZ010737.1_bin_91,100.0
1123at7147,OZ010738.1_bin_249,100.0
1200at7147,OZ010738.1_bin_691,100.0
1247at7147,OZ010736.1_bin_519,100.0
1323at7147,OZ010738.1_bin_618,100.0
1690at7147,OZ010736.1_bin_584,100.0
1854at7147,OZ010736.1_bin_222,100.0
1907at7147,OZ010736.1_bin_101,100.0
1914at7147,OZ010738.1_bin_177,100.0
1984at7147,OZ010737.1_bin_154,100.0
2041at7147,OZ010737.1_bin_177,100.0
2067at7147,OZ010738.1_bin_118,100.0
2304at7147,OZ010737.1_bin_46,100.0
2306at7147,OZ010738.1_bin_391,100.0
2332at7147,OZ010736.1_bin_837,100.0
2339at7147,OZ010737.1_bin_494,100.0
2552at7147,OZ010738.1_bin_916,100.0
2609at7147,OZ010736.1_bin_721,100.0
2610at7147,OZ010736.1_bin_995,100.0
2635at7147,OZ010737.1_bin_415,100.0
2697at7147,OZ010738.1_bin_265,100.0
2709at7147,OZ010736.1_bin_480,100.0
2727at7147,OZ010736.1_bin_579,100.0
2904at7147,OZ010738.1_bin_103,100.0
2908at7147,OZ010738.1_bin_54,100.0
2969at7147,OZ010738.1_bin_919,100.0
3120at7147,OZ010736.1_bin_756,100.0
3219at7147,OZ010737.1_bin_909,100.0
3282at7147,OZ010737.1_bin_698,100.0
3308at7147,OZ010737.1_bin_149,100.0
3333at7147,OZ010737.1_bin_331,100.0
3410at7147,OZ010737.1_bin_655,100.0
3413at7147,OZ010738.1_bin_930,100.0
3474at7147,OZ010737.1_bin_675,100.0
3577at7147,OZ010738.1_bin_268,100.0
3788at7147,OZ010738.1_bin_514,100.0
3828at7147,OZ010737.1_bin_48,100.0
3874at7147,OZ010737.1_bin_46,100.0
4069at7147,OZ010738.1_bin_165,100.0
4073at7147,OZ010738.1_bin_936,100.0
4095at7147,OZ010738.1_bin_144,100.0
4164at7147,OZ010736.1_bin_170,100.0
4211at7147,OZ010737.1_bin_85,100.0
4218at7147,OZ010737.1_bin_849,100.0
