busco_id,status,sequence,gene_start,gene_end,strand,score,length,line_number,original_start,original_end
8at7147,Complete,NC_081555.1,52280170,52293801,-,435.3,238,1,52293801,52280170
225at7147,Complete,NC_081553.1,220041529,220042791,-,991.8,418,2,220042791,220041529
284at7147,Complete,NC_081552.1,207248950,207254609,-,394.7,182,3,207254609,207248950
421at7147,Complete,NC_081553.1,229956851,229957384,-,298.5,155,4,229957384,229956851
445at7147,Complete,NC_081552.1,248704868,248709689,-,715.4,336,5,248709689,248704868
452at7147,Complete,NC_081556.1,87769048,87891538,+,1287.9,620,6,87769048,87891538
511at7147,Complete,NC_081552.1,270840867,270844122,-,454.4,220,7,270844122,270840867
525at7147,Complete,NC_081554.1,195735990,195736331,-,171.8,81,8,195736331,195735990
540at7147,Complete,NC_081556.1,103606687,103626293,-,311.5,191,9,103626293,103606687
836at7147,Complete,NC_081554.1,80171502,80174414,+,1248.8,540,10,80171502,80174414
841at7147,Complete,NC_081552.1,269227215,269228478,+,585.5,283,11,269227215,269228478
908at7147,Complete,NC_081553.1,216854076,216854773,-,320.5,168,12,216854773,216854076
962at7147,Complete,NC_081556.1,5944231,5945565,+,506.1,327,13,5944231,5945565
994at7147,Complete,NC_081552.1,37247077,37247935,-,412.6,193,14,37247935,37247077
1004at7147,Complete,NC_081552.1,213436550,213437607,+,520.3,304,15,213436550,213437607
1049at7147,Complete,NC_081553.1,220421836,220432245,-,883.1,412,16,220432245,220421836
1055at7147,Complete,NC_081554.1,92882949,92886374,-,643.1,336,17,92886374,92882949
1072at7147,Complete,NC_081553.1,144212774,144231654,-,694.3,357,18,144231654,144212774
1078at7147,Complete,NC_081554.1,150569494,150570318,-,619.1,273,19,150570318,150569494
1123at7147,Complete,NC_081555.1,21721966,21723168,-,703.4,379,20,21723168,21721966
1142at7147,Complete,NC_081552.1,148550215,148550922,-,303.3,164,21,148550922,148550215
1200at7147,Complete,NC_081555.1,98516678,98519203,-,427.6,200,22,98519203,98516678
1247at7147,Complete,NC_081555.1,11702019,11703506,-,1016.1,480,23,11703506,11702019
1323at7147,Complete,NC_081555.1,105772558,105830721,+,372.2,159,24,105772558,105830721
1690at7147,Complete,NC_081554.1,42146909,42224352,-,1173.8,627,25,42224352,42146909
1854at7147,Complete,NC_081555.1,94071253,94072988,-,782.7,432,26,94072988,94071253
1907at7147,Complete,NC_081555.1,98540056,98540856,-,380.3,194,27,98540856,98540056
1914at7147,Complete,NC_081556.1,155886322,155887708,-,531.0,398,28,155887708,155886322
1984at7147,Complete,NC_081556.1,91816269,91816800,-,311.2,154,29,91816800,91816269
2041at7147,Complete,NC_081556.1,17053738,17054382,-,383.5,210,30,17054382,17053738
2067at7147,Complete,NC_081552.1,159364687,159430734,+,717.5,377,31,159364687,159430734
2304at7147,Complete,NC_081556.1,51371201,51371639,+,195.2,112,32,51371201,51371639
2306at7147,Complete,NC_081552.1,257259773,257262760,+,767.7,355,33,257259773,257262760
2332at7147,Complete,NC_081556.1,129355042,129359452,-,551.1,269,34,129359452,129355042
2339at7147,Complete,NC_081552.1,24681374,24708383,+,525.9,289,35,24681374,24708383
2552at7147,Complete,NC_081555.1,35457576,35529332,-,1328.6,652,36,35529332,35457576
2609at7147,Complete,NC_081554.1,151920890,151944702,+,343.3,172,37,151920890,151944702
2610at7147,Complete,NC_081554.1,150627355,150629901,-,415.9,218,38,150629901,150627355
2635at7147,Complete,NC_081556.1,95095974,95100918,+,529.2,322,39,95095974,95100918
2697at7147,Complete,NC_081556.1,109778885,109782288,-,1216.4,581,40,109782288,109778885
2709at7147,Complete,NC_081554.1,29461895,29543767,-,1126.2,514,41,29543767,29461895
2727at7147,Complete,NC_081556.1,124282567,124287466,+,918.4,494,42,124282567,124287466
2881at7147,Complete,NC_081556.1,73701678,73703736,+,244.6,163,43,73701678,73703736
2904at7147,Complete,NC_081552.1,180716569,180728827,-,1101.5,549,44,180728827,180716569
2908at7147,Complete,NC_081552.1,243112716,243119804,-,2186.9,1110,45,243119804,243112716
2969at7147,Complete,NC_081555.1,186579933,186621865,+,1411.9,662,46,186579933,186621865
3120at7147,Complete,NC_081554.1,11051305,11051594,-,140.5,74,47,11051594,11051305
3219at7147,Complete,NC_081555.1,131019275,131028584,-,1018.7,478,48,131028584,131019275
3282at7147,Complete,NC_081552.1,212398784,212399286,+,276.8,147,49,212398784,212399286
3308at7147,Complete,NC_081555.1,140779586,140780721,+,396.1,292,50,140779586,140780721
3333at7147,Complete,NC_081556.1,10401933,10403786,-,817.2,496,51,10403786,10401933
3410at7147,Complete,NC_081552.1,630733,645402,-,607.8,299,52,645402,630733
3413at7147,Complete,NC_081556.1,2167406,2168454,+,675.3,326,53,2167406,2168454
3474at7147,Complete,NC_081553.1,207587970,207588832,+,391.7,240,54,207587970,207588832
3577at7147,Complete,NC_081552.1,175396470,175396968,-,232.4,131,55,175396968,175396470
3788at7147,Complete,NC_081556.1,79246427,79247205,+,317.7,186,56,79246427,79247205
3828at7147,Complete,NC_081553.1,41182787,41187721,+,391.3,188,57,41182787,41187721
3874at7147,Complete,NC_081556.1,12723622,12724261,+,316.9,147,58,12723622,12724261
4069at7147,Complete,NC_081552.1,190857491,190862791,+,431.3,269,59,190857491,190862791
4073at7147,Complete,NC_081552.1,93276528,93278237,-,1058.7,512,60,93278237,93276528
4095at7147,Complete,NC_081552.1,257412484,257418421,+,745.9,371,61,257412484,257418421
4164at7147,Complete,NC_081553.1,136451533,136466303,+,232.6,117,62,136451533,136466303
4211at7147,Complete,NC_081552.1,54698555,54699049,-,198.1,122,63,54699049,54698555
4218at7147,Complete,NC_081553.1,165196183,165253441,+,896.9,434,64,165196183,165253441
4274at7147,Complete,NC_081554.1,116103906,116106233,-,1092.7,600,65,116106233,116103906
4353at7147,Complete,NC_081556.1,17491137,17492820,-,1039.1,492,66,17492820,17491137
4421at7147,Complete,NC_081552.1,29637523,29639539,+,904.5,520,67,29637523,29639539
4470at7147,Complete,NC_081556.1,76936355,76952328,-,1133.3,562,68,76952328,76936355
4511at7147,Complete,NC_081553.1,163569636,163576759,+,465.4,219,69,163569636,163576759
4573at7147,Complete,NC_081553.1,49611671,49645555,-,1068.1,537,70,49645555,49611671
4606at7147,Complete,NC_081553.1,155270716,155405571,-,1238.7,688,71,155405571,155270716
4667at7147,Complete,NC_081554.1,188976294,188982641,-,1081.3,513,72,188982641,188976294
4829at7147,Complete,NC_081556.1,93073935,93089882,+,5617.7,2330,73,93073935,93089882
4932at7147,Complete,NC_081555.1,85395947,85402866,-,775.1,412,74,85402866,85395947
5213at7147,Complete,NC_081553.1,55951578,55957492,+,386.0,189,75,55951578,55957492
5225at7147,Complete,NC_081554.1,116787986,116788324,+,238.6,107,76,116787986,116788324
5241at7147,Complete,NC_081553.1,159942563,159968028,+,510.2,318,77,159942563,159968028
5263at7147,Complete,NC_081553.1,138877599,138899625,-,894.2,443,78,138899625,138877599
5433at7147,Complete,NC_081553.1,207574526,207583322,-,303.1,222,79,207583322,207574526
5488at7147,Complete,NC_081554.1,11128159,11131641,-,269.9,244,80,11131641,11128159
5674at7147,Complete,NC_081553.1,207639636,207640385,-,505.4,244,81,207640385,207639636
5711at7147,Complete,NC_081554.1,67564608,67573899,-,536.0,375,82,67573899,67564608
5723at7147,Complete,NC_081555.1,176104880,176106258,-,439.9,273,83,176106258,176104880
5768at7147,Complete,NC_081556.1,159708039,159709426,+,472.8,324,84,159708039,159709426
5780at7147,Complete,NC_081556.1,45108800,45124200,-,769.2,449,85,45124200,45108800
5845at7147,Complete,NC_081553.1,6447277,6452426,-,792.8,531,86,6452426,6447277
5858at7147,Complete,NC_081553.1,33207650,33208351,+,303.6,205,87,33207650,33208351
5978at7147,Complete,NC_081552.1,167970511,167972303,+,1015.9,527,88,167970511,167972303
6130at7147,Complete,NC_081552.1,129735057,129781211,-,255.8,169,89,129781211,129735057
6240at7147,Complete,NC_081553.1,163089631,163157705,-,823.8,433,90,163157705,163089631
6256at7147,Complete,NC_081552.1,269499483,269501717,+,1124.6,681,91,269499483,269501717
